,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000630.SZ,X000408.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X000723.SZ,X002128.SZ,X601168.SH,X600157.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0.0713418412999583,0,0,0,0,0,0,0,0,0.0286943309279949,0,0,0,0,0,0.147924967577009,0,0.218785374423292,0,0,0,0,0,0,-0.190656574693663,0,0.295894715265722,0,0,0.282777110609551,0,0,0,0,0,0,0,0,0.200864907994581,0,0,0,0,0,0.00687538082681791,0,0,0,-3.46944695195361e-18,-0.132575899390645,0,0.00200673893331012,-0.0168362069447302,0,0,0,0,0
X600426.SH,0,0,0,0.358563952233837,0.228523509015014,0,0,0,0,0,-0.0122588940663251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00821124300231028,0,0,0,-0.00620081801451598,0,0.0235831322685935,0,0,0,0,0,0.254179830612517,0,0,0,0,0,0,0,0,-0.237557592323102,0.0495556382258734,0,-0.00644417578530232,0,0,0,0,-0.0391715234492518,0,0
X000877.SZ,0,0,0,0,0,0,0.408051059748202,0,0,0,0,0,-0.0635150824929996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195417897514547,0,-0.0108638734498359,0,0,0,0,0,0.0200203470414969,0,0,0,0,0,0,0.0335069243379031,0,0,0,0,0,0,0,0,-0.0498795051183306,-0.00141392985292166,-0.0263348653248334,0,0,0,0.0458577845185966,0,0
X600362.SH,0,0,0,0.0722200630002804,0,0,0,0,0,0,0.0871063666050082,-0.0251193247378234,0,0,0,0,0,0,0.0596714206458502,0.0209865317858478,0,0,0,0,0,0.0533148001266513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224356033816275,0,0.301332145673427,0.0928976975052272,0.067982361933402,0,0,0,0,0,0,0,0,-0.104281739687303,0,0,0.00560580698015564,0,0
X601699.SH,0,0.00171715892520169,0,0,0.436183201370097,0,0,0,0,0,0,-0.0759014535187436,0,0,0,0.0167618199329177,0,0,0,0,0,0,0,0,0,0,0.114715280826271,0,0.230821404155517,0,0,0,0,-0.132731687574225,0,0,0,0.0405311853681481,0,0.239499802025482,-0.0832995177792301,0,0,0,0,0,0,0,0,0,0,-0.0106304736590866,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0.533415382175504,0,0.0704863339883477,-0.0610384037053845,0,0,0,0,0.278181046423903,0.0148752576578272,0,0,0,0,-0.160931244136315,0,0.0137339780661672,0,0,0,0,0,0,0,0,0,0,0,0.0625576614192701,-0.512984055657251,0,0,0,0,0,0.287463309382028,0,0,0.0963180444549668,0,0,0,0,-0.0100383329784449,0,0.0202783473143838,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.137867279599334,0,0,0,0,0,0,0,0,0,0.0297047434464758,0,0,0,0,0,0,0,0.346146159082292,0,0.745355216383544,0,0,-0.568640681096994,0,0,0,0,0,0.0677316455682667,0.0404424559539587,0,0,0,0,0,0,0.0600266803100386,0,0,0,0,0,0,0,0,0,0.0307994475217722,0.000785926959224675,0,0,0,0.253108898913426,0,0
X600027.SH,0,0,0,0,0,0,0,0.467047171780163,0,0,0,0,0,0,0,-0.0360711658672456,0,0,0.00735971978707918,0,0.0354424274098258,0,0,0,0,0,-0.0406889342196472,0,0,0,0.255141336675812,0.106356497766833,0,0,-0.0439853786204602,0,0,0,-0.0548560129601987,0,0,0,0,0,0,0,0,0,0,-0.0908703899003975,0,0.010512795072287,-0.00660633398202474,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0.647824889597511,0.0260224224848973,-0.0598338063967994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00964413406496269,0,0,0,0.0367619797035488,0,0,0,0,0,0.0325114672355386,0,0,0,0,0,-0.0497599230582797,0,0,0.156505478517837,0,0.0276535971696364,0.19164717461018,0,0.0316158897170172,0,-0.0061907346541323,0,0,0,0,-0.0236754450606109,0,0
X600803.SH,0,0,0,0,0,0,-0.252752430368229,0,0,0.293159738061152,0,0.272353800432956,0,0,0,0,1.91458478005121e-05,0,0,0,0,0,0,0,0.300082427806709,-0.0182311727427655,0,0,0,0,0.322806968164684,0,0,0.277081463407089,0,0,0.0327760225916589,0,0,-0.089497321378508,0,0,0,0,-0.147534918227396,0,0,0,0,0,0.34413989070653,0,-0.0285621625347141,0,0,0,0,0,0
