,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600660.SH,X600886.SH,X600547.SH,X002466.SZ,X601600.SH,X002460.SZ,X000792.SZ,X600795.SH,X000708.SZ,X601699.SH,X600010.SH,X000301.SZ,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X600803.SH,X000877.SZ,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X000933.SZ,X000932.SZ,X600612.SH,X600176.SH,X600348.SH,X600219.SH,X300037.SZ,X601168.SH,X002128.SZ,X600157.SH,X002353.SZ,X600688.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0,0.12800887713637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264098702840575,0,0,0,0,0,0,0,0,0,0,0.260106162855271,0,0.239467344231847,0,0,0,0,0,0.0541239358509578,0,0,0,0,0,-0.0308961287485183,0,0,0,0,0,0,0,0,0,-0.00222751429946337,-9.77346879519257e-05,0,0,0,0.00342870016483318,0,0
X000027.SZ,0,0,0,0,0,0,0.0103351218395121,0,0,0,0,0,0,0,0.0586504618562215,0,0,0.0071747836192408,0,0,0,0,0,0,0.0761316067130795,0,0,0,-0.0198062352186363,0,0,0,0,0.0772276568881495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151634605567099,0,0,0.189397930207914,-0.028637501612298,0.0166842636947732,-0.00859784883648797,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,-0.0750402877171742,0,0,0,0,-0.421162750241678,0,0,0,-0.142434678029634,0,0,0,-0.124590472243471,0,0,0,0.0826903317312539,0,0,0,0,0,0,0,0,-0.232350521684846,0,0,0,0,-0.0442428580814177,0,0,0,0,0,0.143355920373196,0,0,0,0.0864282824849672,-0.125572216539178,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,-0.846612887667818,0,-0.167808949535313,0,0,0.532932803855732,0.463385783683672,0,0,-0.206025724967641,0,0,0.313916022732281,0,0,0,0,0.333774204914191,0,0,0,-0.151468693820959,0,0,0,0,0,0,-0.0129110988775755,0,0,0,-0.347032849095638,0,0,0,0,0,0,0.439851090256096,0,0.805825966271196,0,0,0,-2.53448737824622,0,0
TED,0,0,0,0,0,0,0,-0.170129331038851,0,0,0,0,0.72325095249586,-0.25007170334206,0,-0.162406340783389,0,0,-0.374109476932345,0,0,0,0,0,0,0,0,0,0,0,0,0.448246679274083,0,0,0,0,0,0,1.09080084972745,0,-0.272176231986067,0,0,0,0,0,-1.170663265676,0,-0.0661167480700055,0,-1.66259742919987,1.14706725936231,0,0,0,0,1.61859319412733,0,0
RealEstate_excess,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0820672658719254,0,0.0519598788020615,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,-0.047835283779926,0,0,0.0575327124225348,0,0,0,0,0.0645693859438601,0,0,-0.134630179456958,0,0,0,0,0.0102562649002144,0,0,0,0,0,0,0.0132961137581327,-0.0170281029837068,0,0,0,0,0,0
MKreturn,0,0,0,-0.0873762887143094,0,0,0.0502687190513436,0,0,0,0.0285060681706956,-0.0823101497329461,-0.117386400284417,0,0,0,0,0,-0.0199606884941566,0.0672352440809045,0,0,0,0,0,-0.00767043930729867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.00654101472293167,-0.0153608399798023,0.00327324756055931,0.062769628718373,0,0,0.012329736910415,0,0
MKvol,0,0,0.00209058562860784,0,0,0,0,0,0,0,0,0,-1.6940658945086e-21,0,-0.00153015382835786,0,-0.000296326832936818,0,0,0.00199826243863659,0.00267385245594312,0,0,0,0,0,0,0,0,0,0.00064693695387875,0,0,0,0,0,0.00198794588788378,0,0,0,0,0,0,0,0,0,0,0.000994374047959759,0,0,-0.00133778560264739,0.00171993558418065,-0.00176396454935553,0,0,0,-0.0112684364580615,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414496277705051,0,-0.158407614726335,0,0,0,0,0,0,-0.10291983825512,0.164908925327472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507288479848363,0,0,0,0,0,0,0,-0.318142843133987,0.297376692511234,0,0,0,0,0,0
CarbonVol_Guangdong,0.0132281302354579,0,0,0,0,0,0,0,0,0,0,0,-0.000173330454026857,0,0,0,0,0,0,0.00023738620791446,0,0,0,0,0,0.0103394454174567,0,0,0,0,0,0,0,0,0,0,0.000682712396591453,0,0,0,0,0,0,0.00880313440645936,0,0.00102217150802925,0,0,0,0,0,-0.00317467205546156,0.00566855107180073,0,0,0,0.0252688291603271,0,0
