,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X600010.SH,X000708.SZ,X601699.SH,X000301.SZ,X600426.SH,X600362.SH,X000877.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X002271.SZ,X601991.SH,X600160.SH,X600176.SH,X600985.SH,X000807.SZ,X000630.SZ,X000408.SZ,X000786.SZ,X000932.SZ,X600612.SH,X300037.SZ,X000933.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X000629.SZ,X600688.SH,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000408.SZ,0.087802190041781,0,0,0,0,0,0,0,0,0,0.168999337764975,0,0,0,0.702013105974635,0.0420768165108305,0,0,0,1.73472347597681e-18,0,0,0.0338785872493253,0,0,0,0,0,0,0.0160212573991957,0,-0.163686335804919,0,0,-0.0287701279192958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.0436136432804738,0.210010608737404,0,0,0,0,0
X000786.SZ,0,0.129406941497656,0,0,0.0289236886688282,0.0681229413754757,0,0,0.0574852607868006,0,0.249817443995646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167928815432421,0.0908531206400567,0,0,0,0.0693569576465152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169125192813223,0,0.0569901312480398,0,0,0,0.126112396334636,0,0
X000932.SZ,0,0,0,0,0,0.291224727922457,0,0,0,0,0,0,0.0955707595576324,0,0,0,0.164219161014731,0,0,0.0982854401588108,0,0,0,0,0,0,0,0.0515869631132502,0,0,0.0155744495280401,1.73472347597681e-18,0,0,0,0,0,0,0,0.183049055265487,0,0,0,0,0,0,0,0,0,0.0707180951217694,-0.0224936298261604,-0.0331646792514736,0.0791914014519749,0,0,0,0,0,0
X600612.SH,0.0368743498010954,0,0,0,0,-0.167494873286603,0,0,0,0,0,0,0,0,0,0,0.0546241119898221,0,0,0,0,0.224561989520284,0,0,0,0,0,0,0,0,0,0.0105775395011931,0,0,0,0,0,0,0.110457215927395,0,0,0,0,0,0,0,0.27779946716377,0,0,0,0.115845780844203,0.00788328318160567,2.71050543121376e-20,0,0,0,0.0444327237451633,0,0
X300037.SZ,-0.269691348758977,0,-0.534603859225493,0,0,-0.00169303210707418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525267314199794,0,0,0,0,0,0,0,0.181338637581658,0.115947639927629,0,0,0,0,0,0,0.0280887377118313,0,0,0.171806713240822,0,-0.190536303918784,0,0,0,0,0,0,0,0,0,-0.0636282791741414,0.0964740858329606,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0.318495083192794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341841352582696,0,0.0982804147938856,0,0,0.0794095925907536,0,0,0,0,0,0,-0.242539387714573,0,0.577288959132499,0,0,0,0,0,0,0,0,0,0,0,-0.0196051032669103,0,0,0,0,0,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.022455521484592,0.0157114806426608,0.0256223570877552,0,0,0.0187750993435047,0,0,0,0,0,0.174339120157825,0,0.129606288827101,0,0,0,0,0,0,0,0,0,0.0346476207569546,0.0602004506659208,0,0,0,0,0,0,0,0.15420290386564,0,0.0165571893030799,0,0,0,0,0.008132808052459,0,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0698784619424782,0.0517677133037523,0,0.011875535167361,0.0868103096571718,0.0387749852669816,0,0,0,0,0,0,0,0.0971602144908799,0,0.128907020618744,0,0,0,3.31887419072448e-05,0,0,0,0,0,0,0,0.031987113117717,0,0,0,0,0,0.269832312435248,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0.0441182043128692,0,0
X600995.SH,0.259650735330265,0,0,0,0,0,0,0,0,0,0,0,0,0.128963609345702,0,0,0,0,0.144375620040625,0,0,0,-0.114058454963971,0,0,0,0,0.119090900433617,0.170426297039553,0,0,0.0196342219891743,0,0,0,0,0,0,0.0462237936628907,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209805979898085,0.0104220179187041,0,0,0,0.01451985884477,0,0
X600348.SH,0,0,0,0,0.15242993013686,0,0,0,0,0,0,0,0,0.0406187548335095,0,0,0.0772999706332657,0.0698819955843867,0,0,0,0,0,0,0,0.25388087126104,0,0,0.130856269674813,0,0,0.130130296974588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136290116967881,1.73472347597681e-18,0,0,-0.00125406990000833,0,0,0,-4.33680868994202e-19,0,0
