,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X601898.SH,X600011.SH,X600547.SH,X601600.SH,X600660.SH,X002460.SZ,X600886.SH,X000792.SZ,X002466.SZ,X000708.SZ,X600111.SH,X600010.SH,X000301.SZ,X600426.SH,X600795.SH,X000877.SZ,X600362.SH,X002271.SZ,X601699.SH,X600803.SH,X000983.SZ,X600489.SH,X600027.SH,X600176.SH,X000807.SZ,X601991.SH,X000786.SZ,X000932.SZ,X000630.SZ,X600160.SH,X000933.SZ,X000408.SZ,X600219.SH,X600985.SH,X600688.SH,X000629.SZ,X300037.SZ,X002128.SZ,X002353.SZ,X600157.SH,X600612.SH,X601168.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0,0,0,0,0,0,0,8.67361737988404e-19,0.0567274632649601,0,0.315463493002307,0,0,0,0,0.0721271219206716,0,0,0,0,0,0,0,0,0,0.07383880180155,0.143662133112137,0.0638670710047293,0,0,0,0.067143842284594,0,0,0,0,0,0.0968501214477957,0,0,0,0,0,-0.0457420603593889,0,0,0,0.0546977343018817,0,0,-0.0547599166772674,-0.0118475465383617,0,0,0,0,0,0,0
X600160.SH,-0.227282781282274,0,0,0,0,0,0,0,0,0,0,0,0.2430033354401,0,0,0,0,0,0,0,0.0587536241230442,0,0,0,0,0,-0.108025237250673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034629691124799,0.0883547982305385,0,0,0,0,0,0
X000933.SZ,-0.0181446699537213,-0.101812861684032,0,0,0.285176358078654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012220300324739,0,0,0,0.40953412608202,0,0,0.159925356503137,0,0,0,0,0,0,0,0,0,0,0,-0.0531364929172954,0,0.0532922124866723,-0.026366431503487,0,0.0203143308170031,-0.0346332897489979,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.212759375737575,0,0.193242349851691,0,0.143606807734267,0,0,0,0,0,0,0,0.181300040688193,0.10890588762394,-0.0515367901614101,0.272486304978823,0,0,0.0590134728148733,-0.0998118108957045,0,0,0,0,0,-0.0861629666164056,0,0,0,0,0,0,0,0.180522796280631,0,0,0,0,0,0.00977729683564768,0,0.0974930173122537,0,0,0,0,0
X600219.SH,0,0,0,0,0.0113658450951502,0.0602422184164694,0,0,0,0,0.116750121294087,0,0.0612012316652692,0,0,0,0.0288871004735504,0,0,0,0.210603909460351,0,0,0,0,0,0.0677391281158136,0,0,0,0,0,0,0,0,0,-0.0560133833455858,0,0.084200809209683,0,0,0,0,-0.0235059944973366,0,0,0,0,0,0,-0.00561661734950827,-0.00487933717477419,0.0264067227413811,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0.00732225534312401,0,0.187666278617065,0,0,0,0,-0.00328564069334797,0,0,0,0,0,0,0,0,0,0.439784539626395,0,0.0107164960586186,0.169683148933274,0,0.0439731172936073,0,0,0,0,0,0,0,0,-0.0382773491776472,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0857365270843667,0,0.0253260842150876,-0.173895018441248,0,0,0,0,0
X600688.SH,1.73472347597681e-18,0,0,0,0.0118876789579616,0.0935155557721935,0,0,0,0,0,0,0.0581529731269876,0,0,0,0,0,0,0.0297826425374294,0,0.0243871633343354,0,0,0,0,0,0.0656430769436676,2.16840434497101e-19,0.151535488206187,0,0,0,0,0,0,0,0,0,0,0,0,0.0106968805873935,0,0.00406732950351594,0,0,0,0,0.0558726335316681,0,0.0454536359688646,-0.0407599347235828,0,0,0,0,0,0
X000629.SZ,0.110770570093577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194401854710903,0.0896792513846519,0.0604343587160252,0,0.181941071381123,0,0,0,0,0,0,0,0,0,0.0174430982664027,0.0304670789113856,0.0477342199862835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127640954055789,0,0,0.0117451607165254,0.00832546975875307,4.33680868994202e-19,0,0,0,0,0,0
X300037.SZ,0,0,-0.0797118780066048,0,0,0,0,0,0.0916173588412925,0,0,0,0.0422862956545495,0,0,0,0,0,0,0,0,0,0,0,0.307074406740305,0,0,-0.105494855085778,0,0,0,0,0.0957506792268353,0,0,0,0.0102372734690592,0,0,-0.214487832803938,0,0,0,0,0,0,0,-0.0644453353251155,0,0,0,-0.0881593354143196,0.121482251490151,0,0,0,0,0,0
X002128.SZ,0.107470621552319,0,0,0,0,0,0,0.227332556024378,0,0,0,0,-0.0101683856641397,0.0130527717822357,0,0,0,0,0,0,0,0,0,0,-0.0160374745433666,0,0.0376974935719162,0.246563589207815,0.0306501925838199,0,0,0,0,0,0,0,0,0,-0.060027927797157,0,0,0.251508989834189,0,0,0,0.00242774259893385,0,0,0.024487168316295,0,0,0.0177971437983535,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0.130835104337121,0,-0.0785497166437502,-0.211387376184176,0,0,0,0,0,0,0.39228719272527,0,0,0,0,0.154911605282915,0,0.285788552433169,0,0,0.0726361950753725,0,0,0,0,0,0,-0.159144634603597,0,0,0,0,0,0,0.304941376402914,0,0,0.154969569602386,0.0754451835308648,0,0,0,0.00869444293417981,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164750881614728,0,0,0,0,0,0,0,0,0.0233574467754006,0.00143715295085047,0.0862225318295842,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0269655792854698,0,0,0.040196007449131,0,0,-0.0124185809247345,-0.0149119935485654,0,0,0,0,0,0
X600612.SH,0,0,0,0,-0.226702915206061,-0.0672966086958119,0,0,0,0.154222820813671,0,0,0,0,0,0.0564396094583955,0,0,0,0.0879773044549299,0,0,0,0.0561151879963752,0,0.17512074565374,-0.0644775574603949,0,0,0.118857647022825,0,0.0689241434577515,0.033886840201754,0,0,0,0,-0.172214339353266,0,0,0,0,0,0,0,0.085664659728132,0,0,0,0,0.0510344944918273,0.0300179507542478,-0.0398145449376533,0,0,0,0,0,0
X601168.SH,0,0,0,0,0.0365750522594095,0,0,0.135972640913907,0,0.157013053952768,0,0,0,0.158952157636642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223814085444458,0,0,0,0,0,0.0803803233400956,0.0432888081386989,0.0293826786647842,0.160185433267737,0,0,0,0,0,0,0,0,0,0,0,0.226572342483635,0,0.0197255509829106,0.000774796463206264,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0.114529273887362,0,0,0,0,-0.0582577690206232,0,0,0.0430083488725632,0,0,0,0,0.086597523892383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241751743333628,0,0,0,0.134538226170576,0,0.570688836608733,-1.73472347597681e-18,0,0,0.104483358480193,-0.156384052017755,-0.0447420969328879,0,0,-0.0308908119025504,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,-0.0156431410569785,-0.0911210691274145,0,0,0,0,0,-1.06311040548469,0,0,0,0.0447014399667644,0,0,0,0,0,0,0,0,0,0,0.0549443276529187,0,0,0,0,0,0,0,0,0,-0.0391115114747544,0,0,0,0,0,0,0.0716191668404776,0,0,0,0.0690789276067626,0,0,0,-0.025119743445546,0,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,-0.0461874568004969,-0.15391744438333,-0.984617344559266,0,0,-0.188274754310731,0,0,0,0,0,0,0,0.424433994650959,0,0,0.715720539904104,0,0,0,0,0,0.24891108487504,0,0,0.538839004231527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15212099840133,0.650688517609249,0,0,0,0,0
TED,0,0,0,0,0,0,0.383504056990742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412164391528382,0,0,0,-0.342197805378257,-0.0336972597110897,-0.217900139325408,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.0778253118543179,0,0,0,0.22771241113305,0,0,0,0,0,0,0,0,0,-0.279020421035706,0.555519302544694,0,-0.132164697469957,0,0,0,0,0
RealEstate_excess,0,0,0,0,-0.0109166157090333,0,0.187497262304942,0,0,0,-0.263173531899598,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.0103946151530264,-0.00787526417172154,0,0,0,-0.112551670423419,0.104396570393078,-0.116374887075084,0,0,0,0,0,0,0,0,0,0,0,0.0305308402780477,0,0,0,0,0,0,0.00785956953160374,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,-0.132904076240043,0,0,0.0179169160939811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953646888828063,-0.0114077602447938,-0.121445858927711,0,0,0,-0.0476417794909648,0,-0.1063418916858,0,0,-0.0704126230574006,0,0,0,0,0,0,0,0,0,0,0,-0.0357749557189913,-0.00298885354444558,0.0239431918164585,0,0,0,0,0,0
MKvol,0,0,0,0,-0.000492285684937353,0.0026396015510723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00250084379323427,0,0,0,-0.000243380093557448,-0.000822353322292687,0,0,0,0,0,0
