,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600660.SH,X002271.SZ,X600011.SH,X002460.SZ,X600886.SH,X000786.SZ,X601898.SH,X600010.SH,X600362.SH,X600176.SH,X601600.SH,X600801.SH,X600489.SH,X600352.SH,X600188.SH,X601991.SH,X600426.SH,X600795.SH,X600111.SH,X600688.SH,X002080.SZ,X600027.SH,X600299.SH,X601992.SH,X000301.SZ,X002466.SZ,X000932.SZ,X600803.SH,X002075.SZ,X600529.SH,X600219.SH,X300037.SZ,X000027.SZ,X002353.SZ,X600486.SH,X000883.SZ,X600315.SH,X601158.SH,X000898.SZ,X000723.SZ,X000878.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600299.SH,0,0,0,0,0,0,0,0,0,0,0.0300626794660735,0,0,0,0,0,0,-0.0357569912175366,0,0,0,0,0,0,0,0,0.0367622074825273,0,0.226134567472332,0,0,0,0,0.0732029968389268,0,0.0242804569730274,1.73472347597681e-18,0.237234197818338,0,0,0.23379998074825,0,0,0,0,0,0,0,0.0586357342594978,0,0,-3.46944695195361e-18,-0.0140155528448649,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0.0242003061156158,0.0323736487958789,0,0,0,0.116010564786232,0,7.43662843097358e-05,0,0,0,0,0,0,0,0,0,0,0.101822220803046,0.0996945959238977,0,0,0,0.0469562464928613,0,0.0570434526772571,0,0,0,0,0.0620230291647902,0,0,0,0,0,0,0.0143422222551042,0,0,0,-0.0270087046965298,-0.00667974171332433,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0.104994460949105,0,-0.090781765270944,0,0,0,0.0799839642433924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521916648075606,0,0.223877176364003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168055445984266,0,0,0,3.46944695195361e-18,-0.0157491895285761,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0.804939576777728,0,0,0,0,0,0,0,0,0,-0.359238341407965,0,0,0,0.202740705610697,0,0,0.056430436348122,0,-0.00045850977112148,0,0,0,0,0,0,0,0,0,0,0,-0.0968488796283642,0,0,0,0,0,-0.20328195640621,0,0.238066077005253,-0.229471740597025,0.237121129874925,0,-0.375853219434799,0,0,0,0
X000932.SZ,0,0,0,0,-0.0859472617734583,0,0,0,0.112475387314524,-0.0102948259347072,0.180941873369491,0,0,0,0,0,0,0.0189342032687841,0,0,0,0,-0.163819856510367,0,0,0,0,0,0.0526929093258502,0,0,0,0,0,0,0,0,0.231271988683175,0.238984361255508,0,-0.0684791062973875,0.255362926532703,0,0,0,0,0,0,0,0,0,-0.0243101226012362,0,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,0.227879398448568,0.225063611782074,0,0.236756086633549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679311355339626,0,0,-0.132526320859357,0,0,0,0,0,0.346742781837605,0,0,-0.0351420041468631,0,0,0.279150035312633,0,0,0,0,0,0,0.105773772536373,0,0,0,0,0,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0.268355636403109,0,0,0,0,-0.723840871170679,0,0,0,-0.270302502001484,0,0,0,-0.168716841601077,0,0,0,0,0,-0.11855987416685,0,0,0.504980624161285,0,0.26661055219827,0,0,0,0,-0.285762244883351,0,0,0,0,0,0.124019440920419,0,0,0,0,0.495848790281745,0,0,0,0,0,0.604348622313699,0,0.0124699563359579,0,0,0,-0.247454922027746,0,0
X600529.SH,0,0,0,0,0,-0.710095715459232,0,0,0,0,0,0,-0.351488463286402,0.184724309345975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140306331979745,0.294225170261471,0,0,0.0736329715768353,0.143935497599427,0,0,0,0,0,0,0,0,0,0.297465603052159,0,0,0,-0.146817983619664,0,0,0.100451457852897,-0.196186449439169,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0.075143572145392,0.0159364182558832,0,0,0,0,0,0,0,0,0,0,0.0142328679428368,0,0.198594636355813,0,0,0,0.020231328708638,0,0,0.076686397540135,0,0.0923205451669349,0,0,0,-0.015401666253015,0,0,0,0,0,0,0.0273572916427543,0,0,0,0.173592674996416,0,0.0362291693209441,0,0.00277763907892587,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0,0,0.346449568657221,0.434372902944598,0,0.211026131531957,0,0,0,0,0,-0.0406347599839014,0,0,0,0,0,0,0,0,0,0,0,-0.161411846144301,0,0,0,0,0,0.138277411396303,0,0,0,0,0,0,0,0,0,0,0,0,0.100820548573708,0,0,0,0.0666476556998952,0,0,0,0,0,0
