,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X000792.SZ,X600019.SH,X600010.SH,X600660.SH,X000301.SZ,X600188.SH,X000877.SZ,X000708.SZ,X002271.SZ,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002080.SZ,X000723.SZ,X600803.SH,X600219.SH,X000408.SZ,X002326.SZ,X300037.SZ,X600688.SH,X300073.SZ,X600399.SH,X000786.SZ,X601991.SH,X000825.SZ,X600795.SH,X600141.SH,X600516.SH,X600096.SH,X000831.SZ,X600352.SH,X600489.SH,X000959.SZ,X600157.SH,X600295.SH,X002409.SZ,X000155.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600295.SH,0,0,0,0,0,0,0,0,0.0819769487332801,0,0.0531207506322765,0,0.00617366435120827,0,0,0,0,0.0247773121742182,0,0,0.162390048676182,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0.214139551385212,0.321279590964344,0,0,0,0,0,0,0,0,0,0,-0.120604498327323,0,0,0,0,0,0,0
X002409.SZ,-0.111764260026903,0,0,0,-0.0962664095222816,0,-0.0570430326406656,0,0,0,0,0,0,0,0.0988337916962572,0,0,0,0,0,0,0,0,0,-0.0515195446128167,0,-0.066472780969478,0,0.235965188192946,0,0,0,0.0714352738700811,0,0,0,0,0.00508730671354693,0.0386807161364677,0,0,-0.0252972550892232,0,0,0,0,0,0,0,0,0,0.0426071570237302,0,0,0,0,0.0442987387743378,0,0
X000155.SZ,0,0,0,0,0,0,0,0,0.426402587378343,0,0.22153383552303,0,0,-0.125863407764837,0,0,0,0,0,0,0,0,0,-0.0567927406752666,0,0,0,0,0,0.0142753901469052,0.0797760072827751,0,0,0,0,0,-0.0341833304838521,0,0,0.159550640102488,0,0.0542857137599848,0.194393744423172,0,0,0,0,0,0,0,0,0.0271378404934527,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,-0.0513855626548033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451355371763559,0,0.0838867738937932,0,0,0,-0.0168942662352303,0,-0.0012411975575452,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0527554794498311,0,0.0545914537544234,0,0.134151045820778,-0.278160642742576,0,0,0,-0.0625278558266592,0,0
Slope,0,0,0,0,0,0,0,0,0,0,-0.200588922529108,0,-0.106451440337847,0.174699330614623,0,0,0,-0.0143942240808474,0.08672874824802,0,0,0,0.0334171461847408,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.219121294940168,0.250907982474593,0,0,0,-0.288230819303208,0,0.0145062684416308,0,0,0.130967278005503,0,1.01089079124311,0,0,0,-0.0937742355277103,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00675994930803089,0.285798344292106,0,0.0230724616521245,0,0,0,0,0,0,0,0,-0.0614967497269567,0,0,0.0724075272733819,-0.0892593204459099,0,0.0847791918792359,0,0,0.102782695249543,0,0,0,-0.054612971413776,0,-0.0297419597808006,0,0,0,0,0,-0.194126004695123,0,0,0,0.797140025194265,0,0,0,0,-0.281105177720134,0,0
RealEstate_excess,0,0,0,0,0,0,0,-0.0662030441387064,0,0,0,0,0.0497409856655276,-0.027850813051769,0.028327163599953,0,0,-0.0200105430596915,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497537488558092,0,0,0,0,-0.097263842346399,0.0298755930112338,0,0,-1.0842021724855e-19,0.0116542851290912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0664458688452792,0,0
MKreturn,0,0,0,0,-0.00882268301201974,0,0,-0.0180054672046444,0,0,5.42101086242752e-20,0.046847951219461,0,0.0145522716219992,0,0,0,-0.00858804272306825,0.0244727405680488,0,0,0,-0.001010673436701,0,0,0,0,0,0,-0.0587413263746145,0,0,0,0,0,0,0,0,0,0,0,0.013968248026347,0,0,0,0,0,0,0,0,0,-0.0037451473667202,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,-6.65865953153372e-05,-0.00126318857203562,0,0,0,-0.000521112101512635,0,0,-0.000599152334660179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125620477421611,0,0,0,0,0,0,0,0,0,0.00264724751765156,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.513543565062589,-0.0373339708250025,0,0,-0.189337059440851,-0.0946806224699657,0,0,0,0,0,0,0,0,0,0.24927412315947,0,0,0.0308926259190483,0,0.144236788724427,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.259821729366203,0,0,0,-0.159397804252128,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,-0.00431121664436472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00103455217997309,0,0,0,0,0.000249293151945485,0,0,0,0.000947349583567401,0.000639685561995081,0,0,-0.00313653221776741,0,0,0,0,-0.00185619265940002,0,0,0,0.00407417024524617,0,0,0,0,0.00273705924251796,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000212285178643218,0,-0.0234281597282915,0,0.00193145451757115,0,0,0,0,0,0,0,0,0,0,0,0,0.00144648090558973,0.00463281887343155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109743294342184,0,0.00247282608094537,0.0051319544900308,0,0,0,0,-0.0339556035229974,0,0
