,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600362.SH,X600188.SH,X600886.SH,X600352.SH,X600795.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X600489.SH,X002271.SZ,X600176.SH,X600516.SH,X000709.SZ,X002460.SZ,X000786.SZ,X000629.SZ,X002466.SZ,X000883.SZ,X600299.SH,X600219.SH,X601158.SH,X600808.SH,X000553.SZ,X000630.SZ,X600583.SH,X600985.SH,X000027.SZ,X600426.SH,X601699.SH,X000401.SZ,X600339.SH,X600612.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600339.SH,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.000671552873778376,0,0,0,0,0.0517128297757017,0,0,-0.0559899945030133,0,0,0,0,0,0,0,0.0405115582559445,0,0.310686455333045,0,0,0,0,0,0,0,0,0.0260002653537384,0,0.366827400168603,0,0,0,0,0,0,0,0,0,0.0470944050211029,-0.00681894470908643,0,0,0,0.0520922856129568,0,0
X600612.SH,0,0,0,0,0,0.3200392500423,0,0,0,0,0,0,0,0,0.0531049213655668,0,0,0,0,0,0.0195262490690777,0,0,0,0,0.399942197651035,0.0655642326491701,-2.16840434497101e-19,0,0,0,0,0,0,0,0.103741494484158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010116558057726,0,-0.0240315134973641,0,0,0.0241458315605488,0,0
X000825.SZ,0,0,0,0,0,0.0289172784887096,0,0.0477769741014319,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011659089332054,0.156565865278468,0,0.196152035194603,0,0,0,0,0,0,0,0,0,0.334795189060036,0,0,0,0,0.0867419048785728,0.0416251563767902,0,0.135427634553772,0,0,0,0,0,0,0,0,0.190830841774202,-0.0299421308219898,0.0516934568366215,0,0,0,0.0156346180895873,0,0
Change_TY3M,0,0,0,0,0,-0.104627982811423,0.0807957236875176,-0.102176261680421,0,-0.202870068267725,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.127688099426114,-0.0101164798330538,0,0,0,0,0,0,0,-0.0311582476827429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167565828483205,0,0,-0.215151596722849,0,0,0,-0.0453000337978451,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.588528133682577,0,0,0.0831853779789796,0,0,0,0,0,0,0,0,0,0.186922737267115,0,-0.100609543559261,0,0,0,0,0,0,0.122575529119211,0,-0.489454099161493,0,0,-0.535439625265113,-0.189531558644879,0,0.913041016768275,-0.714899274226401,0,0,0,1.24753391929579,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,-0.332818829940563,-0.978158395795113,0,0,0,0,-0.067218409279523,0,-6.93889390390723e-18,-0.140304557981239,0,0,0,0.715534939189217,-0.355125605039321,0,0,-0.108865847253695,0,0,0.409764570882086,0,0,0,0,0,0,0,0,0,0.263451988774059,0,0,0.19550773748553,0,0.190397986450526,0,0,0,-0.617771474690338,0.222583303910989,0,0,0,0,-0.118564840234493,0,0
RealEstate_excess,0,0,0,0,0,0,-0.012305277223523,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425558046355049,0,0,0,0,0,0,0,0.104256821339941,0,-0.153123979356433,0,0,0,0,0,0,0,0,0,0,0,0.05475350212119,0,0,0,0,-0.0778923085779181,0,0,0,-0.0191425624508391,0.00799754726432425,0,0.27371521474123,0,0.00524411205616101,0,0
MKreturn,0,0,0,0,0,0,-0.225608029769484,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.232639516474581,0,0,0,0,0,-0.127913000141842,0,0,0,0,0,0,0.0972432231608044,0,0,0.24026241841786,-0.0353296044646445,0,0,0.168258917519169,0,0.113460530561218,0,0,0.00659313794843048,0.0114040729708574,0.450190142220743,0,0,0.0426078804845097,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000927103444141838,-0.00262241583509026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000717438664756368,0,0,0,0,0,-0.00174393282096617,0,0,0.000991371310096793,0.000404111091622268,0,0,0,0.0023966761186535,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0638559363005729,0,0,0,0,0.0562891639473263,0.211671871206522,0,-0.380863662520823,0,0,0,0,0,-0.0387756930063886,-0.034149978679646,0,0,0,0,0,0,-0.201444718242993,0,0,0,0,0,0,0,0,-0.198504327434571,-0.762166932318527,0,0,0,0,-6.72274827431852,0
