,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002466.SZ,X002460.SZ,X600585.SH,X600188.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X002271.SZ,X600111.SH,X600660.SH,X000877.SZ,X000301.SZ,X600010.SH,X000708.SZ,X600886.SH,X600547.SH,X600795.SH,X601600.SH,X600176.SH,X600362.SH,X000408.SZ,X600426.SH,X600096.SH,X000786.SZ,X601991.SH,X300073.SZ,X000629.SZ,X600803.SH,X000983.SZ,X600027.SH,X000723.SZ,X002080.SZ,X600141.SH,X601699.SH,X600219.SH,X600801.SH,X002192.SZ,X600157.SH,X600486.SH,X000959.SZ,X000883.SZ,X600160.SH,X600399.SH,X002353.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002080.SZ,0,0,0,0,0.0372126317550852,0,0,0,0,0,0,0,0,0,0.0237010509711897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20544477402653,0,0,0,0,0.162107612896623,0,0,0,0.0213073156829032,0,0.0647534252923403,0,0,0,0,0.047278755608148,0.0419570326601574,0,0.110339528344192,0,-2.16840434497101e-19,0,0,0,0,0.0156982001758427,0,0
X600141.SH,0,0,0,0,0.0197550142794414,0,0,3.46944695195361e-18,0.0728026853716278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597035767314256,0,0,0.0638081052144776,-0.00377025036951648,0,-0.0300022693073547,-0.0830955535524124,0,0.0295253135178102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304610152027964,0,0
X601699.SH,0,0,0,0,0,0,0,0.0167417015829001,0,0,0.129147186745255,0,-0.000476301647542351,0,-0.0561236709868333,0,0,0,0,0,0,0,0,0,0,0,0,0.124493898134998,0,0,0,0,0,0.545693134091493,0,0,0,0.0770158351748183,0,0,0,0,0,-0.159648294989183,0.0226350308718675,0,0.156556625376679,0,0,0,0,0.0555276143787451,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258519988883099,0,0,0,0,0,0,0,0,0.158758623041918,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.14253369590395,0.141681188870376,0,0,0,0,0,0,0.00572747813554467,0,0,0.055120832112794,0.000693429003994096,0,0,0,-0.010081102625309,0,0,0,0,0.011134939803013,0,0
X600801.SH,0,0,0,0,0,0,0.165971480326574,0,0,0,0,0,0,0,0,0,0,-0.021447167360326,0,0,0,0,0,0,0,0,0,0,0.0309047392779113,0,0,0,0,0.0470580819945499,0.133325708074501,0,0,0,0,0,0,0.0801108915252281,0,0,0,0,0,0,0.0669007497698455,0,0,-0.0409873684539728,-0.00764985279308217,0,0,0,-0.072523221442046,0,0
X002192.SZ,0,0,0,0,0.562739160642077,5.42101086242752e-20,0,0,0.0344080801680801,0,0,0,-0.0788082276778952,0,0,0,0.127506678136217,0,0,0,0,0,0,0,0,0,0,-0.0403616038844096,0,0,1.35525271560688e-20,0,0,0,0.019438829879698,0,0,0,0,0,0,0,0,0.0552334588911258,-0.027759438440548,0,0,0,0,0.127474107141315,0,0,-0.159111240834292,0,0,0,0.0493102688832174,0,0
X600157.SH,0,0,0,0,0,0,0,0.0183549299702487,0.166309789960418,0,0,0.00213575077917215,0,0,0,0,0,0,0,0,0,0,0.197327924873715,0,0,0,0,0,0,0,0,0,0,0,0,0.0166016133950761,0,0,0,0,0,0.0515345933875848,0,0,0,0,0,0,0.0765051699566128,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0
X600486.SH,0,0,0,0,0.0173335175014673,0,0,0,0,0,0,0,-0.109268986672144,0,-0.0978842309996079,0,0.222861568028528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378238718205721,0,0,0,0,0,0.0421098852685257,0,0.0457437638916864,0,0,-0.112996543634579,0,-0.0426663762995678,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0,0,0.138463597680693,0,0.0341493052774789,0,0,0,0,0,0,0,0,0.480040410098889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166012663175187,0,0,0,0,0.0382544778273465,0.0570433704107262,0,0,0,0,0,0
X000883.SZ,0,0.0809050194199717,0,0,0,0,0,0,0,0,0,0.00691790712879612,0,0.0166697773595128,0,0,0,0,0,0,0,0.0601427379254508,0,0,0,0,0,0.124405871318435,0,0,0,0,0,0,0.0695609547734455,0,0,0,0,0,0,0,0,0,0,0,0,0.0876657903769916,0.0350128944524903,0.00010803802708127,0,0,0,0,0,0,0.0113291632052134,0,0
