,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600547.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X600352.SH,X600362.SH,X600188.SH,X600795.SH,X600111.SH,X600801.SH,X000723.SZ,X601992.SH,X600027.SH,X000898.SZ,X002271.SZ,X600489.SH,X600176.SH,X600516.SH,X002460.SZ,X000709.SZ,X002466.SZ,X000786.SZ,X000629.SZ,X600299.SH,X000883.SZ,X601158.SH,X600219.SH,X600808.SH,X000553.SZ,X000630.SZ,X000401.SZ,X600985.SH,X601699.SH,X000027.SZ,X600583.SH,X600426.SH,X600339.SH,X000825.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600299.SH,0,0,0,0,0.231101436115227,0,0,0,0,0,0,0,0,0,0,-0.0813881176203285,0,0,0,0,0.0903342657433149,0.135892942088023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247391461289655,0,0,0,0.156604656250658,0,0,0.0188671165865824,0,0,0,0.283028282903847,0,0,0,0,-0.0328620065114912,0,0,0,0,0.0820990442142148,0,0
X000883.SZ,0,0,0,-0.117454137719586,0,0,0.00158697791569029,0,0,0,0,0,0,0,0,0,0,0,0,0.201236085395173,0,0.154353618352535,0,0,0,0,0.00194818526040853,0,0.0383906959456782,0,0,0,0,-0.0154412135467094,0.069758190386715,0,0,0,0,0,0,0,0,0,0,0.172397540189906,0,0,0,0,0,0,0,0,0,0,0.022211900695951,0,0
X601158.SH,0,0,0,-0.0741155298575557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0448498007674522,0,0,0.179201448133451,0.132061473832496,0,6.93889390390723e-18,-8.67361737988404e-19,0.0356164089684795,0,0,0,0.065431883970819,0.026965402923878,0,0.0528767365816869,0,0,0,0,0,0,0,0,0,0,0.141587985900442,0,0,0,0,0,0.0152407530955578,-0.0117300023376796,0,0,0,0.0150905529835959,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187897644530699,0,0,0,0.205611886219103,0,0,0,0,0,0,0.154266652504336,0.0243042320747104,0,0,0,0,0,0.13103673932583,0,0,0,0,0,0,0.0208649259289226,0,0,0,0,0,0.040025172655415,0,0,0,-0.0424387431680989,-0.0134669347045487,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132115093243777,0.0286050624323519,0.0591033951860432,0,0.365496426087778,0,0,0,0,0,0.0332790005304226,0,0,0,0,0,0,0,0,0,-0.0568246336026798,0,0,0.0217020248493573,0,0,0,-0.0754555478783022,0,0.669180768612242,0,0,0,-0.0674579241759944,0.0946775292598286,0.0316889573995933,0,0,0,0
X000553.SZ,0,0,0,0,0,0.116876965286029,0.308122411547204,0,0,0,0,0,0,0.283064612221156,0,0.183504697846983,0,0,0,0,0,0,0,0,0,0.235483899121878,0,0.0242090387723441,0.220948587192633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129685890899024,0,0,0,-0.0241298574621229,-0.0646300928758798,0,0,0,-0.0926521252033618,0,0
X000630.SZ,0,0,0,0,0,0.0574781257806693,0,0,0,0,0,0,0,0.00960876415188866,0,0,0.383891749664911,0,0,0,0.00512730307615393,0.0190012776773994,0,0.0645087965570257,0,0,0.0355441824938666,0,0.0551329568180841,0,0,0,0,0,0.0449485158095479,0,0,0,0,0,0,0,0,0,0,0.127740728169448,0,0,0,0,0,0,0,0,0,0,0,0,0
X000401.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037300549841792,0,0,0,0.102318443594006,0.505540845241266,0.0199470046144013,0.126304469042753,0,0,0.141569252862213,0,0,0,0,0,0,0.314889897498852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213251263435045,0.00301189225776247,0,0,0,0.0732348636733185,0,0
X600985.SH,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.315696211430046,0,0,0,0,0,0,0.0850973121370144,0,0,0,0,0,0,0,0,0,0,0,0.153772907136411,0.0610742032214634,0.0364999637026624,0,0,0.311244833220513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494515122579527,0,0,0.497574637475146,0,0.00519388581387141,0,0
X601699.SH,0,0,0,0,0,0.00359183093366312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103597751113006,0,0,0.223156969425761,0,0,0,0,0.0155349010172984,0,0,0,0,0,0,0,0,0,0,0.0333773703860008,0,0,0,0,0,0.194168925639951,0.226978518631771,0,0,0,0,0,0,0,0,0,0.000359672320834398,0,0
