,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600585.SH,X600011.SH,X600547.SH,X600886.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600803.SH,X600160.SH,X600027.SH,X000807.SZ,X000301.SZ,X601991.SH,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X601168.SH,X000933.SZ,X600096.SH,X600985.SH,X002353.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X000831.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0.165871174002864,0,0,-0.0301582960733171,0,0.133337958753432,0,0,0,0,0,0,0,0,0,0.0387907032111319,0.62140392350992,0,0.00624332920535297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407424978914202,0,0,0,0,0,0,-0.0851511673766673,-0.00512371621665928,-0.00728691695935409,0,0,0,-0.00881663511614582,0,0
X000807.SZ,0,0,0,0,0,0,-0.0517107943083303,0,0.497755601554831,0,0,-0.0864521341414262,0,0,0,0.0278940189063855,0,0,0,-0.0585890010001445,0,0,0,0.0197205822758171,0,0,0.118357576572112,0,0,0,0,0,0,0,0,-0.0432043184669047,0,0,0.0708779626680546,0.309019604767298,0,0,0,-0.019526937455869,0,0,0,0,0,0,0,-0.0102313904422392,-0.011474495637421,0,0,0,0.0249544378683279,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266153457771578,0.560675794993739,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.0603004878246932,0.76772693448779,0,0,0,0,-0.0276694939563273,0,-0.275742225832146,0,0,0,0,0,0,0,-0.0190102762321105,0.010984891992785,0,0,0,-0.0504704210945424,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210969295058887,0,0.102569523875512,0,0,0.0146574674977417,0.0850967403371455,0,0,0,0,0,0,0.116162947002524,0,0.0150221183018921,0.0944646734525207,0,0.00920316417332269,0,0,3.46944695195361e-18,0,0.0757013125801284,0,0,0,0,0.0622439924968405,0,0,0,0,-0.00179470865546906,-0.00759949631626212,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0.0491777789404635,0.0524361106039413,0,0.0222760758977256,0.0749328926435709,0,0,0,0,0,0,0.268635397252932,0,0,0,-0.0864691117293345,0,0,0,0,0,0.0524566404926504,0,0,0,0,0,0.112396881738762,-0.0213297261116328,0,0,0.182453497983766,0,0,0,-1.38777878078145e-17,0,0.0671019730901249,0,-0.190084481944096,0,0,0,0,-0.00265060700305343,0.10593982024051,0,0,-0.0413047672164813,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.31707046463433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108780445346709,0,0,0,0,0.160698636429148,0,0,0,0,0,0,0.20804206950263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649813552102644,0.00329258254638044,0,0,0,-0.0808962293788112,0,0
X600426.SH,0,0,0,0.311985286559368,0,0,0,0,0,0,0,0,0,0.0815799768616393,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0150699379351982,0,0,0,0,0.239262037488456,0,0,0,0.0445705420628509,0.106598762313549,0,0,3.46944695195361e-18,0,0,0,0,-0.0304828898802132,0.0136314224141611,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619056614197131,0,0,0,0.0494767341104801,0,0,0,0.230097043236928,0,0,0,0,0,0,0,0,0,0,0,0.255402451270527,0.0364102090177657,0.0339523248356255,0,0,0,0,0.164760878559035,0,0.0751433355971371,0,0,0,2.16840434497101e-19,0,0,0,-0.0417116765331969,-0.00581267999065664,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319907507021175,0,0.014215246284757,0,0,0,0,0,0,0,0,0,0,0.243813122059348,0,-0.142115523844329,0,0,1.73472347597681e-18,0.161372795982454,0.264108835225741,0.149104853841871,0,0,0,0,0.00409126865781383,0,0,0,-0.0026994492891789,0.00292474257692269,0,-0.198909063234806,0,0.00624557216125267,0,0
X000408.SZ,0.112160820452144,0,0,0,0,0,0,0,0,0.0234447366299768,0,0,0,0,0,0,0,0,0.0920824673248715,0,0.173532453099223,0.0227394282927485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762479386216422,0,0,0,0.186368022276987,0,0,0,0,0,0,0,0.0379995951337635,0,0,0,0,0.0304025894992752,0,0,0,0,0,0
