,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600585.SH,X600011.SH,X600547.SH,X600886.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600803.SH,X600160.SH,X600027.SH,X000807.SZ,X000301.SZ,X601991.SH,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X601168.SH,X000933.SZ,X600096.SH,X600985.SH,X002353.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X000831.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600378.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065777573950803,0,0.0382083298651599,0.266436231572577,0,0.0843111729737097,0,0.0857574738645132,0,0,0,0,-0.22370345850846,0,0,0,0,0,0,0,0,0,0,0.0281727343785968,0.0902312277182634,0.367744443276535,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.0511181988565044,-0.000206215468781048,0,0,0,-0.0067906215878966,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0.0746973244697318,0,0,0,0,0,0,0,0,0,0,0,0.190421535668121,0,0,0,0,0.147372712386316,0,0.195858908753304,0,0,0,0,0,0,0.403420524625514,0.0565451934442772,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,-0.0239283778812853,0,-0.202721700319814,0,0,-0.133127234878238,0,0
X600995.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456938029296695,0,0,0,0.0526125157982839,0,0,0,0.166824257950468,0,0,0,0,0.120186054581472,0,0,0,0,0.0965164060321741,0,0,0,0,0,0,0,0,0,0,-0.00860375457638444,0.0853348260649862,0,0,0,0,0,0,-0.0172301708322241,0.0114024556006504,0,0,0,0.0151860078472918,0,0
X000831.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660861266340815,0,0,0.252756025629193,0,0,0,0,0,0,-0.0581451867519022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00728287376532678,0,0,0,0,0,0,0,0,0,-0.0524347276563895,0.0686930437362023,0,0,0,0.12013678003399,0,0
X600352.SH,0,0,0,0,0.0108169591013666,0,0,0,0,0,0,0,0.0702616590497033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302479875109803,0,1.73472347597681e-18,0.00769156274509032,0,0,0,0,0,0,0,0.10319454462565,0.192589327528578,0,0,0,0,0,0,-0.0164905974771695,-0.06886325708012,0,0,0,-0.0192984714834201,0,0
X600688.SH,0,0,0.0186206339343494,0.0747368408796481,0,0,0,0,0,0,0,0,0,0,0.0495180923645589,0,0,0,1.0842021724855e-19,0,3.46944695195361e-18,0.035889790119715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417672605046388,0.00364485958108991,0,0.00481446330138203,0,0,0,0.0165769531742661,0,0,0,0,0,0,-0.0251810260419415,0.0121992434161688,0,0,0,0,-0.00362121174409408,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353612707577243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641351727332512,-0.468634129395863,0.132757671861095,0,0,0,0,0
Slope,0,0.532322436249742,0,0,0,0,0,-0.363699354182309,0,0,0,0,0,0,0,0,0,0,0,-0.282922608015762,0,0.222783629242323,0,0,0,0,0.430695505191479,0,0,0,0,0,0,-6.93889390390723e-18,0,0.14830986505634,0,0,-0.214052782168537,0,0,0,0,0,0,0,0,0,0,0,-0.405879995218386,0,0.639523895618999,0.873428401762976,0,0,1.34882863884664,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0841885304103027,0,0,0,0,0,0,0,0,0,0.151657627511002,0,0,0,0,0,0,0,0,-0.122590001828944,0,0,0,0,0,0,0,0.385588851240445,0,0,0,0,-0.26780068222386,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129809044875907,0,0,0,0.0165347548889624,0,0,0,-0.134191893151444,-0.119396267457982,0.15597959449454,0,0,0,0,0,0,0,0.222150688825839,0,0,0,0.0271395818439248,0,0,0,0,0,0,-0.0307231171196012,-0.438738436224447,0,0,0.390944923304656,0,0,0.0568003151389663,-0.0103281378641097,-0.0302399760208314,0,0,0,0.0183441929828628,0,0
MKreturn,0,0,-0.113735332548301,0,-0.125551025499661,0,0,0.446466743220465,0,0,0,0,0,0,0,0.159681660145381,0,0,-0.0425611567922693,0,0,0,0,0,0,0,-0.0713195189216545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402163620867336,0,-0.103591771015602,0,0,0,0,0,-0.0218441621587089,0.0189927658603963,-0.00239769426223947,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015080712113287,0,0,0,0,0,0,-0.000979083779074082,0,0,0,0,0,0,0,0,0,0,-0.00329086258228477,0,0,-0.0064328508055789,0.024302182769662,-0.0102215026041139,0,0,0,-0.00330128598771068,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0.0141776330615149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179047538484901,0,0,0,0,0,0,0.00713900752070829,0,0,0,0,0,0,-0.00929078223627242,0,0,0.00351474868133966,0,0,0.00152204037575587,0,0,0,0.0105647389447016,0,0,0.00217000569526856,0,0,0,-0.0120599112042026,0.0226700921870706,-0.0140698973478771,0,0,0,0.0026891478512623,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,-0.00187950775859867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270819224958683,0.0289370494443039,0,0,0,-0.0540434819449562,0,0
