,X600519.SH,X600104.SH,X000858.SZ,X000651.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000568.SZ,X000338.SZ,X600031.SH,X600741.SH,X600703.SH,X300003.SZ,X600271.SH,X601877.SH,X300124.SZ,X000596.SZ,X600487.SH,X002008.SZ,X002236.SZ,X002456.SZ,X002007.SZ,X600809.SH,X000100.SZ,X600566.SH,X002179.SZ,X600867.SH,X600498.SH,X000661.SZ,X300146.SZ,X000625.SZ,X600066.SH,X002294.SZ,X600177.SH,X000157.SZ,X300136.SZ,X000977.SZ,X600089.SH,X002506.SZ,X002180.SZ,X002241.SZ,X600372.SH,X300142.SZ,X600522.SH,X000050.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600522.SH,0,0,0,0,0,0,0,0.345620291726335,0,0.284418580928834,0,0,0.083339771233077,0,0,0,0,0,0,0.0523802985120075,0,0,0,0,0,-0.00962239010815752,0.0186341955470758,0,0,0,0,0,0,0,0.0591627073993058,0,0,0,0,0,0,0,0,0,0,0.0326079064130428,0,0,0.0471520570822318,0,0,-0.0191511065316349,0,0,0,0,0,0,0
X000050.SZ,0,0,0,0,-0.194230325805684,0.252396537600136,-0.228486170857429,0,-0.0954346283539284,0.0591891987330338,0,-0.441652480384707,0,0,0,0,0,0,0,0,0.130951794815108,0,-0.23682405002689,0,0,0.0158671705921141,0.542032493454682,0,0,0,0,0,0,0.0473038846715158,0,0.44349509907232,0.355246210781279,0,0,0,0,0,0,0.153241456735508,0,0,0,0,0,0,-0.169152323280843,0.0101312998314755,0.0226625661970343,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0,0.157414463626419,0,0,0,0,0,0,0.647886205445474,-0.469142074937381,0,0,0,0,0,0,0,0,0,0,0,0,-0.095496763282009,6.93889390390723e-18,0,-1.73472347597681e-18,0,0,0.0412561770566284,0,0,0,0,0.0726009491357358,0,0,0.377488516590879,-0.388713550033693,0,-0.0335146346005797,0,0,0,0,0.0620838484241553,0.146825779541052,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0.103424405284447,0,0,0,-0.0306350782575587,0,0,0,0,0,0,0.314818887959097,0,0,0,0,0.0404222413861696,0,0,0,0.0721570103247138,0,0,0,0.17829317159145,0,0,0.0687599256931723,0,0,0,0,0,0,-0.257001080454935,0,0,0,0,0,0,0,-0.487253934316638,0,0,-0.094710830345008,-0.15720044333162,0,0.299935046358418,0,0,0,0
Slope,0,1.83433298438111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605470258189845,0,0,0.0906071975326385,0,0.986775020499854,0,-0.196875921326303,0,0,-0.969730928462968,0,0,0,0,0,0,0,-0.684899154893371,0,0,0,-0.704756574346933,-1.47116108677812,0,0,0,0,0.671316119443625,0,0,0,0.916023696602559,-0.805943022734981,0,-1.18840282623113,0,0,0,0,0,0
TED,0,0.602301005277105,0,0,0,0,0,0,0,-0.0314881995428069,0,0,0,0,0,0,0.0714275078547306,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.016501589625354,0,0,0,0,0,0,0,0,0,0,0,0.0832044302127825,-0.947375046873228,0,0,0.335376438545648,-1.27215757873259,-0.148635975069146,0,0,0,0,-0.0433444563177455,0,0
RealEstate_excess,0,0.0358151622047836,0,0,0,0,0,0,0,0,0,0,0,-0.0694685823700802,0,0,0,-0.0790959002531727,0,-0.00626137663893185,0,0,0,0,0,0,0,0,0,0.0639976078279708,0,0,0,0,0,0,0,0,0,-0.0727586365372445,0,0,0,0,0,0,0.0406521211529457,0,0,0,0,-0.0179915119749645,-0.0222871256364874,0,0.00196118696711248,0,0,0,0
MKreturn,-0.0918517016300859,0,0,0,0,0,0.0257493016503879,0,0,0,-0.152465507664819,0,0.0367599235771156,0,0,0,-0.0499381969108468,0.0451073425698156,0,0,0,0,0,0,0,0,0,0,-0.135947435758951,0,0.230774267707813,0,0.0745781616364765,0,0,0,0,0,0,0,-0.0253377000998171,0,0,0,0.00906076883411887,0,0,0,0.166961774781625,0,0,-0.0278848084048256,-0.0214864934113253,0.109528660897045,0,0,0,0,0
MKvol,0,-2.71050543121376e-20,0,0,0.00260067965656494,0,0,0,0,0.000355531911851206,0.000332278826780129,0,0,-0.00269876073500007,0,-0.000317371835660493,0.00171453406015703,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000456417436152511,0.000874414224919966,-0.000815233572932482,0,-0.00136969001004039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000674695584009751,0,0,0,0,0.0244501040514271,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100042276303514,0,0,0,0,0,0,0,0,0,0,0.0199678522217687,-0.0159737475676599,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441370000601206,-0.00369251653546206,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0.00179508223510549,0,0,0,0,0,0,0,0,0,0,0,-0.000619221147906123,0.00363901196670184,-0.00149617845287154,-0.00111958691141776,0,0,0,0,0,-0.00633024884500868,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016218749267118,0,0,0,0.00450728382159447,0,-0.00421924516694646,0.00635798214464476,-0.0079320652937334,0,0,0,0,0.0505849706388773,0
