,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X000858.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X600271.SH,X600118.SH,X002129.SZ,X600372.SH,X000338.SZ,X000157.SZ,X600703.SH,X600089.SH,X002241.SZ,X600741.SH,X600177.SH,X002236.SZ,X600582.SH,X600066.SH,X002292.SZ,X600060.SH,X300124.SZ,X000977.SZ,X000559.SZ,X002475.SZ,X002456.SZ,X000800.SZ,X601877.SH,X600435.SH,X002491.SZ,X002465.SZ,X600839.SH,X300003.SZ,X002294.SZ,X000581.SZ,X000623.SZ,X002007.SZ,X600867.SH,X000568.SZ,X000869.SZ,X300146.SZ,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246290705538586,0.116703550471987,0,0,0,0,0.0126284908920889,0,0.0908132565562899,0,0.108684106596593,0,0,0,0.197988704950153,0,0,0,0,0,0.0135749376119033,0,0,0.0500489637383377,0,0,0,0,0,0,0,0,0,0,0,0,0.204421671836289,0,0,0.0333791277666229,0.00485516275870919,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,-0.147336839237912,0,0,0,0,0,0,0,0,0,0,0.114076464954237,0,0.115790290060414,0,0,0,0,0.151397685509668,0,0,0.229747764222385,0,0,0.101758000865678,0.209235383521712,0,0,0,0,0,0,-0.155699395308359,0,0,0,0,0,0,0,0,0,0.0176287798174504,0,0,0.0299018059986605,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234351736750101,0,0,0.172810911887162,0,0,0,0.11204351819876,0,0.182935994853123,0,0,0,0,0,0.127650003991136,-0.0399370622943824,0,0,0,0,0,0,0,-0.367462644790598,0,0,0.0421938304304599,0,0,0.0356559107641965,0,-0.0288329099417822,0,0,0,-0.0565633468961522,0,0.0134439947036173,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0.0669979682230666,0,0,0,0,0.115257239188056,0,0,0,0,0,0,0,0,0,0.133823873859813,0,0,0,0,0,0,0,0.0224091894033825,0,0.105093959487981,0,0,0,0,0,0,0.0411052024579308,0,0,0,0.112229482794611,0,0,0,0,0,0,0,0,0.143546958200952,0,-0.0277252631330157,-0.0179498411455419,0,0,0,0,0,0
X600435.SH,0,0,0,0,0,0,0,0,0,0.0437829155011326,0,0,0,0,0,0,0.128617979398493,0,0,0,0,0,0,0,0,0.0391340884736648,0,0,0.114980957665353,0.154114061039186,0.0586014021273844,0,0,0,0,0,0,0,0,0.15929370298736,0.00780421802564051,0,0,0,0,0,0,0,0.0480760500930524,0,0,-0.031231617240929,0,0,0,0,0,0,0
X002491.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0,0.0549398175071096,0,0,0,0.0586680063008311,0,0,0,0,0,0,0,0,0,0,0.0427335940686182,0.143087867735875,0,0.0783540921321622,0.0189993632381606,0,0,0,0.0305157110797473,0.0938614060852093,0,0,0.105500959334746,0,0,0,0.0688545320046041,0,0,0,0,0,0,0,0,0,0,0,-0.0111752074160322,0,0,0,0,0,0
X600839.SH,0,0,0.106943476440271,0,0.153393442814727,0,0,0,0,0,0,0,0.104136458584352,0,0.031496032591839,0,0,0,0.00860069972826575,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.15358635885077,0,0,0.0208674501032577,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0575975127440296,0,0,-0.0171055370962803,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0.252381033645136,0,0,0,0,-0.359521759675753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00927681049532954,0,0.104350097447766,0.14930528439112,0.141460848758587,0,0,0,0,0,0,0.5283603061564,0,0,0,0,0,0.00343928831888519,0,0,0,0,0,0,0,-0.00148280867878573,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0.042154812007344,0,0.0992748682680075,0.0125083331202671,0,0,0,0,0,0,0,0,0,0.0254102732097546,0.124944730873012,0,0,0.109033715366685,0,0,0.119257048674633,0.0338970183671983,0,0.0524157344892185,0,-0.049028281832432,-0.0625027955175403,0,0,0,0,0,0.0345503222438315,0,0,0,0,0,0,0,0,-0.00963841129109417,0,0,0,0,0,0,0
X000581.SZ,0.0621566852590948,0,0,0,0,0,0,0,0,0.021418559234416,0.350437661763969,0,0,0,0,0,0,0,0,0,0,0,-0.032120933249782,0,0,0,0,-0.0485916736399687,0.123225159734374,0,0,0.0371868875628621,0,0.0053021364783382,-0.169293351774125,0,0,0,0.198178884962186,0,0,0.113558619625098,0,0,0,0,0,0,0,0,0,0.000926510010019547,0,0,0,0,0,0,0
X000623.SZ,0,0,0.288663396235054,0,0,0,0,0.141648718844287,0,0,0,0,0,0,0,0,0,0.0185501311446754,0,0,0,0,0,0,0,0.14107360596158,0.062892686152538,0,0.0171002005547864,0,0,0.0145553979764637,0,0.119164433244763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107118611844842,0.0293213650921866,0,-0.0175778266072125,-0.0139908514194941,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281151956163774,0.0299732151758849,0,0.178837797205522,0,0,0,0,0,0,0,0,0,0,0.0720837317648305,0.00997999862527538,0,0,0,0,0,-0.0990583241749122,0,0,0,0,0,0.0189420860708846,0,0,-0.0206413136680383,0,0.251203352325699,0,8.67361737988404e-19,0,0,0,0.00911089667784798,0.0359102432079237,0,0,0,0,0,0
