,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600031.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X003816.SZ,X300014.SZ,X000063.SZ,X000100.SZ,X000596.SZ,X000157.SZ,X600703.SH,X002241.SZ,X002129.SZ,X600741.SH,X000625.SZ,X601877.SH,X002179.SZ,X002007.SZ,X002236.SZ,X300142.SZ,X002371.SZ,X002049.SZ,X002414.SZ,X600584.SH,X600183.SH,X601799.SH,X300003.SZ,X000799.SZ,X000800.SZ,X002074.SZ,X002008.SZ,X000066.SZ,X300146.SZ,X600089.SH,X002294.SZ,X000977.SZ,X600707.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000800.SZ,-0.159614687326445,0,-0.00483578443150945,0,0,0,0,0.0698975371164815,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143685718567819,0,0,0,0,0,0.068620604262398,-0.0136864088398136,0,-0.0830879411887959,0.0735438420228318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320767796797922,0,0.0109861296354493,0.0796412970012443,0,0,0.0270312781628612,0,0,0,0,-0.0110575412704958,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32836502543059,0,0.0269381961667086,-0.227320060141973,0,0,0,0.168700825226786,0,0.174092683530682,0,0.0159645787732354,0,0,0.0391433087890881,0,0.237636485759727,0,0,0,0,0,0,0,0,0,0,0,0,0.0840341974020708,0.0786626243305396,0,0,-0.032968120861188,0,0,0,-0.00491141924573786,0,0,0,-0.0781174252712283,0,0
X002008.SZ,0,0,0.146283163155415,0,0,0,0,0,0,0,0,0,0,0,0,0.0393598700533416,0,0,0,0.0310475257466167,0,0,0,0.132334027719023,0,0,0,0,0,0,0.101505169429715,0,0,0,0,0,0,0,0,0.0114800885825457,0,0,0,0,0.0208850547248322,0,0,0.339867393476533,0,0,0,-0.0100577502668187,0,0,0,0,0,0,0
X000066.SZ,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.051968324305596,-8.67361737988404e-19,0,-0.0612376471014618,0,0,0.133027608365527,0,0,0,-0.000851381406195097,0.0141988053340689,0,-0.0286691596993068,0,0,0,0.246620398917917,0,0.139432800781551,-0.115854413384999,0,0,0,0,0,0,0.285866326334004,0,0,0,0,0,0,-0.18787160226783,0,0.215014570902465,-0.00115547941409149,0,0,0,0,0,0,0,-0.0367412634223683,0,0
X300146.SZ,0,0,0,0,0,0,0,0.20424085483359,-0.0375715190274555,0,0,0,0,0.0540655673788577,0,-0.0684855946794205,0,0.0256639528328031,0,0.00344114717884135,0,0,0,0,0,0,0.154383497565402,0,0.113714222209915,0,0,0.0785658592381065,0,0,-0.0806656449843981,0,0,0,0.145094725610921,0,0,0,0,0,0,0,0,0,-0.0162664909822052,0,0.0667896071693689,0.0683742433556742,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280866947635762,0.0573055669627463,0,0.259638998550532,-0.0311311378237267,0,0,0.0825028247257387,0,0,0.280075181086938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122652407141012,0,0,0,0,0,0,0,0,0,0,0,0.0380016115836995,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0.00320725959325274,0,4.33680868994202e-19,0,0,0,0,0,-0.0359255582915571,0,0.129531564344805,0,0,0,0,0,0,0.135327575450913,0,0,0,0,0,0,0,0.0946788795538087,0,0,0,0,0,0,0,0,0.0873041169732594,0,0,0,0,0,0,0,0,0,0,-0.0113062350927866,0,0,0.0142884348098941,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,-0.169990507236389,0,0,0,0,0,0,0,0,0,-0.183818984061902,0.182220541641879,0,0,0.110146496489609,0.0338722293870804,0.177061733682554,0,0,-6.93889390390723e-18,0,0,0.235833795166943,0.274264336077088,0,0.0533574537581927,0,0,0.000995103111442623,0,-0.228062569670188,0,0,0,0,0,0.381515884208498,0,0,0,0,0,0,0,-0.0205710287298,0,0,0,0,0,0,0
X600707.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0.111803730581678,0,0,0,-0.0373349523133014,0,0,0,0,0,0,0,0.0321560780215275,0,0.00138870513901577,-0.0255170885857622,0,0,0.107710836439789,0,0,-0.0750839435936389,0,0,0.010359509309753,0,0,0,-0.0370234084304957,0,0,0,0,0,0,0,0,0,-0.0893092101636272,0,0,0,0,-0.00720958895428313,0,0,-0.0158476471447997,0,0,0,0,0.0409342259932829,0,0
