,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002241.SZ,X002236.SZ,X000568.SZ,X000100.SZ,X600031.SH,X600271.SH,X002475.SZ,X002456.SZ,X600118.SH,X002085.SZ,X600177.SH,X002292.SZ,X000338.SZ,X000157.SZ,X002180.SZ,X002007.SZ,X000559.SZ,X600372.SH,X300003.SZ,X600867.SH,X300124.SZ,X002426.SZ,X002506.SZ,X601877.SH,X600498.SH,X002508.SZ,X002074.SZ,X002294.SZ,X600089.SH,X600522.SH,X000050.SZ,X600418.SH,X000977.SZ,X000550.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.544690709984315,0,0,0,0,0,0,0,0,0.121390294326938,0,0,0,0,0,0,0,0,0.354072249784587,0,0,0,0.159124723593846,0,0.108618397570554,0,0.15160476042155,0,0,0,0,0,0.0211984854937478,-0.362688691485323,0.0620138647493652,0,0,0,-0.0291656791751535,0.0162224724908152,0,0,0,0,0,0
X002236.SZ,0,0,0.171859459553895,0,0,0,0,0,0,0.0344749690237298,0,0,0,0,0,0,0,0,0,0,0,0.0617346400547327,0,0,0,0.0235232041443753,0,-0.0123540213207387,0.009396175775604,0.0260162327196555,0.14346544035525,0,0,0,0,0,0,0,0,0,0,0,0,0.0546310882009662,0.135069043169638,0.122430777176903,0,-0.0289595469033822,0,0,-0.0229339109988929,0,0,0,0,0,0,0
X000568.SZ,0,0,0.0563068391461509,0,0.500186767407388,0,0.0359067419080129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654644988896181,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0815665922474227,0,0,0,-0.052764875512137,0,0.0254948197758203,0,0,0,0,-0.0935222338784564,-0.0324191194526731,0,0.0605154343512997,0,0,0.00961162898137981,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0.0977537773438653,0.0177007028129817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180179885644319,0,0,0,0,0,0,0.0212670128364988,-0.0140786373492207,0,0,0,0,0,0,0,0.0278515698604096,-8.67361737988404e-19,0,0,0,0,-0.0307018722893051,0.114480074929074,0,0,0,0.0200184385879181,0,0.00958382997229207,0.102393556677122,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.101750688774045,0,0,0.0410920515333154,0,0.0746723822194604,0,0,0,0,0,0.119999207515971,0,0.128618461552618,0,0,0,0,0,0.0189220229396484,0,0,0,0,0,0,-0.0129595444712083,0,0.0391287413378014,0.00452159552958081,0,0,0,0,0,0,0.102338153728301,0,0,0,0,-0.037364170089448,-0.0588403430342042,0,0,0,0,0,0
X600271.SH,0,0,0,-0.0190604683252574,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.341278635643388,-0.0952891766733778,0,0.074636288079032,0,0,0,-0.0648259358677303,0.14204084304175,0.121592138596208,0.0621026437901593,0,-0.0725190477537688,0,0,0,0,0,-0.0910993621567809,-0.151264473094808,0,0,3.46944695195361e-18,-0.0379835634086253,0.0125940175116948,0,-0.00247062961230549,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,-0.479372876174802,0,0,0,0.430452025847545,0,0,0,0,0.146052876359593,-0.0530246155231804,0,-1.55389823196331,0,0,0,0.161742191031252,0,0.266978978818469,0,0,0,0,0,0,0.0172175310546401,-0.00452080650374941,0,0,0,0,0,0,0,0,0,0,0,0,0.15378358359088,0,0,0,0,0,0.0614212254726437,0,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271007936304634,0.075871878094177,0,0,0.024334313902503,0,0.209867953373859,0,0,0.160094022064924,0,0,0,0,0,0,0,0.0339815328927771,0,0,0,0,0,0.0717468434175377,0,0,0,0,0,0,0.257996085314749,0,0,0.0851589912215401,0,0,-0.0887781054672213,0,0,0,0,0,0,0
X600118.SH,0,0,0,-0.00274709308297102,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139301470108898,0,0,0.0720459353016667,0,0,0,0,0,3.46944695195361e-18,0,0,-0.0113622905496527,0,0,0.37503760026454,0,0,0.0641496630162809,0,0.0321206605165804,0.0547694895915474,0.106685397305352,0,0,0,0,0,0,0,0.122637073019634,0,-0.0491373550720191,0,0,0,0,0,0,0,0,0
X002085.SZ,0,-0.0777519708275693,0,0,0,0,0.109650566416464,0,0,-0.126679402138893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400002506587075,0,0,0,0,0,0,0,0,0.151186128854794,0.028148117358204,0,0,0,0,0,0,0,0.0540631291467514,0.0321746327126214,0.018441667483809,0,0.0677239946132887,0.19043118721674,0,0,-0.0201637846021171,0,0,0,0,0,0
