,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X601877.SH,X600809.SH,X000100.SZ,X600703.SH,X600271.SH,X000157.SZ,X300003.SZ,X002007.SZ,X002236.SZ,X300124.SZ,X300142.SZ,X002008.SZ,X002179.SZ,X000625.SZ,X600177.SH,X000977.SZ,X002371.SZ,X600498.SH,X002506.SZ,X600776.SH,X600867.SH,X600183.SH,X600487.SH,X300146.SZ,X000066.SZ,X000050.SZ,X600066.SH,X600566.SH,X002129.SZ,X600118.SH,X002049.SZ,X600522.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600566.SH,0,0,0.0970913141685847,0,0,0,0,0,0,0,0.150556373254788,0,0,0.0423088954406179,0.0965585747309585,0,0,0,0,0,0,0,0,0,0,0.117511432504939,0,0.0025512280168863,0,0,0.00523707990102629,0,0,0,0,0,0,0.0736226787195478,0.0748022996701953,0,0,0,0,0,0,0.0395998206322705,3.46944695195361e-18,0,0,0,0,-0.0182519612258194,-0.0223151696960032,0,0,0,0,0,0
X002129.SZ,-0.102187846984457,0,0,0,0,0,0,0.318755400787089,0,0,0,0,0,0,0,0,0,0,0,0,0.211748043985105,0.10456123301016,0,0,0.183591214014857,0,0,-3.46944695195361e-18,0,0,0,0,0.0471000961762144,0.2453212238158,0,0,-0.129654375656777,0,0,0,0,0.157148688193219,0,0,0,0,0,0.0146229229581885,0,0,0,0,0,0,0,0,0.000412824493413117,0,0
X600118.SH,0,0.0491035489945234,-0.108445284692482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176495446345005,0,0,0,0,0,0,0,0.125589536388701,0,0,0.0858194228634252,0.12710070607705,0,0,0,0,0.145393446422306,0,0,0,0,0,0,0.229211416345667,0,0.0402128181691592,0,0,0,0.0583357679580998,-0.0554640588127815,0,0,0,-0.0348506031737086,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.236194625551856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750309439052822,0,0,0.236729480107118,0,0,0,0.156375075558611,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053241335948786,-0.0960165891083036,0,0,0,-0.0419396641604256,0,0
X600522.SH,0,0.132610027365463,0,0,0,0,0,0,0.078703725228941,0,0,0,0,0.13677832568978,0,0,0,0,0,0,0,0,0,0,0,0.0466087588130914,0,0.056240299686438,0,0,0,0,0.0803448859750811,0,0,0,0.0606474483199149,0.0216633101350639,0.0192684838112438,0.0770112745765631,0,0,0.0100343900627847,0,0,0.0569664422313642,0.0724209876944341,0,0,0,0,-0.0181874252473044,0,0,0,0,0,0,0
X600089.SH,0,0.161985293311712,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.10303588624298,0,0,0,0,0,0,0,0,0,0,0.121813728388026,0,0,0,0,0.107908629977987,0,0,0,0,0.026019765015126,0.0195779881596385,0,0,0,0,0.015052058393571,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0367701448270239,0,0,0,0,0.00780869516333465,0,0
Change_TY3M,0,0,0,0,0,-0.181720070694294,-0.0657533478658347,0,0,0,-0.116858529092032,0,0,0.0589020451592163,0.0428258276032577,0,0,0,-0.00313464139162093,0,0,0,0,0,0,0,0,0,-0.0223276227194452,0,0.0873933233594002,0,-0.0753453529600442,0,0,0,-0.0317129425537353,0,0,0,0,0.218044834719181,0,0,0,0,0,-0.11219266163094,0,0,0,-0.0313537299221939,-0.104933246432705,0,-0.201674953289078,0,-0.0129588626741989,0,0
Slope,0,-0.366357193199863,0.390695552194328,0,0,-0.441979938755558,0,0,0,0,0.0835661622899624,0,0,0,0,0,0,0,0,-0.108089357536011,0,0,0,0,0,0,0,0,0,0.358408697951399,0,0,0,0.180573680699399,0,0,-0.0867502600890152,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.46378197125558,0,0,0,0,0.289525434367118,0,0,0,0,0,0
TED,-0.133781616996482,0,-0.109738038601247,0,0,0,0,0,-0.472410128845773,-0.0942836395829588,0.650346294177403,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0303877570716441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500928305756729,0,0,0,0,0.0619800439772187,0.279799838989053,-0.249627469440834,0,0,0,0,0.226495407157803,-0.297194581078246,0,-0.336637254138729,0.190408507425533,0,0,0,0,-0.150483111666047,0,0
RealEstate_excess,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.00431732588307861,-0.159771750730297,-0.0854698517859535,0,0,0,0,0,0,0,0.109003233234085,0,0,0,0,0,0,0,-0.0986024398965155,0,0,0,0,0,0,0,0,0,0,0,-0.0161899215470744,0,-0.0496349198363095,0,0,0,0,0,0,0,0,-0.0549498289146254,0.0128443833895165,0,0.210314534024036,0,0,0,0
MKreturn,0,-0.028512472442124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00407703982275002,0,0,0,-0.125833812425254,0,0,0,-0.239792205157182,0,0,0.106188992954923,0,0,0,0,0,0,0,0,-0.125339945487141,0,0.0162882870453944,0,0,0,0,0,0,0,0,0.0173568638687404,-0.0219698260963323,0.273259961897505,0,0,-0.0413960017602019,0,0
MKvol,0,0,0,0,0,0,0,0,0.0018130827778288,0.00636430236975178,0,0,-0.00410880625560441,0,0,0,0,0,0,-0.000916076326531077,0,0,0,0.00188491346967391,0,0,0,0.00101483656823436,0,0,5.42101086242752e-20,0,0,-0.00427381230167348,0,0,0,0,0,0,0,0.000568584625604057,0,0,0,0,0,0,0,0,0,0.000769467985508837,0.000413707121426854,0,0,0,0.0104561743528672,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000592773426999682,0,0,0,0,0,0,0,0,-0.0329034143760256,0.0205708402754479,0,0,0,-0.041232674267477,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,-0.00341241781413837,0,0,0,0,0,0,0,-0.00409601388683451,0,0,0,0,0,-0.000344643446697186,0,0,0.00394725311345029,-0.00715314355771658,0,0,0,0,-0.00534114836128141,0.00137929091752962,0,-0.000424186012205479,0,0.00226888868683711,0.00587307871931626,0,0,0,0,0,0.00543125218865606,0,0,0,0,0.0116708490954846,0,0,0,0.00370350414381771,0,0
