,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000063.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X002371.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X000100.SZ,X002049.SZ,X002236.SZ,X600372.SH,X000977.SZ,X600584.SH,X002241.SZ,X000157.SZ,X601877.SH,X000661.SZ,X600741.SH,X600522.SH,X002180.SZ,X000733.SZ,X002463.SZ,X002074.SZ,X000988.SZ,X600702.SH,X600460.SH,X000066.SZ,X300142.SZ,X000800.SZ,X002028.SZ,X002007.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0,0,-0.00115854610325015,0.0496636366215485,0,0,0,0.412483179464761,0,0.0543602666421226,0.0572238241465038,0,0,0,0,-0.0207539339309975,0,0,0.00914776874953606,0,0,0.0353052306184905,0,-0.0217635671175862,0,0,0,0,0,0,0,0,0.0405538837257801,0,0,0,0,0.0296841974474758,0,0,0,0,0,0,0,0,-0.0364238533525014,0,0.077973739862235,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.16027067850682,0,0,0,0,0,0.175214588860685,0,0,0,0,0.0186658241542383,0,0,0.296335274435276,0,0,0,0,0,0,0,-0.0212507015105957,0,0,0,0,0,0,0.0342211774247664,0,0,0,0,0.153185464234542,0.299615418645416,0.212103164641386,0,0,0,0,0,0,0.0944507149027985,0,-0.460784353475115,0,0,0,0,0
X002236.SZ,0,0,0.0584923562668019,0.419090187053948,0,-0.058686677549144,0.381138272079689,0,0,0,0,0,0,0,0,-0.00496394618113346,6.93889390390723e-18,0,0,0,-0.242900577978483,0.0347942145286699,0,0,0,-0.313341563824607,0,0,0,0.385800425725544,0,0,0.271602494438612,0,0,0,0,0,0,0.0117330973398123,0,0,0.0500713001296356,0.297936559501609,0,0,0,0,0,0,0,0.0645261195891183,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,-0.0893300544653929,0,0,0,0,0,0,0,0,0,0.0839584544412422,0.0747528087667173,0,0.265981742039958,0,0,0,0.151174942397963,0,0,0,0,0,0.181893352416252,0,0,0,0,0.283265187243709,0,0,-0.127866692326114,0,0.161324130784209,0,0,-0.135813447418997,0,0,0,0,0,0,0.194452400182322,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,-0.188831445984773,0,0,0,0,0,0,0,0,-0.017664741768212,0,-0.136809236858255,0,0,0.163805327234862,0,0,-0.389084490210182,0,-0.231218875960175,0,0.394041429266988,0,0,0,-0.0410922867204984,0,0,0,0,0.67222652009786,-0.140025076078736,0,0.480637486502266,0,0,0,0,0,0,0,-0.64667726874897,0,0,0,0.0322075615730803,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0.00678439065984338,0,0,0,0,0,0.0131521862027737,-0.626361797922634,0,-0.366706482078787,0,0,0,-0.0858174498722513,0.11093820220017,0,0.309153627240209,0,0,0,0,0,0,0,0,0,0.40415193477584,0,0.0632557414454321,0,0.0104519685307911,0,0,0,0,0,0.097164808247852,0,0,0,0.074075877641667,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0.381811362326357,0,0,0.3475902732105,0,-0.0802349180830868,0,0,0.23628687274768,0,0,0,0,0,0,0,0,0,0,0,0,0.159511850039392,0,0,0,0,-0.111985867075601,0.0686719208453142,0,0,0,0,0,-0.0566923700895108,0,0,0,0,-0.149810491245731,0.0867966612430718,0.37137645660106,0,0,0,-0.612729388144734,0,0,0,0,0.101091283457354,0.473245998328661,0,0,0,0,0
X000157.SZ,0,0,0,0,-0.108316556709655,-0.0332712376158364,0.00558758476410989,0,0,0,0,0,0,0,0,0,0.553200073056338,0,0,0,0,0,0,0,0,0.237848144424164,0,0.0552964339503052,0,-0.00171576733103761,-0.0116936601423294,0,0,0,0,0,0,0,0,-0.00551473571346696,0,0,-0.0796275242194344,0,0.0293707506410517,-0.0868110811705785,0.0506212443539342,0,0,0,0,-0.00440614754893407,3.46944695195361e-18,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0.0258933172262225,0,0,0,0,0,0,0,0,0,0,0,0,0.0775223432143776,0.175737826204749,0,0.0132567334094836,0.0753644989207154,0,0,0,0,0,0,0,0,0,0,0.0856729305150843,0,0,0,0,-0.0659012484955729,0.0687669256620986,-8.67361737988404e-19,0,0,0,0.0382768547149388,0,0.0649034196686741,0,0.0510503444403664,0,0.0299721764144763,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0.407933465794114,-0.0500067888638018,0,0,0,0,0,0,0,0,0,0,0.468558616304176,0,0,0.159322953754959,0,0.0588304541231278,0,0,0,0,0.0791166322558494,0.155495868373984,0.181680850335372,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.389536265011156,0,0,0,0.0822782380166104,0,0,0,0,0,-0.0398381426838215,0,0,0,0,0,0,0
