,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600690.SH,X000338.SZ,X000661.SZ,X600809.SH,X600741.SH,X002241.SZ,X600703.SH,X000596.SZ,X300003.SZ,X600183.SH,X601877.SH,X002007.SZ,X002236.SZ,X000100.SZ,X000157.SZ,X300142.SZ,X000066.SZ,X002179.SZ,X300124.SZ,X300136.SZ,X002008.SZ,X600271.SH,X300014.SZ,X002463.SZ,X000977.SZ,X000625.SZ,X002371.SZ,X600177.SH,X002506.SZ,X002129.SZ,X002456.SZ,X600066.SH,X600867.SH,X002049.SZ,X600498.SH,X002508.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300142.SZ,0,0,0.1560919549448,0,0,0,0,0.0832052930437499,0,0.041332063508451,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991966507414218,0.0506599999959141,0,0.016340731571833,0,0,0,0.0590340241621167,0,0.0511542443116147,0,0.0122687085644527,0.0161333940579289,0,0,0,0,0,0.120466997808746,0,0,0,0,0,-0.0281182626058971,-0.0433985429371744,0,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,-0.0925899482363724,0,0,-0.071450349346899,0.477962917595551,0,0,0,0,0.20133426326322,0,0,0,0,0,0,0,0,0,0,0,0,0.103962445587642,0,0.0906976579512769,0.0387675328418787,0.401173778134644,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161324445262783,0,-0.041940238212684,0,0,0,0,0,0,0
X002179.SZ,0,0,0,-0.0869399377196209,0,0,0.0693041709276947,0,0,0,0,0,0,0,0,0.131863471838605,0,0.362012461938921,0,0,0,0,0,0,0,0,0,0,0.0953919796698111,0.17975570007387,0,0,0.0246896627387412,-0.144723182969427,0,0.100236478501257,0,0,-0.0248370892727662,0,0,0,-0.0214922194773918,0,0,-0.174711791769064,0,0,0,0,0,0,-0.0214904584445697,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144199367780608,0,0.130322314155197,0,0,0.0291349771025321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416282969364633,0,0,0,0.179651663583437,0,0,0,0,0,0.0838875735454843,0,-0.0691991535099721,0,0,0,0,-0.0347117570205155,0,0
X300136.SZ,0,0,0,0,0,0,0,0.271005570602872,0,0,0,0,0,0,0,0,0,0,0.277721696383499,0,0,-0.19959700550244,0.179122673121606,0,0,0,0,-0.37573279545885,0,0.113953758396896,0,0,0,0.0337280790637467,0,0,0,0,0,0,0,0,0,0.0569567930616181,0,0,0,0,0,0,0,0,-0.0163190784546994,0,0,0,0.0258449735411161,0,0
X002008.SZ,0,0,0,-0.0339943819223537,0,0,0,0.141135786015312,0,0,0.185024135427463,0,0,0,0,0,0,0,0.256468119301516,0,-0.196530481004541,0,0.153579249027085,0,0,0,0.150582878655681,0,0,0,0,0.13801530954551,0,0,0,0,0.0392100519779499,0,0.0110654039748324,0,0,0,-0.28071962691564,0,0,0,0,0,0,0,0,-0.0260317967205543,-0.000160286015446712,0,0,0,-0.0737977816510999,0,0
X600271.SH,0,0,0,0,0,0,0.0710422266590672,0,-0.0950542686750326,0.0734924824240371,0,0,0,0,0.156481150522524,0,0,0.12661459398266,0,0.0375113444935906,0,0,0,0,0.235026112429212,0,0.0774715079052955,0.0861622448265006,0,0.121272726234018,0,0,-0.108598402335364,0,0,0,0,0.0664603896854725,0,0,0,0,0.0127999679546777,0.283304380183166,0,0,0,0,0,0,0,0,0,0,0,0,0.0219495087231972,0,0
X300014.SZ,0,0,0,0,0,0,0.224865347307219,0,0,0,0,0,0,0,0,0,-0.25248236941301,0,0,0,0,0,0,0,0,0,0,0,0,-0.0939471799932757,0.332021573827292,-0.386256201893947,0,0,0,0,0.235865284912696,0,0.433049093568208,0,0,0,-0.0395472192693376,-0.228055121486257,0,0.499488137680238,0,0,0,0,0.977411395240366,0.0803347901309864,0,0,0,0,0.0677859762239825,0,0
X002463.SZ,0,0,0,0,0,0,0.0338808638428504,-0.086505713131281,0,0,-0.0973452356549103,0,0,0,0,0,0,0,0,0,0,-0.0337054560727923,0.451019058345923,0,0,0,0,0,0,0.28927113731352,0,0,0,0,0,0.116745065327002,0,0,0,0,0,0,0.0222724409475562,0,0,0,0,0.283041220675697,0,0.0447857196112257,0,0.035855572979388,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0.108263112258934,0,0,0,0,0,0,0,0.111575167165547,0,0,0,0,0.126154727640514,0,0.206300231397834,0,0,0,0,0,0,0,0.0569238133582798,0.153072986794253,0,0.0294070694922354,0,0,0.196078339363673,0,0,0.135638514770462,0,0,0,0,0,0,0,0,0,0.258270127392321,0,0,0,-0.0433587451133357,0,0,0,0.021729346550383,0,0
