,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X000568.SZ,X600104.SH,X002304.SZ,X000725.SZ,X000661.SZ,X600031.SH,X000063.SZ,X600809.SH,X003816.SZ,X600690.SH,X002241.SZ,X000596.SZ,X600703.SH,X000338.SZ,X002007.SZ,X300142.SZ,X300124.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X600741.SH,X002049.SZ,X601877.SH,X300003.SZ,X002236.SZ,X000157.SZ,X600584.SH,X002129.SZ,X000800.SZ,X002414.SZ,X300136.SZ,X600183.SH,X000625.SZ,X002179.SZ,X000977.SZ,X000066.SZ,X002456.SZ,X600118.SH,X601799.SH,X002185.SZ,X000050.SZ,X002008.SZ,X002294.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002008.SZ,0,0,0,0,0.0972814054507604,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.101902934921242,0.200418348843014,0.122352241073802,0,0,0,0,0,0.185728692324128,0,0.0396536102414462,0,-0.129705957255877,0,0.0963758368356641,0,0,0,0,0,0,0.150563812936095,0,0,0,0,0,0,0,0,0,0,0,0.0665862181749137,0,0,0,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0.193298736449931,0,0,0,0,0,0,0,0.0609575331283256,0,0.164618634541697,0,0,0,0,0,0,0,0,0,0,0,0.133892033875127,0.145589468775952,0,0,0,0,0.091696291554478,0,0.20951278703221,0,0,0,0,0,0,0,0,0.0534961884004521,0,-0.019364304437068,-0.0233906576708572,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,-0.0655902617584033,0,0.0304620144182833,0,0,0,0,0,0.182508512744487,0,-0.0742501235456054,0.0191216561607069,0,0,0,-0.0905280404990373,0.0833218071676547,0,0,0,0,0,0,0,0.266328978572944,0,0,0.169478801996414,1.73472347597681e-18,0,0,0.105880348602136,0,0,0,0,0,0,0.190039439494014,0,0,0,0.0130950353756678,0,0,0,-0.146860625439637,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0.0553345490480096,0,0,0,0,0,0.0984866360188698,0,0,0,0,0,0.0117027241369512,0,0,0,0,0,0,0,0,0,0,0,-0.00163462979567958,0,0,-0.167656558770711,0,0.17615631200296,-0.190643181056954,0,0,0,0,0,0,0,0,0,0,0,-0.0480435083243472,-0.01412055787658,0,0,0,0,0,0
Slope,0,0,0,0,0,0,-0.143863013821083,0,0,0,0,0,0,-0.30599515562857,0,0,0,0,0,0,0,0,0,0,0.28293167072273,0,0,0.0370122890195627,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,-0.246455149239455,0,0,0,0,0,0,0,0,0,0,0,0,-0.143643067875911,0,0,0,0,0,0
TED,0,0,0,-0.328193820688774,0,0,0,0,0,0,-1.60588243500707,-0.667670999687327,0,0,0,0,0,0,2.38881162914495,0,0,-0.296284223104324,0,0,0.320316738770043,0,0,0.511105718356792,-0.373825137672179,0,0,0,0,0,-0.540934222281564,0,0,0,0,0,0,0,0.136653316234158,0,0,0,0,0.618488406084527,0,0,-3.28347530639763,-0.363014120685324,0,0,0,0,-6.75994469037669,0,0
RealEstate_excess,0,0,0,0,0,0,0.0752503438270213,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,-0.175226291358255,0,0,0,0,0,0,0,0,0,0.0358230176588222,0,0,0,0,0,0,0,0,0,-0.0256169550429196,0,0,0,-0.0215928843501906,0,0,0.00924420248378662,-0.0125202164205185,-0.0105468171819568,0,0.0661960199421089,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0.102568526306918,0,0,0,0,0,0,-0.185478467401439,0,0,0,-0.0244827995621653,-0.0671461353976613,0,0,0.0250116196000997,0.0514041897180385,0,-8.67361737988404e-19,-0.0973161030684829,0,0,0,0.127859383121728,0.0739339707178333,0,0,0.0809668997982765,0,0.0348823697201721,0,0,-0.18358445967203,0,0,0,0,0,0,0,0,0,0.0339338828733112,0.00563617089644054,0,0,0,0.0683262926589484,0,0
MKvol,0,0,0.00381623006258973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000756258120951069,0,0.00167095949097291,0,0,0,-0.00616293851387916,0,-0.00359567437814107,0,0,-0.000921291536694357,-0.00471690349759171,0,-0.00208258393528976,-0.000338779324567334,0,0,0,0,0,0.00986025542665072,0,0,0.000780448696047898,0,0,0,0,0,0.00290438563468,0.00629542529316625,-0.014840871360216,0.00424334785478799,0,0,0,-0.0268537390798637,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,-0.0489018617402584,0,0,0,0,0,0,0,0,0.0584922582392631,0.0433455059347509,-0.0390962940501799,0,0.0993322003394022,0,0,-0.0741068951107123,0,0.0183820111707425,0,0,0,-0.0373300256718681,0,0,0,0,0.0307024043857885,0,0,0,0,0,0,-0.0715639385386975,0,0,-0.00697491302631498,0,0,0,0,0,0,0,0.0688113602012151,-0.032051010012154,0,0,0,0,0,0
