,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X000338.SZ,X600703.SH,X000568.SZ,X600741.SH,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X002236.SZ,X002008.SZ,X002456.SZ,X002007.SZ,X000100.SZ,X600487.SH,X600566.SH,X600498.SH,X000625.SZ,X000661.SZ,X002179.SZ,X600867.SH,X300146.SZ,X600809.SH,X000596.SZ,X600177.SH,X002180.SZ,X002294.SZ,X000157.SZ,X002506.SZ,X300142.SZ,X600089.SH,X300136.SZ,X600066.SH,X600372.SH,X002241.SZ,X000977.SZ,X600522.SH,X000981.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300142.SZ,0,0,0,0,0,0,-0.147108918150284,0,0,0,0.15228119764295,0,0,0,0,0,0,0,0,0,0,0,0,0.157471154687121,0,0,0,-0.0126346314074144,0.206084450763957,0.314081220086742,0,0,0,0,0,0,0.0563440494242219,0,0,0,0,0,0,0,0.175739763638131,0,0,0,0,0.128171023735015,0,-0.0488947974127859,-0.0710325080418344,0,0,0,0,-0.62657651768608,0
X600089.SH,0,0,0,0,0,0,0,0,0,-0.0219655081686478,0,0,0,0.0340605743563878,0,0,0,0,0,0,0,0,0.0943822405975044,0,0,0,0,0,0,0.120684787911885,0,0,0,0,0,0,0.112553667444946,0.0079541013350066,0,0,0,0,0.0293635954791031,0,0,0,0.0842437325289807,0.0576072727445551,0,0,0,0,-0.0326908961357478,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0,0.125137324947818,0,0,0,0,0.0286319391663615,0,0,0,0,0,0.490496643241229,-0.161911555943525,0,0,0,0,0,0,0.222369458514235,-0.0248680122132611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433446020556567,0,0,0,0,0.249496632402455,-0.0660941018452188,0,0,-0.06307282411742,0,0,-0.0261154028708856,0
X600066.SH,0,0,0,0,0,0.147467183452746,0,0,0,0,0,0,0,0,0,0.358501622395576,0,0,0,0,0,0,-0.154422515686195,0,0,0.165428362286415,0,0,0,0,0.0684347334680812,0.0558948427364691,0,0,0.252229732742316,0,0,0,0,0,0.226367601066107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00563028055203221,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0.163750474826753,0,0,0,0,0,0,0,0,0.161269114804562,0,0.00560358474368554,0,0,0,0,0,0,0,0,0,0.107688845587175,0,0,0,0.198098852464918,0,-0.156215161670578,0,0,0,0,0,0,0,0,0,0.166339019786884,0.215546471883012,0,0,0,0.021030089854285,-0.0906702755425731,0,0,0,0.0943583148643167,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048831537665814,0,0.0570153405352792,0.0777608810771541,0.0435401752698519,0,0.062121367266777,0,0,0,0,0,0.169820237206777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951911289198834,0,0.177824961280903,0,0,0,0,0,0,0,-0.0225583174408221,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,-0.153454188004575,0,0.513230053478974,0,0,0,0,0,0,0,0.0256265888537786,0,0.649918927408604,0,0,0,0,0,0,0,0,0.176483371894482,0,0.155354966591939,0,0,0,-0.0287495490339845,0,0,0,0,0,0,0,0.149674312180014,0,0,0.115453731699482,0,0,0,0,-0.191386675842453,-0.193331176903034,-4.33680868994202e-19,0.0108827166022637,0,0,0,-0.103739598965879,0,0
X600522.SH,0,0,0.0542790301708799,0,0,0,0,0,0.0802110881404695,0.134521466384965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190622730525632,0,0,0,0.0130501326106643,0,0,0,0,0,0,0,0,0,0,0,0.137485566999747,0.211111939218882,0,0,0,0.0143859951738998,0,0.0235936749448804,0.036164906753181,0,0,-0.0468361627900606,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362660150910801,0,0,-0.424020043114524,0,0.0167011398947806,0,0,0,0,0,0,0,0,0,0,-0.106596960027586,-0.237162560138347,0,0,0,0,0,0.343189087305415,0,0,0,0,0,0,0,0,-0.145393741577685,0,0.594040039531867,0,-0.0347963791085746,0,-0.0401590399647324,0.198766418440905,0,0,0,0,0.397068870907506,0
X000050.SZ,0,0,0,0.131343981981062,0,0,-0.161338307880391,0,0,0,0,0,0,0,-0.552876367977387,0,0,-0.0102022741740721,0.0923929359888508,0,0.191012338711182,-0.150935095593122,0,0.151109101402397,0,-0.161757567090008,0,0,0,0,0,0,0,0.771861957397469,0,0,0.316297388196093,0.178873879769199,0,0,0,0,0.089330627224148,0.0775594615717925,0,0,-0.211485395122701,0,0,0,0,-0.0400064825023488,0.0588651302297809,0,0,0,0,0,0
