,X600519.SH,X000858.SZ,X002415.SZ,X600690.SH,X600809.SH,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X600031.SH,X000625.SZ,X000063.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600089.SH,X000157.SZ,X600703.SH,X002463.SZ,X600372.SH,X002241.SZ,X002028.SZ,X600066.SH,X000921.SZ,X002236.SZ,X000977.SZ,X600584.SH,X600741.SH,X002049.SZ,X600522.SH,X600183.SH,X601877.SH,X000661.SZ,X002223.SZ,X002129.SZ,X000800.SZ,X002180.SZ,X600060.SH,X002156.SZ,X600177.SH,X600487.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000977.SZ,0,0,0,0,0,0.0719584554168879,0,0,0.0588058796024213,0,0,0,0,0,0,0,0.379472007132323,0,0,0,0,1.73472347597681e-18,0.0447565629587743,0.00722062113329142,0,0,0.492551357072312,0,0,0,0,0,0.012079320851448,0,0.0876971081959747,0,0,0.083619986385644,0.0702217404864333,0,0,-0.0423482017149933,0,0,0,0,0,0,0,0,0,0,-0.0732798762451649,0,0,0,-0.0294416176963823,0,0
X600584.SH,0,0,0,0,0,0.0676370448318197,0,0,0,0,0,0,0,0,0,0,0,0.0501426263137624,0,0.135926532130811,0.00940918357830638,0,0,0,0,0,0,0,0.215800087379816,0,0,0,0,0.207424203769501,0,0,0,0,0,0,0.0520454730864725,0,0,0,0,0,0.165493441407498,0,0.000988511739395685,0,0,0.131833419091376,0,-0.0902007290504296,0,0,0,0,0
X600741.SH,0,0,0,0,0,-0.0854129822402721,0,0,-0.0116424814561946,0,0,0,0,0,0,0.139553836113719,0,0.0603120848867131,0,0,0,0,0.265745095621205,0,0,-0.0161029117764544,0,0,0,0.126874334550515,0.236881083585796,0,0,0.0587198798345693,0,0,0,-0.0314511618137377,-0.246850556844695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049688345685007,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.0152096387976216,0,0,0,0,0,0,0,0,0,0,0,0.114067875088326,0,0.184031443124394,0,0,0,0,0.01851908756755,0,0,-0.235086386774727,0,0.23898448716856,0,0.0238540108136835,0,0,0.0692697177610897,0.0726536086203076,0,0,0,0,0,0,0,0.0727318445739343,0,0,-0.113384766971665,0,0,0.0552382122232306,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411593855203427,0,0,0.0299344876542125,0,0,0,0,0,0,0,0,0,-0.0507480654638505,0,0,0.0647755097853226,0,0,0.0925980158918767,0,0,0,0,0.193180725621629,0.0316292168765499,0,0,0,0,0,0.263971810211142,0,0,0,0,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105853451270465,0,0,-0.0164436301646076,0,0,0,0,0,0,-0.074835364284519,0,0.0434742312827791,0.184401959336943,0,0,0.131091441886513,0.182360271028979,0,0.221761473570224,0,0,0.12577925909702,0,0,0,0,0,-0.0322327085555726,0,0.156437834939086,0,0,0,0,0,0,0.0252213360615318,-0.0758809236629707,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0.0632732825348346,0,0,0,0,0,0,0.0403140585284055,0,0,0,0,0,0,0.044027473455845,0,0,0,0,0.0803599238080921,0,0,0,-0.0318583918891271,0,0,0,0.00907508404831391,0,0,0,0,0,0,0,0.054511389681052,0.0966944507664055,0,0.0241198282880498,0,0,0,0.0944478406302184,0,0,0,0,0.0193015706220586,0,0,0.0245131587497077,0,0
X000661.SZ,0,0,0,0,0,0.12108618774716,0.175879735787582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35797867011192,0,0.212958292956577,0,-0.437562358834406,0,0.133648725899866,0,0,0,0,0,0,0.0799774560643327,0.244632873990125,0,0,0,0.150044137952262,0,0,0,0.0184782387658843,0,0,0.0681472421642529,-0.147281732043088,0.0566816960998652,-0.0418514786937047,0,0,0,0,0,0
X002223.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122619905716781,0,0,0,-0.0119601611728335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125467270505143,0,0,-0.0764793950415495,0,-0.0135972941575138,0.0636641169711267,0,0.453261833936554,0,0,0.0224391905879258,0,0,0,0,0,0,0.0586978600842538,0,0,0,0,0,0,0.244384590820887,0,0
X002129.SZ,0,0,0,0,0,0,0.193441521385466,0,-0.0145499743080237,0,0,0,0,0,0,0,0,0.122313939098431,0,0,0.0369646554755958,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-3.46944695195361e-18,0.18816602755998,0,0,0,0,0.121687398743289,0,0.0264322060595927,0,0,0,0,0,0,0,0,0,0.102923910781001,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843560662845753,0,0,0,0,0,0.148216529579924,0,0,0,0,0.00822890845144678,0,0,0,0.267420120985022,0,8.67361737988404e-19,0,0,0,0,0.0265113033301716,-1.0842021724855e-19,0,0,0,0,0,0,0,0.119283542284425,0.0827817411308216,0,0,0.0149560072200851,0,0,0,0.0130688673378862,0,0
