,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X600372.SH,X000338.SZ,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X000100.SZ,X600703.SH,X600118.SH,X000623.SZ,X601877.SH,X000559.SZ,X000581.SZ,X000568.SZ,X002236.SZ,X000550.SZ,X600066.SH,X600271.SH,X600177.SH,X000800.SZ,X000050.SZ,X300124.SZ,X002475.SZ,X002294.SZ,X600839.SH,X000869.SZ,X002465.SZ,X002129.SZ,X002456.SZ,X300003.SZ,X000400.SZ,X002007.SZ,X002292.SZ,X600252.SH,X600435.SH,X002038.SZ,X000977.SZ,X600166.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002007.SZ,0,0,0,0,-0.0934969543340568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172025065166621,0,0,0.00296156645104728,0,0.00671014577594966,0,0,0.0150677127639118,0,0,0.194705162433048,0,0.0410276152831899,0,0.0971401774868809,0,0.14220529305795,0,0,0,0,0.198721229318163,0,0,0,0,0,0,0,0,0.558514715214094,0,0.0061426268680838,0,0.0556249522167813,0,0,0,0,0
X002292.SZ,0,0,-0.00851052614988261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823193851158821,0,0,0,0.0248690536364406,0,0,0,0.25751050750971,0,0.0578375403702844,0,0,0.159318391598926,0,0,0,0.121000427892529,0.00851447060179106,0,0,0,0,0,0,0.0462881138712393,0,0,0,0,0.107007647717478,0,0,0,0,0.038407833393229,-0.0898846977285795,0,0,0,0,0,0
X600252.SH,0,0,-0.0375967775264978,0,0,0,0,0,0,0.0344514282514598,0,0,-0.0405432698576953,0.0243777816134837,0,0,-0.01218975877416,0,0,0,0,0.111625566124988,0.0130889497075385,0,0.148569224153236,0,0,0,0,0.191530854857618,0,0,0,0.0079527770389757,0,0,0,0.0522753438596533,0,0.10119978106441,0,0,0,0.0670563601110794,0,0,0,0,0,0.0256720702646333,0,0.00568852413858837,-0.0137366153882038,0,0,0,0,0,0
X600435.SH,0,0,0,0,0,0.125283765387467,0,0,0,0,-0.147781226776635,0,0.321511460260846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363579859410089,0,0,0,0,0,0,0,0,0.125984049944284,0,0,0.333079371860637,0,0,0.0745873681119893,0,0,0,0,0,0,-0.0361286016881553,-0.100664264414655,0,0,0,0,0,0
X002038.SZ,0,0,0,0.099890105826139,0,0,0,0.38833217157864,0,0,0,0,0,0,0,0,0,0,0.0696507526218526,0,0.0678644072284451,0,0,0.084708312537558,0,0,-0.153871483883158,0,0,0,0,0,0,0,-0.0403757325171816,0,0,0,0,0,0,0,0,0,-0.175237233593382,-0.0505572916386903,0,0,0.180868793645942,0,0,0.0405156546207452,-0.0162073621741547,0.140190619080294,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164562332734273,0,0.25398787613953,0,0,-0.0267173553765643,0,0,0,0,0,0,0.0219389677330615,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.382717247602173,0.00434353056926053,0,0,0,0,0,0,-0.0916231440832473,0,0,0,0,0,0,0,0,-0.041600543405116,0,0,0,-0.15045321963558,0,0
X600166.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136128732837939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105925167042962,0.225673469655948,0.149066245315027,0,0,0,0.000593299177089428,0,0,0,0,0.00271660514927863,-8.67361737988404e-19,0,0,0,0.101719290973951,0,0,0.0131793051438056,-0.0161188246748574,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0.0353894542867087,0,0.1252088878083,0,0,0,0.0465472440280972,0,0.0386897160984612,0.0348184843103991,0,0,0,0,0,0,0,-0.119806514714774,0,0,0,0,0,0,0,0,0,0,0,-0.0497046502162448,0,-0.23443401842547,0.182457941150661,0,0,0,0,0,0,0.00700282133673636,-0.00873214014353155,-0.04299910491053,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0.613176623269855,0,0,0,0,0,-0.843151733892388,0,0,0.550060431166436,0,0.451585257239692,0,0,0.0614773490985909,0,0,0,0,0,0,0,0,0,0.223211895084854,-0.113634998168236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189427018426237,0,0,0.386846913608051,0.622235190689385,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,-0.392214339695926,0,0,0.0981186443580363,0,0,0,0,0,-0.246449865493425,0,0,-0.0645691265699799,0,0,0,0,0,0,0,0.123854164134128,0,0,0,0,0,0,0,0,0,0,0.299711544760659,0,0,0,0,0,0,0,0,-0.276308809103222,0,0.541838677605926,0,-0.62988186430273,0,0,0.375967792467567,0,0
RealEstate_excess,0,0,-0.0933543600197927,-0.238597326113639,-0.0958159863153836,-0.0477441750476874,0,0,0,-0.188514671108497,-0.00327831751007924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00825939574030426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770792916713237,0,0,0,0.122809553447349,0.0201030390877539,0,0,0.0244961233018648,-0.113070852089702,0,0,0,0,0,0
MKreturn,0,0,0,-0.0478079679231869,0,0,0,-0.00505091261202638,0,0,0,-0.0635829173531925,0,0,0,0,0,-0.0604100660367314,0,0,0,0,0,-0.0136118497905652,0,0,0,0,-0.327352140031547,0,0,0,0,0,0,0,0,0,0,-0.070127303723845,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.017113913054114,0.0522397153938137,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000899240572830739,0,0,0,0,0,0,0,0,0,0,0,-0.00132978784603881,0,0,0,0,0,0.0040535623222336,-0.00149384264466406,0,0,0,0.00156957199149545,0,0,-0.00196788436966758,0,-0.000887886972162537,0.000736814759019807,0,0,0,0,0,0,-0.00113287542625886,0,0,0,0,0.0047340275553134,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0.0324308079063766,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.035180022893833,0.0180590061843875,0,0,-0.0339524626754407,0.0309124048337305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535941710643351,0,0,0,0,0,0,0,-0.0685686102613866,0.131598246340122,0,0,0,0,0,-1.30088655257575
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015424763146631,0,0.00131710800454182,0,0,-0.0002795057081799,-0.00189389716786241,0,0,0,-0.00528103806213207,0,0
CarbonVol_Hubei,0,0,0,0,-0.00100113125215342,0,0,0,0,0,0,0,0.00408745311819564,0,0,0,0,0,0,0,0,-0.0101322670402614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379902353341463,0,0,0,0,0,0,0,0,0,-0.00412574210009814,-0.00647266470981226,0,0,0,-0.318194012626116,0,0
