,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X002475.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300014.SZ,X300124.SZ,X003816.SZ,X002241.SZ,X000063.SZ,X000338.SZ,X002129.SZ,X002371.SZ,X600703.SH,X002049.SZ,X000596.SZ,X601877.SH,X000625.SZ,X002179.SZ,X600741.SH,X000100.SZ,X300142.SZ,X600089.SH,X600460.SH,X002180.SZ,X002074.SZ,X000661.SZ,X000157.SZ,X600702.SH,X002236.SZ,X600522.SH,X600884.SH,X000733.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X002007.SZ,X600779.SH,X601799.SH,X600183.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600741.SH,0,0,0,0,0.239834083645051,0,0,0,0,0,0,0,0,0,-0.156161661497423,0,0,0,0,0,0,-0.125581338040901,0,0,0,0,0,0,0,0,0.0158270378549284,0,0,0,-0.00363745375485771,0.0398931682786517,0,0,-6.93889390390723e-18,0,0,0.110322761389857,-0.1781040473753,0.235696805163906,0,0,0,0,0,0,0,-0.0118731274174195,0,0,0,0,-0.0163358501508001,0,0
X000100.SZ,0,0,0,0,0.136211903498436,0,0,0,0,0,0,0.376675475412363,0,0,0,0,0,0,0.0511036637128504,0,0,0.0220312294605799,0,0,0,0,-0.0501343776646944,0,0,0,0,0,0,0.010313038966344,0,0.0731738962947912,0,0,0,0,0,0,0.0169650193117857,0,0,0,0,0,0,0,0,0,-0.0269581388239437,0,0,0,0,0,0
X300142.SZ,0,0,0,0.0456600815948978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,-0.333767011690468,0.00528901793279347,0,0,0,0,0,0,0,0,0,-0.0658091380580046,0,0.188973371651531,0.105288204682695,0,0,0,0,0,0.157613688856125,0.0311719532659102,0,0.122378669336643,0,0.194368225835117,0,0,0,0,0,0.00952239807090375,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0.00858589147786525,0,-0.00689693442571191,0,0,0,0,0,0,0,0,0.235481316447413,0,0,0,0,0.0334051905649222,0,0.0577734391679904,0.0883252459480218,0.195700347853319,0,0,0.0883043868441446,0,-4.33680868994202e-19,0,0,0,0,0.0436933942720235,0,0,0,0.147957730216563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484490063544817,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17720036253602,0,0,0,0.122759210626757,0.0622022906908561,0,0,0,0.190765721027636,0,0,0,-0.0361866194899776,0,0,0.148976606005523,0,-0.0235811634317935,0,0,0,0,0,0.17699749347589,0,0,0,0,0,0.0226542442037217,0,0,0,0,-0.00433396472721608,0,0,0,0,-0.0355857569352935,0,0
X002180.SZ,0,0,0,-0.032470280275269,0,0,0,0,0,-0.0529335920320837,0,0,0,-0.0507103677667285,0,0,0,0,0,0.0247417037085684,0.0536924223134935,0.254301998453181,0,-1.38777878078145e-17,0,0.0525026789154977,0,0,0,-0.0230799569763194,0,0,0,0.0464762174288647,0,0,0,0,-0.067148510013768,0,0.104134597585935,0,0,0,0,0,0,0,0,0,0,0,0.00279719870249326,0,0,0,-0.00109220073597677,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117954146578733,0,0,0,0,-0.0286781349202707,0,0.245358384800013,0,0,0,0.0710077080048551,0.167932040974715,0,-0.0531149111423404,0,0,0.113013764645131,0,0.0421010706020163,0,0,0,0,0,0.0573459078968322,0,0,0.0213694325345438,0,0.553878211964649,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,-0.0565817611291631,0,0
X000661.SZ,0,0,0,0,0,0,0,-0.348643392049342,0,0,0,0,0,0,-0.0451741642348727,0,0,0,0,0.106078728590638,0,0.190487725674953,0,0,0,0,0,0,0,0.00584543891641773,0.1259171134465,0,0.0589684903120564,0,0,0,0,0.245078735816321,0,0,0,0,0,0,0,0.450959233324446,0,0,0,0,0,-3.46944695195361e-18,-0.140354966484544,0,0,0,0,0,0
X000157.SZ,0,0,0,0,-0.015846820505084,0,0,0,0,0,0,0,0.600673619495291,0.117388413454461,0,0.000552147308653775,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0253499703245803,0,0,0,0,0.00542327029390171,0,0,0.0790695311721255,0,0.00147656430465152,0,0,0,0,0,0,0,0,0,0,0,0,-0.00658766944996432,-0.0617040465221776,0,0,0,0,0
X600702.SH,0,0,0,0,0.0984506361063786,0,0,0,0,-0.21387697349947,0,0,0,0,0,0,0.0349332055044033,0,-0.20873982574146,0,0,0,0.257061668602308,0.0884261018840958,0,0,0,0,0,0,0,0,0,0.0513624318211972,0,0,0,0,0.0302904615941955,0,0,0.656061458790471,0,0,0,0,0.00817844890998407,0,0,0,0,0,0,0,0,0,0.0382418569245108,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0.234855478417122,0,0,0,0.131677692555521,0,0,0,0.0394696787945633,0,0.0313549147180262,0.0444867877125872,0.127756361203989,0,0,0,0,0,0,0,0,0,0,0.0526269876176226,0,0,0.116421217304457,0,0,0,-0.00182780857902292,0,0,0,0.0650912758180992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0.16061341832589,0,0,0,0,0,0,0,0,0,0,0,0.28883162693361,0,-0.133981054390507,0,0,0,0,0,0.270171839091835,0,0,-0.0938732771471883,0,0,0.152020708985353,0,-0.198041629298952,0.21089635813881,0,0,0.0953314353757498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046957826005623,0,0,0,0,0,0,0
