,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002475.SZ,X600741.SH,X002236.SZ,X600031.SH,X000625.SZ,X002456.SZ,X000338.SZ,X002241.SZ,X600487.SH,X002008.SZ,X300136.SZ,X601877.SH,X600066.SH,X000100.SZ,X600522.SH,X600809.SH,X300124.SZ,X002508.SZ,X002294.SZ,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X000981.SZ,X600089.SH,X600498.SH,X600177.SH,X600699.SH,X000157.SZ,X000661.SZ,X600584.SH,X300142.SZ,X000596.SZ,X002129.SZ,X600118.SH,X002049.SZ,X000050.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000568.SZ,0,0,-1.73472347597681e-18,0.275058718568317,-8.67361737988404e-19,0,0,0.252424861760025,0,0,0,0,0,0,0.169069729300807,0,0,0,0,0,0,0,0.0752420799751117,-0.0140851478302958,0,-0.0421169951117644,0,0.137444372074096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0046646094281311,0,0.114471363624557,0,0,0,0,0,0,0.0183377528555619,-0.028947220174175,0,0,0,0,0,0
X002475.SZ,0,0.0412507692814761,0,0,0.054177665779995,-1.73472347597681e-18,0,0,0.106950423845515,0,0,0,0,0,0,0,0,0.132592000532669,0,0.0298490123158453,0,0.238227380583843,0.087690252774309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676792025653719,0,0,0,0.0395006662219149,0,0,0,0,0,0,0,0,0,-0.0115425674945964,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.132375661571685,0,0.0511185519061511,0,0,0,0,0,0,0,0,0,0.135627257977803,0,0.188059874674504,0,0.0134654754702536,0,0,0.101655226483545,-0.0553014261111525,0,0,0,0,0,0.0286527556611645,0,0,0,0,0,0,0,0,0.0354641297678732,0.0445897123442251,0,-0.19283935897694,0,0,0,0,0,-0.0165926808829018,0.0348227941955524,0,0,0,0,0,0
X002236.SZ,-0.0578096457829117,0,0.447682663489171,0,0,0,0,0.0283188310146742,0.0621250336707264,0,0.0355169654095528,0,0,0,0,0,0,0,0,0,0.151284547839111,0.0528517521311333,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185847731246014,0,-0.139002714080421,0,0,-0.126002107622278,0,0,0,-0.00988727771030125,0.0226147449015329,0,0,0,0,0,0
X600031.SH,0,0,0.108222598745163,0,0,0.151354506227437,0,0,0,0,0,-0.0933411642110111,0,0.0868091851874906,0,0,0,0,0,0,0,0.0444276742692715,0,0.100300389309419,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.000209706991863077,0,0,0,-0.137251567375504,0,0,0,0,0,0.0205485236184342,0,0,0,-0.00946555918359377,0.0153943116611246,-0.0791052551740432,0,0.00294007203814357,0.00499131869146967,0,0,0,0,0,0
X000625.SZ,-0.123089743232772,0,0,0,0,0,0,0,-0.0548460143679601,0,0,0,0,0.104614928316435,0,0,0,0,0,0,0,0.0587335924717677,0,-0.0336333333877344,0,0.0385334449904973,0,0,0,0.0639046729685178,0,0,0,0.0310688917398368,0,0,0,0.0163022137071423,0,0.0632627149073391,0,0,0,0,0,0,0,0.0555878964364981,0,-0.0109594956563347,0,-0.0333257583794517,0.0280551097263466,0,0,0,0,0,0
X002456.SZ,0,0.157971769839435,0.0604738235225238,0,0,0,0,0,0.23702531099387,0,0,0,0.32497040687244,0,0,0,0,0,0,0.151062462293291,0,0.0502315698403205,0,0,-1.0842021724855e-19,0,0,0,0,0.0875601715604094,0,0,0,0,0,0,0,0,0,0,0,0,0.0582187566204854,0,0,0,0,0,0.173610272670203,0,0,-0.00366504659132829,0,0,0,0,0,0,0
X000338.SZ,0,0,0.0446282610513607,0,0,0,-0.019236847333522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126334925119179,0,0,0,0,0,0.0155216144265953,0,0,0,0,0.266232463669996,0,0,0,0,0.0968932650147293,0,0,0.23823264260362,0,0,0.0164609701302415,0.0840466570324971,0,0.0167901729298174,0.0122220640120531,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,-0.0379595878065602,0,0,0.100218600879525,0,0,0,0,0.289998956019604,0,0,0.153904739211404,0,0,0,0,1.73472347597681e-18,0,0,0.105068037091602,0,0,0,0,0,0,0,0,0,0,-0.0303823526170619,0,0,0,0,0,0,0,0.0925542949427966,0,0,0,0,0.023834940220629,0,0,0,0,0,0
X600487.SH,0,0,0.03810531039849,0,0,0,0,0,0,0,0,0,0,0,0.0796706682626199,0,0,0,0,0,0,0,0,0.154368359044014,0.162236917365342,0,0.0705990664170827,0,0.0304131563877806,0,0,0,0,0,0,0,0,0.398381493200603,0,0.020192904884977,0,0,0.0758550724365736,0.0584902497573888,0,0.0801436041012803,0,0,0,0,0,0.031531639299597,-0.0291337088243039,0,0,0,0,0,0
