,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X002241.SZ,X000625.SZ,X002456.SZ,X600031.SH,X000338.SZ,X600066.SH,X000100.SZ,X601877.SH,X002008.SZ,X300124.SZ,X300136.SZ,X600487.SH,X600809.SH,X002508.SZ,X300003.SZ,X600522.SH,X002085.SZ,X600867.SH,X600089.SH,X002294.SZ,X600699.SH,X000157.SZ,X600498.SH,X600177.SH,X600271.SH,X000050.SZ,X000596.SZ,X600566.SH,X002180.SZ,X600118.SH,X000559.SZ,X600707.SH,X300115.SZ,X002179.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600066.SH,0,0,0,0,0,-0.0217014989284144,0,0,0,0,0,0,0,0,0,0,0.2208476258788,0,0,0,0,-0.0195313501171547,-0.441270286801502,0,0.334918035359991,0,-0.13866953100945,-3.46944695195361e-18,-0.0300939396014478,0,0,0,0,0,-0.0607401739611144,0,0,0,0,0,-0.0984847581153783,0.0721898597229084,0,0,0,0,0,0,0,0.0782333706460925,0,0,-0.0121226713020991,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.145772948490802,0,0,0,0,0,0,-0.0169797798390791,0,0,0,0,0.139700930594193,0,0.0112474084933172,0,0,0,0,0,0,0,0,0,0,-0.0440285579271671,0,0.0287472107315741,0.114068112125076,0,0.0303549143218856,0,0,0,0,0.0729879783156332,0,0,0,0,0,0.0154656759208234,0,0,0.0774000635609114,0,-0.00289056715482241,0.00762810331334542,0,0,0,0,0,0
X601877.SH,0,0,0,0.288222301095039,0.0533342459847017,-0.0404966574035174,0,0.011974907393376,0.056217949509885,0,0,0,0,0,0,0,0,0,0.0831866701686008,0,0,0,0,0,0.0303815337851308,0,0,0,0,0.0345435889280405,0,0,-0.111890009703486,0,0,0.182821258514891,0,0,0,0,0,0.00307896529177579,0,0.0568132068405272,0,0,0,0.0584246007081764,0,0,0,0.00895061488673126,0,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0745389831812036,0,0,0.0439034692134427,0.0235050874719211,0,0,0,0.141075060697237,0,0,0,0,0,0,0,0.0366141418710896,0.281443778269391,0,0,0,0,-0.0612294880513553,0,0,0,0,0,0,0,0,0.0649085279293272,0,0.0393288714324392,0.0691921440667864,0,-0.0545454389020668,0,0,0,0,0,-0.00657765497705706,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0.0848247873397183,0,0,0,0,0,0.0508508533518578,0,0,0,0,0,0,0.0243626726156022,0,0,0,0,0,0,0.268795970260563,0,-0.133407617474387,0,0.193146417435004,0,0.0569968327148064,0,0,0,0.1933343315544,0.0552679230073924,-0.0110605296703501,0,0.114529894440262,0,0,0,0,0.14652982495038,0,0,0,0.00354018672713219,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0.262501809127349,0.259365151141686,0,0.190098601186427,0.281414163799316,0,0.314116405667521,0,0,0,0,-0.00595491508548195,0,0,-0.0351331786205289,0.0304101092693729,0,0,0,0,0,0,0,0,0.0511297375588406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234173852405899,0.0218178444839673,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0372161925309824,0,0,0,0,0.139997473506135,0,0,0,0,0.0404531200903682,0,0,0,0.0902220062028711,0,0,0.0873905800131035,0.0106469077929583,0,0,0,0,0,0.260822960850239,0,0,0,0,0,0,-0.134092135244522,0,0,0,0,0,0,-0.00918234740647065,0,0,0,0,0,0,0
X600809.SH,0,-0.0669908776178062,0,0,0.147616518198869,0,0,0,0,0,0,0.523098778141099,0,0,0,0.0710310442810184,0,0,0,0,0,0,0,0.022796763821126,0,0,3.46944695195361e-18,0,0,0,0,0.110920132367433,0,0,0,0,0,0,0,0,-0.0809567370322196,0.171826351987012,0,0,0,0,0.00169839929854029,0.101714014593271,0,-0.0845654860631946,0,0,-0.0178661695293398,0,0,0,0,0,0
X002508.SZ,0,0,0,0.508901456993919,0,0,0,0,0.0648699446062157,0.028234481301487,0,0,0,-0.0316117127485333,0,0,0,0,0,0,0,0,0,0,0,0.147738524629266,-0.000165297536239035,-0.0201191348890253,0,0,0,-0.119617508459665,0,0,0,0,0,0,0,-0.0794515082246642,0,0,0,0,0,0,0,0,0,0,0,0,0.00503977626223341,0,0,0,0,0,0
X300003.SZ,0,0,0.0433793499006535,0,0,0.296167171949268,0,0,0,0,0,0,0.199968450601083,0,0,0.178234286528525,0,0,0,0,0,0,0,0,0,0,0,0.00984416393712929,0,0,0,0,0,0,0,-0.213751737370168,0,0.199262881745954,0,0,0,0,0.20913973153085,0.136298499285093,0,-0.0288504196744959,0,0,0,0.0239431146332265,0,0.0413948443703924,-0.054864282396214,0,0,0,0,0,0
