,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000338.SZ,X000559.SZ,X002241.SZ,X002292.SZ,X600066.SH,X002129.SZ,X600089.SH,X600741.SH,X002475.SZ,X002236.SZ,X601877.SH,X600839.SH,X000547.SZ,X600177.SH,X300124.SZ,X002465.SZ,X000568.SZ,X600435.SH,X000016.SZ,X600582.SH,X300003.SZ,X000800.SZ,X002294.SZ,X600252.SH,X002456.SZ,X000977.SZ,X002276.SZ,X002179.SZ,X002008.SZ,X000066.SZ,X002242.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0.206900500066831,0,0,0,0.026495143843861,0,0.0769602821776551,0,0.218993794366314,0,0,0,0,0,0.00804697391233397,0,0,0,0,0,0,0,0,0,0,0,0,0.0260880650908862,0.0333880193790237,0,0,0,0,0,0,0,0,0,0,-0.00179808512099599,-0.00383195760154554,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0.216922609879422,0,0,0,0,0.13807556789397,0,0,0.119928687092432,0,0,0,0,0,0,0,0,0,0,0.177934638993664,0,0,0,0,0,0,0,0,0.171185039767941,0,0,0,0.00187203883908213,0,0.180027243291206,0.178717405744755,0,0,0,-0.0234549799293182,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0.0609627782783463,0,0,0.164455776676253,0,0,0,0,0,0,0,0.242511472314729,0,0,0,0,0.104808965003789,0,0,0,0,0,0,0,0.0500362560168904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0070734125268649,-0.0155919967597118,0,0,0,0,0,0
X000157.SZ,0,0,0.0311123125489384,0,0,0.130870119478719,0,0,0,0,0,0,0,0.0796227679740417,0.302803017611503,0,-0.026309360403781,0,3.46944695195361e-18,0,0,0,0,0,-0.00626072641776013,0.0331783753368065,0,0,0,0,0,0,0,0,0,0,0,0,-0.040462401739135,0.304790100921658,0,0,0,0,0,0,0,0,0,0,-0.0241517968304774,0.0422410265172888,0,0,0,0,0,0
X000338.SZ,0,0,0,0.0312284782844024,0,0.176870741892968,0,0,0,0,0,0.0598412001976894,0.0140028183598766,0,0.0777022422675351,0,0,0.171198653911578,0,0.0336962939539139,0,0,0,0,0,0,0,0,0,0.121472548178176,0,0,0,0,0,0,0,0,-0.0164979949076731,0.133651647255095,0,0,0,0,0,0,0.0329836025397375,0,0,0,0,0.0125249939784334,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514253905306683,0.0123739225876364,0.166495939909053,0.0333214265980489,0,0,0,0,0,0,0,0,0,0,0,0,0.232483615282266,0.313101186911389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112980751947396,0,0,0,0.0522919105074477,-0.0240252739841045,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0.205516390096209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682646113707978,0,0,0,0,0,0,0.00685608926177411,0,0.200167658421489,0.0823067764350907,0,0,0,0,0,0,0,0.208076029959216,0,0,0,0,0,0,0.0105912684421069,0,0.0285377194767121,0,0,0,0,0,0,0
X002292.SZ,0,0,0,-0.000170426260046465,0,0.000165935018830026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018217470507026,0,0,0,0,0,0,0,0,6.07033866144251e-05,-2.70358241787776e-05,0,0.000361820246366947,0,0,0,0,-0.000216814974994366,0,8.64427286819688e-05,0,0,-0.000429016544844021,0,0,2.37678087360963e-05,0,0,0,0,0,0
X600066.SH,0,0.080052389038302,0,0,0,0.031615107129846,0,0.209549992005892,0,0,0,0,0,0.121780142744871,0,0,0,0,0,0,0,0,0,0,0.0511685122113664,0,0,0,0,0,0,0.0603119563059894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027741012580064,-0.078193851877966,0,0,0,0,0,0
X002129.SZ,0,0.0714999457632267,-0.336056239795503,0,0,0,0.0435450620306628,0,0,0,0,0,0,0,0,0.170294332283564,0,0,0,0.124309798663667,0,0,0.0607061433271027,0,0,0,0,0,0,0,0.158101350640055,0,0.182625135704123,0,0,0,0,0,0,0.145641066097887,0,0,0.00999985398031328,0,0,0,0,0,0,0,0.00145849099363666,-0.0205582391834732,0,0,0,0,0,0
