,X600519.SH,X000858.SZ,X600809.SH,X600690.SH,X002415.SZ,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X000100.SZ,X300014.SZ,X000157.SZ,X002179.SZ,X600089.SH,X600066.SH,X600703.SH,X002463.SZ,X000921.SZ,X600372.SH,X002236.SZ,X002241.SZ,X002028.SZ,X000977.SZ,X600741.SH,X600522.SH,X002049.SZ,X600183.SH,X000661.SZ,X600584.SH,X601877.SH,X002129.SZ,X000800.SZ,X002223.SZ,X601799.SH,X002180.SZ,X600487.SH,X600060.SH,X600566.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601799.SH,0,0,0,0,0,0.00391997098411963,0,0,0.0959148027496164,-1.73472347597681e-18,0,0,0,0,0,0.01006917319326,0.18575672675849,0,0,0,0,-0.111131483747629,0,0,0,0,0,0,0,-0.0956122437391379,0,0,0,0,0,0.133023036599906,0.0391236829791354,0,0,0,0,0,0,0,0,0,0,-0.039112786469038,0,0,0,0.0449243378864177,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,-0.195384343592457,0,0,0,0,-0.028179189967753,-0.008731203482232,0.167614684181115,0,-0.466233541449123,0,0,0.158616598027863,0,0,0,0.13832174810858,0,0,0,0,0,0,0,0,0,0,0.144141466429296,0.0250252587453744,0,0,0,0,0.158350639438729,0,0,0,0,0,0,0,0,0.00928109765702138,0,0.105615555899602,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243482482514218,0.0533867186356194,0,0,0,0,0,0.0795106859394713,0,0,0,0.0988507421950049,0,0,0.0353408664729953,0,0.131327269251724,0,0.10817682965544,0,0,0,0.0665794353131389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600060.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16769616862226,0,0.0575220024814801,0,0,0,0,-0.0214808076881641,0.0431702110234588,0,0,0,0,0,0,0,0,0,0,-0.0784169179580768,0,-0.0585468692387223,0,0,-0.149345770913438,0,0,0,0.0715543608766539,0,-0.0581024690943869,0.182309477692686,-0.0710398543188863,0,0,0,0,0,0
X600566.SH,0,0,-0.00961970089391179,0.0555400837416498,0,0,0,0,-0.0689969137241503,0.0597492461736121,0,0,0,0,0,0,0,-0.0564098999967868,0,0,0.031768678090098,0,0.258617852748166,0,0,0,0,-0.0462056561652068,0,0,0,0,0,0,0,0,0,0,0.112329172722006,0.175492045946635,0,0.0707294718550482,0,0.0835954273300029,0,-0.0745838956857478,0,0.209799336509692,0,0,0,0,0.0101403211085794,0,0,0,0,0,0
X600177.SH,0,0,0,0.0764587867492476,0,0,0,0,0,0.0174699594502877,0,0,0,0,-0.04562629826944,0,0,0,0,0,0,0,0,0,0.0747806516987698,0.146987922064507,0,-0.0434231215900597,0,0.0337083113235082,0,0,0,-0.0897409185326933,0,0,0,0,0,0,0,0.0558252699144072,0.0443876765970944,0.132406293853533,0,0,0,0,0.0720321813810011,0,0.0780290984123114,-0.038969920106919,-0.0163288982258125,-0.056946182604112,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,-0.151221183227703,0,0,0,0,0,0,0,0,0,-0.00444337029994371,0,0.145581870222248,0,0,0,0,-0.232919893000586,0,0,0,0,0,0,0,0,0,-0.00648465284421677,-0.00974480075704329,0,0,0,0.292091519966923,-0.0276201116437355,0,0,0,0,0,0,-0.137370128949972,-0.0279218965948335,0.305248340652805,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,-0.310355541498448,0,0,0,0,0,-4.33680868994202e-19,0,-0.0946287199134306,0,-0.394895267337498,0,-0.079505759282192,0,0,0,0,0.055377362240932,0,0,0,0,0,0,0,0,0,0,0,-0.21032906632004,0.656849820618885,0.112391969444339,0,0,0,0,0.544018589030602,0.0328150408157382,0,0,0,0,0,0,0.0692495610808455,0.196584415486312,0,0,0,0,0
TED,0,0,0,-0.0180170125660363,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.822183081403624,0,0.163367258350321,0,0,0,0,0,0,-0.0926897758054007,0,-0.0987734464053777,0,0.878956589829883,-0.711381237079136,0,0,0,0,0,0,-0.315995735590712,0.361137400971611,-0.489554537563854,0,0,0,-0.538055711499899,0,0,0,-1.38777878078145e-17,0,0,0,0,0,1.51550496580947,0,-0.364150281824118,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,-0.0296236267126728,0,0,0,0.0237220860365413,0,0,0,0,0,0,0.108587412260404,0,0,0,0,0,0,-0.0759941385360007,0,0,0,0,0,0,0,0,-0.0464900469978886,0,0,0,-0.151327804449961,0,-0.090034281800209,0,0,-0.0335108990383419,0,-0.0218478588627837,0.162173163951151,0.0717042779508128,0,-0.223223804547832,0,0,0.0757484887946921,0.0340834097489453,-0.0861743622835385,0,0.160829410382512,0,0,0,0
