,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X002304.SZ,X600104.SH,X300014.SZ,X600690.SH,X002371.SZ,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X002241.SZ,X600703.SH,X000625.SZ,X002129.SZ,X000063.SZ,X003816.SZ,X000338.SZ,X002049.SZ,X000596.SZ,X601877.SH,X000661.SZ,X002179.SZ,X600089.SH,X600460.SH,X000100.SZ,X600741.SH,X300142.SZ,X002074.SZ,X002236.SZ,X000799.SZ,X600884.SH,X600779.SH,X601799.SH,X600702.SH,X000157.SZ,X000733.SZ,X600584.SH,X002414.SZ,X600183.SH,X002007.SZ,X000800.SZ,X600563.SH,X600522.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,0,0.157188077751718,0,0,0,0,0.0152554314019863,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573539760849554,0,0,0,0,0,0,0.0470451678471204,-0.0318739320269362,0.263998695484365,0,0,0,0,0,0,0.0714301820833937,0,0,0,0,0,0,0,0,0,0.0583899166336794,0,0,0.0491106787319827,0,0.00845343830288397,0,0,0,-0.00443850670085667,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102277835077216,0,0,0,0,0,0.403997919455349,-0.161321181151306,-0.21809972144445,0,0,-0.0436493914532345,0,0,0,0,-0.0735363559613673,0,0,0.471291515429947,0,0,0.248947910549472,0,0,0,0,0,0.190758659875755,0,0.0429267124644855,-0.201874953300741,0,0,-0.0165368331872949,0,0,0,0,0.104910489766517,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.041423712215058,0.0431221275428749,0,0,0,0.0457707758842658,0,0,0,0,0,0,0.28031710671772,0.0506776005892656,0,-0.0772472871023156,0,0,-0.125842302975123,0,0,0,0,0,0.0336686419612165,0,-0.0360144163120134,0,0,0.134110038623846,0,0,0,0,0,0,0,0,0,0,0,0,0.0568896873689569,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,-0.0763818742417118,0,0,0,0,0,0,0,0,0,0,0,0,0.11701911066614,0,0,0,0.0231053265930418,-0.0837726863218291,0,0,-0.0432392383217357,0,0,0,0.320430453016394,0,0.113953880510386,0.0166235460375739,0,0,0,0,0,0,0.0586608755736573,0,0,0,0,0,0,-0.0286854004535071,0.0728844247928428,0,0,0,-0.00350243888697439,0,0,0,-0.0126735450939925,0,0
X600031.SH,0,0,0,0,0,0,0.196564860204034,0,0,0.0189942786508896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0995060863940036,0.0122071357324941,0,-0.0577269586419736,-0.0778051885752802,0,0,0,0.0278921837515647,0,0,0.0779789130540139,0,0,0,0.681882053770012,0.165500209527016,0,0.11053298455289,0,0.0291091026276541,0,0,0,0,0,0,0.0191877863469175,0,0,0,0.0249885262399602,0,0
X300124.SZ,0,0,0,0,0.0995048313697198,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0997623327967166,0,0,0,0.42057431638624,0,0,0,0,0,0,0,0,0,0.123862809687547,0.124741421520986,0,0,0,0.0742094675022499,0,-0.0558914486888731,0.0386769398984195,0,0,0,0,0,0,0,-0.203594380151045,0,0,-0.158724581402921,0,0,0,0,0.107770840447847,0,0
X002241.SZ,0,0,0.049286158509139,0,0,0,0.488874119197841,0,0,0,0,0,0,0,0,0,0,0.135702453881462,0,0,0,0,0,0,-0.254092326000271,0,0,0,0.367726523239579,0.173429296487207,0,0.0494039538803951,0.287598182891273,-0.319556455968191,0,0,0,0,0.0322993409344762,-3.46944695195361e-18,0,0.105822262789488,0,0,0,0,0,0,0.280593351183031,0,-0.0668065982931497,0,0.0531149626485023,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0.134653799533423,0,0,0,0,0.222150413183282,0,0,-0.260689210866457,0,0,0,0.0301782541828272,0,0.0408542144636808,0.162575253345017,0,0,0.0481154642934736,0,0.0506008744656731,0,0,0.103680090608963,0,0,-0.0198619215841997,0,0.00470104054421377,0,0,0,0,0,0,0.241642620318339,0,0,0,0,0,0,0,0,0,0,-0.0575031825956203,0,0,0,0.00322855976322623,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.200626638171265,0,0,0,0,0,0,0,0,0,0.0415941041562246,0,0,0,0,0.0299083189479198,0,0,0,0,0,0,0,0,0,0,-0.160601221909789,0,0,0,0,0,0.0580168944437372,0,0.307693914387816,0,0,0,0,0.0109584938485211,0,0,0,0.0367963690281757,0,0,0,0.0448435563030156,0,0
X002129.SZ,0,0,0,0,0,0,0.033245725451653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371272254956578,0,0,0,0.0238514060184618,0,0,0.148293925772844,0,0,0,0.185421179651579,0,0.0536524822945268,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.0200084284071958,0,0,0,0.00401779488203756,0,0
