,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X600104.SH,X002371.SZ,X003816.SZ,X000568.SZ,X000063.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000100.SZ,X300014.SZ,X000596.SZ,X002241.SZ,X002179.SZ,X002463.SZ,X600418.SH,X000977.SZ,X600584.SH,X600089.SH,X000157.SZ,X600066.SH,X600703.SH,X600372.SH,X600183.SH,X002028.SZ,X600741.SH,X002049.SZ,X002236.SZ,X601877.SH,X600522.SH,X000921.SZ,X000066.SZ,X002156.SZ,X600460.SH,X600487.SH,X600839.SH,X600177.SH,X000988.SZ,X000661.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000800.SZ,0,0,0,0,0,0,0,0,0.0671363184545861,0,0,0.0679091672794362,0,0,0,0,0.248281263116275,0,0,0.0835006612158558,0.008883935619939,0,0,0,0.168150690548793,0.0475663156003489,0,0.0391652474801109,0,0,0.0607430169667098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0059850512853605,0.0146010054105622,-0.0134043722199683,0,0,-0.0273435713410576,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0410540063230483,0,0,0,0,0,0,0,0,-0.0483075370028718,0,0,0,0,0,0,0,0,0,0,0.0467247586320451,0,0.0142471642950222,0,0,0,0,0,0,0,0.0617608577425918,-0.47720215898405,0.0810803546707613,0,0,-0.0227174949149635,0,0
Slope,0,0,0,0,0,0,-0.0779707995482184,0,0,0,0,0.265918181956187,-0.234620750973219,0,0,0,0,0,0,0,0,0,0,0,-0.693639114414533,0,0,0,0,0,-0.453369982685889,0,0,0,0,0,0,0,0,0,0,0.170565853103717,0,0,0,0,0.346520695081729,0.545272578967614,0,0,0,0,0.725057488611239,0,0.683690947613604,0,1.2173890482751,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209910274871491,0,-0.0395285537424798,0,0,0,0,0.163556242395422,-0.0853322964119827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479839036073232,0,0,0,0,-0.254396591467075,0,0
RealEstate_excess,0,0,0,-0.256357415121388,0,0,0,0,0,0,0,0,0,0,0,0,-0.0494075039066727,0,0,0,0,0,-0.0266439126546476,0,0,-0.0326981076458008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261658517989602,0.101035688315529,0.107918751649447,0,0,0,0,0,0,0.0664881154200034,0.0218273522647547,-0.0325404911049311,0,0,0,-0.119674837360827,0,0
MKreturn,0,0,0,0,0,0,0,0,-0.00245316920150377,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.0675047757299278,0,0,0,0.149279854348604,0,0,0.017998048976183,0,-0.320991348714832,0,0,0,0,0,0,0.0271570956918414,0,0,0,0,0.0565463083203331,0,0,0,0.0898420119874695,-0.0587136059231694,0,0.22517193462712,0,0,0.0210726933158862,-0.0100407862083563,0,0,0,-0.0950072912652991,0,0
MKvol,0,0.00648115785644876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.00649221037077814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40063895250865e-05,0,-0.00504022648755886,0,0.00404179243559647,0,0,0,0,-0.0151504267620465,0,-0.00581986393999468,0,0,0,-0.00601578102679231,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,-0.00307998960112432,0,0,0,0,0,0.0175343109063112,0.00520293605235362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622342132931087,0,0,-0.00749587432885864,0,0,0,0,0,0,0,0,0,0,0.00418861669530705,0,0,0,-0.00364485828633292,0,0,0,0,-0.016532802687604,0.00462156563006737,-0.0067157488842431,0,0.0115817787411841,0,-2.73720720746135e-05,0,0
CarbonVol_Hubei,0,0,0,0,-0.00010270276417595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000306708938177963,0,0,0,-0.00189062966527945,0,0,0,0,0,-0.0191101053778313,0.0293794347587571,0,0,0,-0.0513897537910196,0,0
