,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000625.SZ,X002008.SZ,X600487.SH,X600809.SH,X601877.SH,X002241.SZ,X000100.SZ,X002508.SZ,X600066.SH,X002456.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600867.SH,X600271.SH,X600522.SH,X600089.SH,X000596.SZ,X600177.SH,X000157.SZ,X300136.SZ,X600566.SH,X002085.SZ,X000661.SZ,X000981.SZ,X600498.SH,X600699.SH,X300142.SZ,X002179.SZ,X600118.SH,X002129.SZ,X002180.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300142.SZ,0,0.695244254164644,0,0,0.0304747671505745,0,0,0,-0.121266262388344,0,0,0,0,0,-0.0588136035463123,0,0,0,0,0,0,0.0638990949381288,0.13091315300926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192527998579152,0,0,0,0,0,0.249201019046606,0,0,0,-0.0245232662335533,0,0,0,0.0308551873110082,-0.0741348315581914,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0.179168492487758,0.150677838864003,0,0,0,-0.0533933834207278,0,0,0,0,0,0,0,0,0.0223914151291086,0,-0.0325186543849906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176708451229689,0,0.207784123611367,0,0,-0.027327188322582,0,0,0,0,0,0,0
X600118.SH,0,-0.0394630365321165,0,0,0,-0.063662346909859,0,0,-0.0104422381117408,0,0,0,0,0,0,0,0.0856088930503279,0,0,0,0,0,0,0,0,0,0,0,0,0.00372709991233094,0,0.111730741070799,0.120349715771422,0,0,0,0,0,0,4.11191609947741e-05,0,0,0,0.137247065317254,0,0.0113043860392502,0,0.0568888670903978,0,0.0703679971459291,0,-0.0212906741565103,0.0392546859605242,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218537827172827,0,0,0,0,-0.0894405872899589,0.0689048739264532,0.0302145639097012,-0.493723283407695,0,0,0,0,0,0,0.157842109413247,0,0,0.184925592191612,0,0,0,0,0,0.230330339438815,0,0,0.164946283098942,0,0.0279214547525527,0,0,0,0,0,0,0,0,0.0811851794777366,-0.132635507358712,0,0,0,0,0,0
X002180.SZ,0,0.150568056950721,-0.503270689637724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965052874351132,0,0,-0.193898437014825,0.254352532310281,0,0,0.121452854056507,0,0,0.0797204627021155,0,0,0,0,0,0.190154963216681,0,0,0,0,0,0,0,0,0,0,-0.0929373907445705,0,0.404754996878536,0,0,0,0,0,-0.0133688146957737,0.0294649620578301,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0.310343666410473,0,0,0,0,0.105461904753797,0,0,0,0.357506646627933,0,0,0,0.175561053390027,0.00901784486430145,0,0.148835225225653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.00569923312183376,0,0.211010602154419,0,0,0,0,0,0.00745176726081992,0.0198225142934906,0,0,0,0,0,0
Change_TY3M,0,0,0,-0.0948488492946248,0,0,0,-0.115818791550708,0.0745284170876599,0,0,0,0,0,0,0,0,0,0,0,-0.0728897877563545,0,0,0,0,0.035326037706336,0,0.0164007843721649,-0.0195327478271141,0,0,0,0,0,0,0,0,0,0,0,0.106455853419278,0,0,0,0,0,0,0,0,0,0,0.0157742720484182,-0.109682014102539,0,0,0,0,0,0
Slope,-0.0423697543052331,0,0,0,0,0,0,0,1.20550514263277,0,0,0,6.93889390390723e-18,0,-0.494654156885663,0,0,0,0,0.199330815502164,0,0,-0.305017521408372,0,0,0,0,1.73472347597681e-18,0,0,0,0.047395976015755,0.27426148117081,0,0,0,0,0,0,0,0,0,0.0678630866350467,0,0,0,0,0,0,-1.34315865149531,0,0,1.48149181452618,0,0,0,6.83183406993285,0,0
TED,0,0,0,0.0128329903016904,0,0,0,0,0,0.198730376033803,0,0,0,0,-0.046721324150469,0,0,0,-5.42101086242752e-20,-0.032947016115167,0,-0.0683231192900669,0,0,0,0,0,0,0,0,0,-0.062110339549943,0,0,0,0,0,-0.0389085648448341,0,0,0,0,0,0,-0.0127916611436494,0,0,-0.144146848480803,0,0,0,0.360344190254288,0,0,0,0,-1.37856403384397,0,0
RealEstate_excess,0.192488004383287,0,0,0,0,0,0,0,0,0,-0.0718473803462874,0.0671968770046064,0,-0.0147735287367424,0,0.0724350746180196,-0.0800148932055222,0,0.049166080068313,0,0,0,0.0268397882371126,0,0,0,0,0,0,0,0,-0.139343752021293,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0426232912357681,0,0,0,0.0348715315996082,0,0,-0.0166469462949057,0,0,0,0,0,0
MKreturn,-0.0701424896975246,0.0505810490736541,0,0,0,0.0660263028845007,0,0,0,0,0,0,0,0,0,-0.0581550321520363,0,0,-0.0274523779023709,0,0,0,0,0,0.047951401391115,0,0.0723950118354892,0,0,0,-0.0276003986071296,0,-0.026404514390099,0,0,0,0,0,0,0,0,0,-0.000497921462037083,0,0,0,0,0,0,0.0965296185902328,0,-0.00856306606164613,0.0325789757278576,0,0,0,0,0,0
MKvol,0.00192470356376309,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0.00278677563422756,0,0,-0.00331612089577775,0,0,0.000274953259765945,0,0.0012872078704004,0,0,0,0,0,0,0,0,0,-0.00197540655003828,-0.00101775164213097,0,0,0,0,0,0.00434120100756123,0,0,0,0,0,0,0,0,2.92805009209836e-05,0,0,0,-0.00211491560613697,0.00509805993987581,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387616154173409,-0.0582758138016687,0,0,0,0,0,0
