,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600809.SH,X600703.SH,X300003.SZ,X002007.SZ,X000596.SZ,X600183.SH,X002371.SZ,X600741.SH,X300014.SZ,X300142.SZ,X000100.SZ,X002241.SZ,X000977.SZ,X300124.SZ,X601877.SH,X000157.SZ,X002236.SZ,X000800.SZ,X002463.SZ,X000625.SZ,X002129.SZ,X600118.SH,X002179.SZ,X002456.SZ,X300136.SZ,X600498.SH,X002223.SZ,X600271.SH,X002414.SZ,X600584.SH,X000066.SZ,X002049.SZ,X002185.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000661.SZ,0,0,0,0,0,0,0,0,0.150729353919227,0,0,0,0,0,0,0,0.0935281515149708,0,0,0,0.131472348962589,0,0,0,0,0.0660976359321904,0,0,0,0,0,0.138991866272282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769317753930164,0,0,0,0.0273299525475574,0,0,0,0,0,0,0
X000568.SZ,0,0.393129659106854,0,0,0,0,0,0,0,0,0.0240813521184751,0,0,0,0,0,0.420025035842882,0,0,-0.0048968565732278,0,0,0,0,6.93889390390723e-18,-0.0210200218913373,0,0,0,0,0,0,0,0.0727520231684463,0,0.0710317393401213,0,-0.0220603168175169,0,0,0,0.0101510844498302,0,0,0.0578516352130703,0,0,0,0,0,0,-0.0203830331982726,-0.0190494443606528,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.127454170021234,0,0,0,0.313774683491271,0,0,0,0,0,0.0396814501832358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253037075232603,0,0,0,0,0.091248852668399,0,0.0219930891376747,0,0,0,0.0538383564179794,0,0.0313399995702524,0,0.0329411102139929,0,0,0,0,0,0,0
X600690.SH,0,0.125867537569034,0,0.174615747681737,0,0,0,0,0.0181545617687381,0,0,0,0,0,0.187431075036546,0,0,0,0,0,0,0,0,0,0.0897961304759743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923778301549268,0,0,0,0.00848018265951931,0.00227576694786087,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.0698845653499018,0,3.46944695195361e-18,0,0,0,0,0.502181694044605,0,0,0,0,0,0,0.0329581607236304,0,0.0458285118189749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996118031047468,0,0,0.0321925928313129,-0.0048069838601168,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,-0.0197615290327046,0,0,0,0,0,0,0,0.0237105155156109,0,0,0,-0.074512455599722,0,0,0,0.123515408379856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714963336374431,0,0,0.0777624486962069,0,0.0622432788610289,-0.0541803269887863,0,0,0.63165034096197,0,0.0121824320946993,0,0,0,-0.0139296075397386,0.00538249505973692,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0.514628041762394,0,0,0,0,0,0,0,0,0,0,0.083651072995039,0,0,0,0.0444187995067213,0,0,-0.415690311576432,0,0,0.10454653585014,0,0,0,0.100563136959522,0,0.102937073863863,0,0,0,0,0,-0.0929135834937307,0,0,0.27793866307973,0,0.0951970307342285,0,0,0,0.199977962863926,0,0,0.085861059361164,0.0311575813623595,0,0,0,0,0,0
X002007.SZ,0,0,0.402368052820533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619349409164166,-0.0747843481415617,0,0,0,0,0,0.100399243384304,-0.0400248939675052,0,0,0,0,0,0,0,0.0458538509144637,0,0,0,-0.0163604356499329,0.299261463369949,0,0,0,0,0,0.00383117744420876,0,0.0725995724141277,-0.0338865693955104,-0.0364792548340761,0,0,0,0,0,0
X000596.SZ,0,0,0,0.0302753891060181,0,0.0530250996056112,0.369720326464389,0,0,0,0,0,0,0.319281964802281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267727087325315,0,0,0,0,0,0,0,0,0.0443146182012889,-0.00398859744491933,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151605547002104,0,0,0,0,0.0758841991298482,0,0.0740112822518776,0,0.0270728205931115,0,0,0,0,0,0,0,0.448805831774967,0,0,0.0339064189446189,0,0.0446192058357972,0.0614545064004071,0.0760021991862662,0,0,0,0.0686166743574583,0,0.0687987901740546,0,0,0,0.0113163330442163,0,0,0,0,0,0,0
