,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X002292.SZ,X600703.SH,X000100.SZ,X600066.SH,X600741.SH,X600031.SH,X600118.SH,X002506.SZ,X002241.SZ,X002236.SZ,X002475.SZ,X000559.SZ,X000157.SZ,X600372.SH,X600177.SH,X000568.SZ,X000338.SZ,X002074.SZ,X300003.SZ,X300124.SZ,X600089.SH,X002294.SZ,X002085.SZ,X002465.SZ,X002049.SZ,X600867.SH,X600498.SH,X601877.SH,X002456.SZ,X002007.SZ,X600582.SH,X002180.SZ,X000981.SZ,X000869.SZ,X300001.SZ,X000050.SZ,X000623.SZ,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002180.SZ,0,0,0,0,0,0,0,0,0,0.0117148234325478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141022456218296,0,0,0,0,0.139204385342671,-0.16679070603904,0,0,0,0,0.155216753156753,0,0.0173338204982588,0,0,0,0.185589880403444,0,0,0,0,0.0456616238676485,0,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0146724105574921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0086233599702389,0,0,0,0,0,-0.0166789959740785,-0.0345545215971874,0,0,-0.0032834447956984,-0.00603329310093332,0,0.00593553369711701,0,0,0,0.0269411017497459,-0.0105709473987747,0,0,0,-0.00977162006020757,0.00308549777404911,0,0,0,0,0,0
X000869.SZ,0.176873860095339,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.111243119780225,0,0,0,0.223360048976927,0,0,0,0,0,0.0802773342117286,0.0372463758119022,0,0,0,0,0,0,0,0,0,0,0.0599690462342298,0.10758307233954,0,0,0,0,0,0,0,0,0,0,0,0.00440009212536703,0.032990178137682,0,0,0,0,0,0
X300001.SZ,0,0,0,0,0,0,0,0,0,0,0,0.263855305793686,0,0,0,0,0,0,0.0156767816127453,0,0.0880561974995698,0,0,0,0,0,0,0,0,0,0,0,0,0.0505107961669881,0,0,0,0,0,0.162054675359072,0,0.130561563494184,0,0,0,0,0,0,0.0473461037125659,0,0,0.0149300973391558,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0,0.136784463315707,0.123228102546315,0,0,0,0,0,0.288379582042841,1.38777878078145e-17,0,0,0.0769043441567894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601918708876476,0.0413066168637807,0,0.363533117245784,0.0757919989294835,0,0,0,0,0,0,1.73472347597681e-18,0,0.0374735764550394,0,0,0,0,0,0,0
X000623.SZ,0,0,0.280035252466193,0,0,0,0,0,0,0,0,0,0.0505841000693318,0.22904762748295,0,0,0,0,0.106516252055731,0,0,0,0,0,0,0.209841463643461,0,0,0,0,0,0,0,0.00431756901658401,0,0,0,0,0.056409761776669,0,0,0,0.00988700073423138,0,0,3.46944695195361e-18,0,0,0.0255682770887945,0,0,0,0,0,0,0,0,0
X002249.SZ,0,0,0,0,0,0,0,0,0,0,0,0.118652971378695,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0.112611373739378,0,0,0,0,0,0,0,0,0.0850028777317391,0,0,0,0.125062914918037,0.0393334944406494,-1.38777878078145e-17,0,0,0.183052431611344,0,0,0.234126376513187,0,0,0,0,0.0204308464622031,0.0390329781601782,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0.0861255834712695,-0.219220489527648,0,0,0,0,0,0.0597914857089468,0.0189942989700127,0,0.0599751743200764,0.0155343492451765,0,0,0,0,0,-0.190633678747611,0,0.296979132237089,0,0,0,0,0,-0.0299348819580259,0,0.0117153241142383,0.0121653745075881,0,0.00758272289918951,0,-0.067977899039756,0,0,0,0,0,0,0,0,-0.0493218797180942,0.124842077607249,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198825976654399,-0.087664265979437,0,0,0,0,0,0.453463404056881,-0.0895479962281855,0,0,0,-0.495115612749455,0,0,0,0,0,0,0,0,4.33680868994202e-19,-0.0189417671667542,0,0,0,0.163997455580724,0,0,0,-0.116924596935314,0,0,0,0,0.890131128154777,0,0,0,0,1.03845716761983,0
TED,0,0,0,0,-0.228746898558001,0,0,0,0,0,0,-0.409966281084052,0,0,0,0,0,0,0,0.299020765986778,0,0.359627238037789,0,0,0,-0.0594338812485557,-0.542868608055399,0,0.0590371693586225,0,0,0,0,0.281572298720719,0,0,0,0.121328976682518,0,0,-0.15889129255437,0,-0.700360600003826,0,0,0,0,0,0.456777113380092,-0.985781347249236,0.1959684324995,0,0,0,0,0,0.891700431098982,0
RealEstate_excess,0.103736901779114,0,0,0,0,0.0590756924364552,0,0,0,0,0,0.0153352661861349,0,0,0,0,0,-0.0881723492143434,-0.0132013633899479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14045271863865,0,0,0,0,0,0.0858337869448268,-0.213308133241962,0,0,0,0,0,0,0,0,-0.0700589060931206,0,0,0.175415718139822,0,0,0,0
MKreturn,0,0,0,-0.014571629430584,0,0,0,0,0,0,0,0.183512485138896,0,-0.151600872870373,0,0,0,0,0.0699743213194127,0,0,0,0,0,0,0,0,0,0,0,0,-0.172836181638151,0,-0.0507955164772323,0,0,0,0.048817031026661,0,0,-0.156551818054044,-0.0481098027300126,0,0,0,0,0,0,-0.00786751664386784,0,0.0358640114777906,-0.0625377647996899,0.747411873200825,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,-0.00287455264913982,0,0.00387225149646961,0,0,0,0,0.00181251515964976,0,0.00270980475053575,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,-0.00365046417407889,0,0,0,0.0016229580176083,0,0,0,0,0,0,0,0,0.0028223012449752,0,0,0,0.0075493718880997,0,0,0,0,0,0.168012647173136,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0.00271985355191446,0,0,0,0,0,0,0,0,0.00808662478946964,0,0,0,0,0,0,0,0.00268729214727401,0,0,0,0,0,0,0.00381839182989684,0,-0.00488550487121536,0,-0.0023470683481291,0,0,0,0,0,0.00239584408940692,8.67361737988404e-19,0,-0.00189818457638749,0,0,0,0,0,0,0,0.145667353230828,0
CarbonVol_Guangdong,0,0,0.0101836410757937,0.00345388009369646,0,0,0,0,0,0,0,-0.00407549837893624,0,0,0,0,0,0,0,0,0.0870229645484469,0,0.0483978882112117,0,0,0,0,0,0,0,0,0,0,0.00659977193600671,0,0,0,-0.0328835874344019,0,0,0,0.0209753621469437,0,0,0,0.0137928831510219,0,0,-0.134996137497959,0,0.0792984640132577,0.0727455433805407,0,0,0,0,0,0
CarbonVol_Hubei,0,0.00035158853092525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003606885864417,0.000291954740223561,0,0,0,0,0.00446416556801815,0,0,-0.00235403156250207,0,0,0,0,0,0.0064306252330505,0.000244825907186737,0,0,0,0.00154524889437385,0,0,0,0,0,0,0,0,0,0,0.00660649717397339,-0.0032551894871022,0,0,0,0,-0.0203476975471405,0
