,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X600031.SH,X300124.SZ,X300014.SZ,X000725.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000338.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000625.SZ,X000661.SZ,X300142.SZ,X002049.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X601877.SH,X600702.SH,X000799.SZ,X002007.SZ,X600584.SH,X000157.SZ,X002074.SZ,X600741.SH,X002236.SZ,X600183.SH,X002414.SZ,X600779.SH,X601799.SH,X600089.SH,X300146.SZ,X000800.SZ,X300003.SZ,X600884.SH,X000977.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002236.SZ,0,0,0.178405278001407,0,0,0,0,0,-0.0297407281093433,0.0958925142035676,0,0,4.33680868994202e-19,0,0,0.038535713998933,0.00938187932380273,0,0,0,-0.164511776058526,0,0,0,-0.00773794633401891,0,0.0530577989840333,0,0,0,0,0.062721691648346,0.0106136582051094,0,0,0,0,0,0,0,0,0,0,0,0.127629637762542,0,0,0.0505948159999043,0,0,0,0,0.0522713835347451,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0.0309606623667273,0,0.199220199386064,0,0,0,0.114875132130792,0,0,0,0,0,0,-0.0984871945081803,0,0,0.0529096074399039,0,0,0,0,0,0.00814484470211714,0,0,0,0,0.0177189995772181,0,0,0,-0.0197026179821097,0,0,0.0657894747235829,0.0355747093781083,0,0,0.0202652624976598,0,0,0,0,-0.0115373344011231,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,-0.0319911346812578,0,0,-0.00116687385013424,0,0,0,0,0,0,0.0249128928699832,0,0,0,0,0.0205281263177648,0.122636365417265,0,0,0.241829580163799,0,0.164141291506006,0,0,0,0,0,0.00897469094879252,0,0,0,0,0,0,0,0.0770426967068773,0,0,0.0280262874623174,0,0,0,-0.0631759305239706,-0.0201645543122175,0,0,0,0,0,0
X600779.SH,0.611497237039941,0.000769836277731376,0,0.17990480588179,0,0,0,0,-0.334453690325833,0.178083558406135,-0.237874483449239,0,0,0,0,0,0,0,0,0.0899284078711627,0,0,0,0.196545479752237,0,0,0,0,0,-0.0070514080888202,0,0.0191490079301375,0.464498504663032,0,0,0,0,0,0,0,0,0,0.0556796326063308,0,0,0,0,0,0,0,0,0,-0.159187209277454,0,0,0,0,0,0
X601799.SH,0,0,0,0.16046737748499,0,0,0,0.164687101859407,-0.0936557110415146,0,0,0,0,0.00119604214474683,0,0,0,0.0185881099469093,0,0,0.158996107870773,0,0,0,0.0952806793597901,0,0,0,0,-0.0892914173586068,0,0,0,1.73472347597681e-18,0,-0.0214797995541102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0
X600089.SH,0,0,0.0796174202146138,0,0,0,0,0,0,0,0,0.0495872166788804,0,0,0,0,0,0,0,0.141045203217515,-0.0427142069463623,0,-4.33680868994202e-19,0,0,0,0,0,0.101582571319973,2.16840434497101e-19,0,0.002694293802797,0,0,0,0,0.0297798295526631,0,0,0,0,0,0,0,-0.0613916949175858,0,0,0,0.0525731167931931,0,0,-0.0200691412386178,-1.0842021724855e-19,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0368005609982247,0,0,0.0768068964410385,0.0552475216886698,0.389256146409185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126423111817374,0.00886921639431226,0,0,0,0.211566294086216,0,0,0,0,-0.0385556120986152,0,0,0,0,0,0,0.12669505698942,0,0,-0.0449721858777323,0.179568254101806,0,0,0,0.0908512381351465,0,0
X000800.SZ,0,0,0,0,0,0,0,0.0479844301124936,0,0,0,0,0,0,0,0,0,0,0,-0.131754968208654,0,0,0.0978448434507919,0,0.0712405729572313,0,0,0,0.0444112535683298,0.0242226482311681,0,0,0,0,0.0183841241884128,0,0.0652654002553492,0.168997031851713,0,0,0,-0.0327590336864442,0,0,0,0,0,0,-0.135928144283614,0.0492903798343505,0,0.0329693062345216,-0.0134708493426873,0,0,0,0,0,0
X300003.SZ,0,0.0595343357799867,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039685109679724,0,0,0,0,0,0,0,0,0.0177931291761974,0,-1.73472347597681e-18,0,0,0,0,0.0543150460391491,0,0.00952598275110368,0,0,0,0,0,0,0,0.0808816177449839,0,0,0,0,0,0,0,0,0,0,-0.0814643145495622,0,0,0,0,0,0
X600884.SH,0,0,0,-0.22397637331669,0,0,0,-0.165042434896344,0,0,0,0,0,0.249571772463937,0,0,0,0,0,0,0,0,0.0717403780990089,-0.0798854596647814,0,0.120061795871659,0,0,0,0.172215260595386,0,0,0,0,0,0,0.226508866405577,0,0,0,0,-0.178054741163246,0.0530414526521996,0.242773888758438,0,0,0,0,0,0,0,0.235632656571007,0,0,0,0,0,0,0
