,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X000338.SZ,X000063.SZ,X002371.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002129.SZ,X002236.SZ,X600372.SH,X000661.SZ,X002241.SZ,X002049.SZ,X000157.SZ,X600741.SH,X600584.SH,X000977.SZ,X601877.SH,X600522.SH,X000800.SZ,X002007.SZ,X002074.SZ,X600183.SH,X601799.SH,X600460.SH,X002463.SZ,X600418.SH,X002180.SZ,X300142.SZ,X002028.SZ,X002294.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000725.SZ,-0.17475958678708,0,0,0,0,0,0,0,0.0915138698276117,0,0,0,0,0,0,0,0,0,0.0225409333146836,0,0,0.284718547181546,0.352788886382942,0,0,0,0,0,0,0.0935771037526478,0,0.213939760792041,0,0,0,0,0,0,0,0,0,0,0,0.0311247009397874,0,0,0,0,0,0,0,-0.0402874810526856,0.0825267212004565,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0.401225114409551,0,0,0,0,0,0,0,0,0,0,0,-0.0878461721369511,0,0,0,0.0801954340552968,0,0,0,0,0,0,0,0.360036446218228,0,0,0,0,0,0.0357821903632649,0,0,0,0.0477462820768491,0,0,0,0.0336939759574866,-0.0764499963612088,-0.0862994272087784,0,0,0,0,0,0,0.00820799892874468,-0.0193504199657061,0,0,0,-0.0572424629344051,0,0
X000338.SZ,0,0,0,0.201288111162236,0,0,0.0131381168458979,0.476636416303079,0.343989282335431,-2.77555756156289e-17,0,0,0,0,0,0,0,0,-0.0304629375060348,0,-0.0762189815491315,0,0,0,0,0,-0.259747861649411,0,0,0,-0.0929380833881766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,0,0.00907119459322074,0,0,0,0,-0.0314799990638026,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0401504348511506,0,0.318529867569844,0,0,0,0,0,0.2624442618886,0,-0.279740320470082,0.203535986044616,0,0,0,0,0.258712478590627,0,0,0.229906887271123,0,0.0482967610341415,0,0,0,0,-0.13658472574788,0,0,0,0,0.0358711682453045,-0.221920302516649,0.00976060431186616,0,0,0,0,0.0727544925087028,0,0
X002371.SZ,0,0,0,0,0,0,0.0203055853519388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15398613858269,0,0,0,0,0.041594243596525,0,0,0,0.105589562014493,0,0,0,0,0,0,0.229125786479568,0,0,0.151283032656529,0.0664509407616263,0,0,0,0,-0.00183151739200475,0.0182575945568733,-0.0365221150178729,0,-0.105575323070229,0,0,-0.00374232657718426,0,0
X600031.SH,0,0,0,0,0,0,0.0560739236781519,0,-0.059504079058271,0,0,0,0,0,0,0,0,0,0,0,0,-0.0797031246879372,0,0,0,0,0,0,0.0326246555770403,0.0270943950176476,0,0.379805202180025,0,0,0.0232604183221117,0,0.132535010499354,0.108363820643756,0,0,0,0,0,0,0.0594376186927442,0,-8.67361737988404e-19,0,0,0,0,0.0540178133248114,-0.0863312301442289,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0.00810188632660749,0,0.0940197529701934,0,0,0,0,0,0,0.0502969407076236,0,0,0,0,0,0,0,0.373695870395228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124287849567985,0,0.0118364594953171,0,0,0,0.141683300598218,0,0,0,0,0,0.0367804363570915,-0.0616647494910943,0,0,0,0,0,0
X002179.SZ,-0.21913455952839,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246439492494475,0,0,0,0,0,0,0,0,0,0,0,0.00656929975141169,0,0,0,0.0213425742461476,0,0,0,0,0,0,-0.0346831062587045,0,0,0,0,0,-0.107825612337374,0.140839170633307,0,0,0,0,0,0,0,-0.0316200070929298,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.0268497782001867,0,0,0,0,0,0,0,0,0.534015931322252,0,0,0,0,0.138817611685886,0,0,0,0,0,0.0066866035105179,0,0,0,0.0409305168631272,0,0,0,0,0,0,0,0,0,0,0,-0.0598964823848757,0,0.172572347566771,0.00359669639465936,0,0,0,0,0,0,-0.01427150690757,0,0,0,0,0.030528021503106,0,0
X600089.SH,0,0,-0.155915585900003,0,0,0,-0.00715133876384524,0,0.085928298664437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838268088898732,0,0,0.0790221221110156,0,0,0,-0.0301617640887272,0,0,0,0,0.202637297645925,0,0.0210737417499957,0,0,0.16037650665704,0,0,0,0,0,0,0,0,-0.0179704783702557,0,-0.0404443941748889,0,0.00593848636446635,0,0,0,0,0,0
