,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X002304.SZ,X003816.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600703.SH,X600809.SH,X600690.SH,X002371.SZ,X000596.SZ,X002007.SZ,X300003.SZ,X000100.SZ,X002241.SZ,X600183.SH,X300142.SZ,X600741.SH,X300014.SZ,X000977.SZ,X300124.SZ,X601877.SH,X002129.SZ,X000157.SZ,X600584.SH,X002236.SZ,X000625.SZ,X000800.SZ,X002049.SZ,X002463.SZ,X000066.SZ,X002414.SZ,X002456.SZ,X300136.SZ,X600498.SH,X600118.SH,X002179.SZ,X002185.SZ,X600522.SH,X000021.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0.500876688969715,0,0,0,0.0308411197808179,0,0,0.120025496716915,0,0,0,0,0.24219781317314,0,0,0,0.00440239813936144,0,0,0,0,0,0,0,0.068803019621256,0,0,0,0,0,0.00514144854068696,0,0.0420881962042293,0,0,0.0423630812190114,0,0,0,0,0.0130273376951068,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0.156451991311653,0,0,0,0,0,0,0,0,0,0,0,0,-0.0531485034127677,0,0,0,0,0,0.0427574290703405,0,0.0069845094617878,0.213272809076742,0,0,0,0,0,0,0,0,0,0,0.0750826458769613,0,0,0.0216181116640365,0.331927936748868,0,0,0,0.02704151514476,0,0.0561680934390225,0.200627413167215,0,-0.0163952094039906,-0.0228597483636112,0,0,0,0,0,0
X600183.SH,0,-0.00341921493481743,0,0,0,0.129104549200245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503694175838418,0,0,0,0.0736863122139099,0,0,0,0.0069232239002161,0,0.189991245542113,0,0,0,0,0.466620907770969,-0.0755491658763306,0,0,0,0,0,0,0.0214492299677529,0,0.0349979601187622,0,0,-0.00289736868288947,0,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0.332336419793254,0,0,0,0,0,0,0,0.0387468615254897,0,0,0.21020139898262,0,-0.0559833347057764,0,0,0,0,0,-0.0281828183434788,0.177746579876061,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.160895999555905,0,0,0,-0.0187366370367591,-0.00966918219510641,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0.261012653011989,0,0,0,0,0,0,0,0,0,0,0,0,0.0168026434901363,0,0,2.77555756156289e-17,0,0,0,0,0.194833881012226,0,0,0,0.023259255631625,0,0,0.376832319289908,0,0,0,0,0,0,0,0,0,0,0,0,0.0324586934865638,0,0,0,-0.0172707561265082,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0.387613965829936,0.208850866740731,0,0,0,0,0,0,0.134934605296283,0,0,0,0,0,0,0,0,0,0,0.180241515225234,0,0,0,0,0.0769541807779016,0,0,0,0,0,0,0,0,0.0592651287156928,0,0,0,0,0,0,0.101172214670655,0,0,0,0.0204568464381468,0,0,0,-0.0530062439506439,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0.443120686584635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306691469756824,0,0,0,0.0479707270065952,0.078189661026,0,0,0,0,0,0,0,0.384043388537265,0,0,0,0.0841301778379184,0,0,-0.229168210417978,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.162476383342465,0.0289878892682894,0.0677676233577148,0,0,0,0,0,0
X300124.SZ,0,0.0622492113798775,0,0,0,0.14787698417507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114477071423007,0,0.00777579071121086,0,0,0,0,-0.0414383291014073,0,0,-8.67361737988404e-19,0,-0.106665998799939,0,0.0759727463358258,0,0.14618353217461,0,0,0,0.0818452120402659,0,0,0,0,0,0.123757483638391,0.00211854718778214,0.00801635181766268,-0.00549044526902394,0,0,0,0,0,0
X601877.SH,0.182604391446586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164598248436108,0.0452143467709658,0,0,0,0,0,0,0.0933844488574083,0.223566088606634,0,0,0,0,0,0,0,0.0444223842673826,0.0302795272152101,0,0,0,0,0,0,0,0,0.0207623527291283,0,0,0,0,-0.173451198808535,0,0,0,0,0.0171825690975438,-0.0390144997105732,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,-0.0187514397271714,0,0,0,0,0,0,0.0626713088668892,0,0,0.0836787289020978,0,-0.0848582068817334,0,0.371751236011837,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.235919533056732,0,0,-0.0215475613847475,0,0,-0.0681209809135967,0,0,0.141314689112627,0,-6.93889390390723e-18,0,0,0.00853628498336628,2.71050543121376e-20,0,0,0,0,0,0
