,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X002460.SZ,X000708.SZ,X600547.SH,X600660.SH,X002271.SZ,X600362.SH,X600011.SH,X601600.SH,X000786.SZ,X600886.SH,X600426.SH,X600176.SH,X601898.SH,X600010.SH,X002466.SZ,X000301.SZ,X600188.SH,X600801.SH,X600352.SH,X600111.SH,X600489.SH,X300037.SZ,X600795.SH,X601991.SH,X600486.SH,X600688.SH,X600803.SH,X002353.SZ,X002080.SZ,X600027.SH,X600299.SH,X600219.SH,X601992.SH,X601168.SH,X000932.SZ,X000898.SZ,X600529.SH,X002409.SZ,X600399.SH,X000630.SZ,X600315.SH,X000807.SZ,X000878.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0,0,0,0.165568821265228,0,0,0,0,0,0,0,0,0.043803380278065,0,0,0,0,0,0,-0.0120480718369324,0.0194614260192979,0,0,0,0,0,0,0,0,0,0,0,0,0.0126987711523018,0,0,0.0947314079709503,0,0,0,0,0,0,-0.0536065312450756,0,0,0.00260969786824825,0,0,0,0.0079485110918495,-0.0148331830975756,0,0,0,-0.00172215300428552,0,0
X600803.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104734074019726,0,0,0,0,0,0,0,0,0,0,0,0,0.149092460630606,0,0,0,0,0,0,0,0,0,0.0847213284588858,0,0,0.0402624761715431,0.0296538848594565,0,0,0.0660770866403369,0,0,0,0,0.0473155051201828,0,-0.00690015485644015,0,0,0,0,0.00559315793168795,0,0
X002353.SZ,0,0,0,0,0,-0.10815574184076,0.0525081377677223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104572576293722,0,-0.0453585225616833,0,0,0.257478975024461,0,0,0,0,0,0.158349484601088,0,0,0.0970666215637768,-0.124911003210158,0,0.158922647378064,0,0,0,0,0.0562699432843599,0,0,0,0.0673160749754032,-0.132282257225404,0,0,0,0.0189284276624232,0,0
X002080.SZ,0,0,0,0,0,0,0,-0.0929393044461478,0,0,0,0,0,0,0,0,0.101727335865984,0.038429991033377,0,0,-0.0955339681979427,0,0,0,0,0,0,0.112897427238061,0,0,0,0,0,0.0218514208989743,0,0,0,0,0,0.180222073846745,0,0,0,-0.0998941505459529,-0.0266306025472658,0,0.268388457653921,0,1.38777878078145e-17,0,0,0.160810514410774,-0.126643222080795,0,0,0,0.0473316972403897,0,0
X600027.SH,0,0,0,0,0,0.0710037325257579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278289537651994,0,0,0,0,0.0212465586435406,0,0.0653298363252793,0,0,0,0,0,0,0,0,0.0423115613438029,0,0.0426554181715453,0,0,0,0.0161585196735455,0,0,0,-1.6940658945086e-21,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,-0.0208494568261774,0,0,0.0463993350053814,0,0,0,0.1168135571568,0,0,0,0.0223727843181719,-0.0223321640365567,-0.0609349770254638,0,0,0,0,-0.0840460125193889,0,0,0,0,0,0.18367994610324,-0.201883474672048,0,0,0,0,0,0.179464459678582,0,0,0,0.0332219052072309,0,0,0.054302138009245,0.185930032040616,0,0,0.0711915650804435,0,0,0,0,0.0152036298229384,0,0
X600219.SH,0,0,0,0,0,0.0612439798432663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297178067724097,0,0,0,0,0.0744188648871116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179495358345604,0.0502685512579551,0,0,-0.00237686815762921,0,0,0,0,-0.0136694913062167,0,0
X601992.SH,0,0,0,0,0,0,0,0.0187738025605004,0,0,0,0,0.0415856143247968,0,0,0,0,0,0,0,0.0394708806564972,-0.0698474480466594,0,0.0301965047053614,0,0,0,-0.00540765050861103,0,0,0,0,0,0.0529499743378271,0.0193528652730101,0,0,0.0454852250413964,0,0.0119295494723181,0,0,0,0,0,0,0,0,0,0,0,0.00221063316185614,0,0,0,0,0,0,0
X601168.SH,0,0,0,0,0,0,0.0231352513475177,0.11453755588397,0,0,0,0,0,0,0,0,0,0,0,0,0.0337021618534971,0,0,0,0,0,0,0,0,0,0,0,0,0.0530554285061528,0.0691550556619236,0,0,0,0,0,0,0,0,0,0,0.231227909201885,0,0.0658854470262398,0.239162140258981,0,0,0,0.000151340232613851,0,0,0,0.0014620333873291,0,0
X000932.SZ,0,0,0,0,0,0,0.257461223859209,0.0715551450813709,0,0,0,0.0219505075812859,0,0,0.0885463771127599,0,0,0.083170731945713,0,0,0.0460502260618728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136503395342808,0,0,0,0,0.00862658301677125,0,0.230523587036213,0,0,-0.0137708344277888,0.0315170255383146,0,0,0,0,0,-0.0598147294682259,0,0,0,0,-0.0206304652805398,0,0
