,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X000792.SZ,X600585.SH,X600019.SH,X002466.SZ,X600111.SH,X002271.SZ,X000301.SZ,X000708.SZ,X600660.SH,X600010.SH,X601600.SH,X601898.SH,X600188.SH,X600547.SH,X600362.SH,X600011.SH,X600176.SH,X600426.SH,X600219.SH,X600886.SH,X000786.SZ,X000408.SZ,X600399.SH,X000723.SZ,X600803.SH,X000932.SZ,X000831.SZ,X000959.SZ,X601991.SH,X000825.SZ,X600795.SH,X002080.SZ,X000898.SZ,X000807.SZ,X300037.SZ,X002409.SZ,X600801.SH,X600352.SH,X600489.SH,X002145.SZ,X600808.SH,X000630.SZ,X600486.SH,X601699.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0.0389527828299517,0,0,0,0.0182704217040437,0,0,0,0,0,0.025620053441828,0,0,0,0,0,-0.035887438456589,0.103884096202639,0,0,0,0.123478745604617,0,0,0,0,0,0,-0.0523351059316248,0,0,0,0,0,0,0,0,0,0.127564083793686,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,-0.011285570100844,0,0,0,0.010978709750377,0,0,0,0,0,0.130301354648618,0,0,0,0.094131609274868,0.180869599698589,0,0,0,0,0,0,0.0169950194131895,0,0.0155372370345732,0,0,0,0,0,0.00802595771211047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187501642805261,-0.0847162403137621,0,0,0,0,0,0
X002145.SZ,0,0,0,0,0.11503776040055,0,0,0,0,0,0,0,0.0759280891685708,0.170501552442428,0,0,0,0,0,0,0,0,0.0770114391704579,0,0,0,0,0,0.0350768768193281,0,0,0.0529719177998682,0,0,0,0,0,0,0,0.0960485862586415,0,0,0,0,0,0,0,0,0.00871542421930079,0,0,0,0,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0836951927659309,0,0,0,0,0,0,0,0,0,0,0,0.188105573222158,-0.133146262957874,0,0,0,0,0.311556905304929,0,0,0,-6.93889390390723e-18,0,0,0.483588243840383,0,-0.118652502340926,0.00848223709291522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0859731841316263,0,0,0.0817409762865131,0.046180380129847,0,0,0,0.464876458789655,0,0,0,0,0,0,0,-0.0391037983612059,0,0,0,0,0.00618809472173907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00610276912893356,0,0,0.0576829768161133,0,0,0,0,0,0,0
X600486.SH,0,0,0,0,0,0,0,0,0,0.0569055541504181,0,0.018212153691514,0,0,0.0799023921908929,0,0,0,0,0,-0.00533053286509851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202485649189262,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0674570157866651,0,0,0,0,0.094847055828209,0.588429823852859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650504642897413,0.154708756308175,0,0,0,-0.0754224859523014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0690622995302463,0.00928083720323435,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0.0869631342352992,0.0389382436184266,0,-0.0443173202094554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603306971727978,0,0,0,0,0,0,0,0.185677509467048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367699731349418,0,0,0,0.066647813364552,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455322965098773,0.0065578134657663,0.0490679429005418,0,0,-0.0338646631419388,0,0,0,0,0,0,0,0,0.0845661305894557,0,0,0,0,0,0,0,0.0670649973313118,0,0,-0.00292920784678912,-0.120502252489037,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0.244804249827278,-0.223657447751142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164681396078183,0,0,0,0,0,0,0,0,0,0.282081499338666,0,0,-0.349979259149764,0,0,0,0,0,0,0,-0.101462463316662,0,0,0.779339797743669,0,0,0,0,0,0
TED,0,0,0,0,0,-0.00870247700776176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505605363818273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0588113156843698,0.127895859210028,0,0,0,0,0,0,-0.0238000423271832,0,0,0,0,-0.0453253132510672,0.312024389690074,0,0,0,0,-0.335723475380496,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060289124404472,0,0,-0.0343427965845502,0,0,-1.73472347597681e-18,-0.0443413911523606,0,0,0,0.0405349379970846,-0.0290352591092731,-0.0586665698172165,0,0,0,-0.0439203487854484,0,-0.0431849067228312,0,0,0,0,0,0,0,0,0,-0.0994371519365697,0,0,0.0772430317707092,0,0,-0.00709186734756393,0,0,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111477107658867,-0.0329600352253031,0,1.73472347597681e-18,0,0,0,0.0572183680781309,0,0,0,0,0,0,0,0,0,0,0,-0.0219940204775055,0,0,0,0,0,0,0,-0.02581277221888,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,-0.000161966224710508,0,0,0,0,0.00379309505628483,0,0,0,0,0,0,0,0,0,-0.00196852336881457,0,0,-0.00100752664298614,0.000155621331004731,0,0,0,0,-0.000795581957209832,0,0,0,0.00301438329041561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00410252109527598,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0.00542077471846538,0,0,0,0,0,0,0,0,0.0408401919937676,0,0,0,0,-0.0656890655472534,0.0565469404964126,0,0,0,0,0,0,0,0,0,0,0,-0.00699539261613909,0,0,0,0,0.003836538011342,0,0,0,0.0327932569190193,0,0,-0.111687770159182,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0.000967333295380965,0,-0.00136556084038283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00202387852529533,0,0,-0.000875526522500703,0,0,-0.000724314594561868,0,0,0,0,-0.00627151510795765,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235633796502267,0,0,0,0,0,0,-0.0126149952628591
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00841956379780521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505275075302939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329065545056685,-0.0231727685889768,0,0,0,0,0,0
