,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600010.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X600583.SH,X000898.SZ,X601158.SH,X000709.SZ,X000792.SZ,X600352.SH,X600489.SH,X000883.SZ,X000539.SZ,X600547.SH,X000630.SZ,X000831.SZ,X000629.SZ,X002353.SZ,X000027.SZ,X000825.SZ,X600808.SH,X600549.SH,X600578.SH,X000983.SZ,X601699.SH,X600008.SH,X600863.SH,X600660.SH,X600307.SH,X600315.SH,X600348.SH,X000937.SZ,X600098.SH,X601168.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136179948558387,0,0,0,0,0,0,0,0.0956488477910869,0.0644337083827036,0,0,0,0,0,0.214246276464242,0,0,0,0,0,0,0,0,0.000178028091499629,0,0,-0.0396946896759865,0,0,0,0,0,0
X601168.SH,0,0,0,0,0,0,0,0,0.119587930074485,0,0,0,0,0,0,0,0,0,0.0993238877061342,0.0430773760225011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107446781959065,0.0354385582813087,0,0,0.118203935622247,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00751807809454556,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857159592616433,0.334980692746262,0,-0.0695236843431756,0.272816420874396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636370705386315,0,0,0.154264540969552,0,0,0,0.01134843949998,0,0,0,0.0509015753101707,0,0.00269015468255195,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0383326282658869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319184343012083,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,-0.0887441804684894,0,-0.160123085645279,0,0,0,0,0,-0.817812526282408,0,0,0,0,0,0,0,0,0.604688846383396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615346056013321,0,0,0,0,0,0,0,0,0,0,0,-0.191314897169449,0,0,0,1.60180434504649,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.268433279016855,0,0,0,0,-0.781296453607165,0.213769524687211,0,0,0,0,0,0,-0.00392768110702443,0,0,-0.751397191823946,0.209453551722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.642323827257354,-0.189051697467126,0,-0.431778458270689,0,0,2.72302042092185,0,0
RealEstate_excess,0,0,0,0,0,0,0,0.185309044656948,0,0,0,-0.0665282330062162,0,0,0,-0.61345159194368,0,0,0,0,-0.06580129739464,0,0,0,0,0.0344288941877145,0,0,0,0,0,0,0,0,0.0948161740704069,0.0655646606420196,-0.212252523568938,0.0973049188747301,0,0,0,0,0,0,-0.000623837574349316,0,0,0,0,0.157502058601245,0,-0.0303801686286607,-0.0336198136296893,0,0,0,0,0,0
MKreturn,0,0.056633894842533,0,0,0,0,0,0,0,0,0,0,-0.0802104598352854,0,0,0,-0.0222225222986826,0,0,0,0,-0.0797672441107582,0,0,0,0,8.89043841763133e-05,0,0,0,0,0.109841734094285,-0.0851700038242502,0,-0.0309664481107614,0,0,0,0,0,0,0,0,0,-0.0233407341289082,0,0,0,0,0,0,0.0589389564193381,0.000960498547425278,-0.254876918247651,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,-0.000199851593526395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990133955069178,0,0,0,-0.0166911574330778,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256476088512211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316187712698847,0,0,0,0,0,0,0,0.132130744933746,0.0380685622557763,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0.00900362863654175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143380222040442,0,0,0,0,0,0,0,0.00863074840701389,0,-0.00279716956929183,0,0,0,0,0,0,0,0,0,-0.00581804441232879,0,0,-0.0111590110515883,0,-0.0016919322309092,0.00523007838857364,0,0,0,-0.0246945026227934,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
