,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600583.SH,X601992.SH,X600309.SH,X000539.SZ,X000027.SZ,X000630.SZ,X000709.SZ,X000898.SZ,X000883.SZ,X002470.SZ,X600352.SH,X600021.SH,X600660.SH,X601918.SH,X000792.SZ,X600098.SH,X600623.SH,X600489.SH,X600863.SH,X300072.SZ,X002004.SZ,X600022.SH,X600547.SH,X600578.SH,X600808.SH,X000629.SZ,X600008.SH,X600307.SH,X000060.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600808.SH,0,0,0,0,0,0,0,0.0195099599974561,0,0.0222241955236325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380098964712557,0,0,0,0,0,0,0.120219060650732,0,0.0961423197326814,0,0.0293239498998368,0.00876062216437613,0,0,0,0.0359215473238613,0,0,0,0,0.0232444157225481,0,0,0.350882614930635,0,0,-0.0196506734344452,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,3.46944695195361e-18,0,-6.93889390390723e-18,0,0,0,0,0.03589918961836,0,0,0,0,0,0,0,0,0,0,0,0.0146574392010391,0,0,0,0,0,0.00463261200673669,0,0.20493631979092,0.116883072445538,0,0,0,0,0.164764811762225,0,0.0818912475552156,0.155079770017584,0,0,0.0252529159820042,0,0,0,-0.0173627566050125,0,0,0,0,0,0,0
X600008.SH,0,0,0,0,0,0,0,0.104243564913917,0,0,0,0,0,0,0,0,0,0.116476776895282,0,0,0,0,0,0.127303964994613,0,0,0,0,0,0,0.0820367600929161,0,0,0,0,0.170915993221702,0,0,0,0,0,0,0,0,0,0,0,0.198390808816805,0,0,-0.00219210070488008,0,0,0,0,0,0,0
X600307.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289196982319926,0,0.0403044215354284,0,0.152518054490484,0.241809380917992,0,0,0,0,0.325238133167346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874672981335585,0,0,0,0.0919080628319123,0.172455086809433,0,0,0,0,0.0699258038818983,0,0,0,0,0.0119843067464898,0.287907394860032,0,0,0,0,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151962684081097,0,0,0,0,0,0,0,0,0,0,0,-0.00788278389153578,0,0,0,0,0,0,0.0164960699249357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604627808120488,0,0,0.213683114253351,-0.128464216225029,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179470109992733,0,0,0,0.0302127341506441,0,0,0.090563590299552,0,0,0,0.053324421008442,0,0,-0.0123402079305949,0,0,-0.1205358530659,0,0,0.00489797476209647,0,0,0,0,0,0,0,0,0,0,0,-0.0188543031999804,-0.0795172074974042,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,-0.0937957768220331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.274531655096633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479658207120801,0,0,1.63858534853776,0,-0.24472033383643,0,7.4940231944682,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716682550301832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792233063192619,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,-0.1053360132071,0,0,0,0.059255007901954,-0.0971747780277672,0,0,0,0,0,0,-0.0754671726304089,0,0,0.191021401119781,0,0,0,0,0,0,0,0,-0.00337424899397907,0,0,0,0,0,0,0,-0.0456285071268128,0,0,0,0,0,0,0,0.0515994617754783,0.0784592737228232,0,0.203412384267854,0,0,0,0
MKreturn,0.312518006424479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184032751585588,0,0,0.100980910317753,0,0,0,0,0,0,0,-0.0143385315533202,0,0,0,0,0,0,0,-0.39633543633987,0,0,0,0,0,3.76269380252372e-05,0,0,0.0608402677373772,0.0659094811710688,0,-0.0373527168300426,0,0.217632505211713,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0044382816119872,0,0,0,0,-0.00171490483443111,0,0,0.00483190988216077,0,0,0,0,0,0,0,0,0,0,0,0,-0.0049173995032659,0.01183726344078,0,0.000348061381046674,0,0,0,0,0,0,0,0,0,0,0.00648319055832794,0.00267193217933751,0,-0.00180946025879126,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0.00930882255737801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00349641461499959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128865820952738,0,0,0.0501261733377055,-0.0193027035343672,-0.0102166719258544,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166745607258598,0,0,0,0,0,0,0
CarbonVol_Hubei,0,0.0060118889052245,0,0,0,0,0,0,0,0,-0.000265528892073001,0,0,-0.00244989876467593,0,0,0,0,0,-0.0156843257885782,0,0,0.0282139075246459,0,-0.0010534199959962,-0.0133310715871605,0,0,-0.0120177544355991,0,0,0,-0.00681985987693309,0,0,0,0.0112909465009704,0,0,0,0,0,0,0.00447432443429383,0,0,0,0,0,0.0120106614659726,-0.0129281123006174,0,-0.000916663357214372,0,0,0,0,0
