,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X002271.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600612.SH,X600021.SH,X000539.SZ,X600157.SH,X000630.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600612.SH,0,0,0,0,0,0,0,0,0.2167508087186,0,0,0,0.0486894383097597,0,0,0,0,0,0.0992647866689689,0,0,0,0,0.0743525441277868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390094327290768,0.161326218462203,-0.0137204483480926,0,0,0,0.0110365655728933,-0.0143808427335881,0,0,0,-0.106919090161267,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00559820133215871,0,0,0,0,0,0,0,0,0,0.0199032402699264,0,0,0,0,0,0.221662685147275,0,0,0,0,0,0,0,0,0,0,0,0.0597342091995787,0,0,0,0,0,0.152611115590502,0,0,0,-0.241591193060036,0.0112887971176391,-0.0174110389223254,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0.015096025081095,0,0,-0.0113759605442116,0,0,0,0,0,0,0,0,0,0,0,0.145273605103495,0,0.0149449557284264,0.141656865724291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164230989136315,0,0,0,0,0,0,0,0.10099857198627,0,-0.0585876392715968,0,0,-0.0311970896558097,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127569012208532,0,0,0,0,-0.235249520582311,0.311871916186651,0
X000630.SZ,0,0,0,0,0,0,0.0238892689454262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128020131013086,0,0.02284164003518,0,0.0444639622081488,0,0,0.0416608690595262,0,0,0,0,0,0,0,0,0,0,0.0212095621460022,0,0,0,0,0,0,0,0.113076598151047,0,0,-0.004994921211372,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0.134073683404783,0,0,0,0,0,0,0.0856692564897353,0,0,0.0848663635451057,0,0,0,0,0.059150138665721,0.129521886821588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118119350797532,0,0,0,0,0,0,0,0,0,0,-0.00545997094723223,0.0458688486449358,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112650656517899,0,0,0,0.195489333943576,0,0,0,0,0,0,0,-0.0878895912809249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222587212466826,0,0,0,0,-0.120802765898911,0,-0.0467826487578422,0,0,0,0.0189262230988272,-0.130380275202603,0,-0.046665341102566,0,-0.0348766727854584,0,0
Slope,0,0.413826442984113,0,0,0,0,0,0,-0.810289544027649,0,0,0,0,0,0,-0.784259496442952,0,0,0,0,0.569707899731632,0,-0.223277324568894,-0.503949296165151,0,0,0,0,0,-0.0882991122968527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13391521138425,0,0,0.655199660058009,0,0.770856625217702,0.102406035360152,0,0,-2.32236915167221,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745077109040813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40126324311754,-0.632868366652882,0,0,0,0,0.185472140763943,0,0,-0.254054302025993,0.412542953712431,0,0,0,0,0.653205973536114,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288431968930942,0,0,0,0,0,-0.0498968015834519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511943641273643,0.0832992370426864,0.0788344012597159,0,0,-0.0750690455035783,0,0,0,0,0,0.0189343402149351,0.00402551477379161,0,0.00485065094858367,0,0.0725681068123924,0,0
MKreturn,0,0,0,0,0,0,0,-0.0756106429491703,0,0,0,0,0,0,0,0,0,0,0,0,-0.0814638058354175,0,0,0,0,0,0,0,0,0,-0.0576204543888537,0,0,0,0,-0.122738630553336,0,0,0,0,0,0,0.0620184586229035,0.131828095156229,0,-0.0334007209199217,0,0.0471403602913376,0,0,0,0.0140246890738509,-0.00159307695310995,0,0,0,0.0653869913631647,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00734008474651683,0,0,0,0,0,0,0,0,-0.0111517426475302,0.0418597863445247,0
CarbonVol_Shenzhen,0,0,0,0,0,0,-0.0144300015449025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252805895509609,0,0,0,0,0,-0.332360877629535,0,0,-0.221068691468124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.436905401972484,0,0.1018120295231,0,0,0,-0.037785064296941,-0.224877757091198,0,0,0,0,0,-1.7218030635808,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220822370093765,0.0262811587736681,0,0,0,0.00436309370714676,0.0228275028203686,0,0,0,-0.274433128628374,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0.0122764464146998,0,0,0,0,0,0,0,0,0,0,0,0,0.00523549571513379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000757503409488373,0.00262622764122076,0,0,0,0.0506556395950733,0,0
