,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X600801.SH,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X000786.SZ,X002271.SZ,X600111.SH,X600027.SH,X601992.SH,X002460.SZ,X002466.SZ,X000723.SZ,X600176.SH,X002353.SZ,X600516.SH,X600583.SH,X000898.SZ,X600299.SH,X600489.SH,X600426.SH,X000709.SZ,X601158.SH,X000883.SZ,X600219.SH,X600612.SH,X000792.SZ,X000629.SZ,X000553.SZ,X000027.SZ,X000825.SZ,X000630.SZ,X600808.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600808.SH,0,0,0,0,0,0,0,0,0,0.0256254771560981,0.123518683484488,0,0,0,0,0.00440315879486255,0,0,0,0,0,0,0,0,0,0,0.00554613999275157,0,0.091286483272128,0,0,0.136915356729888,0,0,0,0,0,0,0,0,0,-0.0972184252660726,-0.00851912451365329,0,0,0,0,0,0,0,0.0485901826666741,-0.0026518572012863,0.022973694710924,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714377567339782,0,0,0,0,0,0.121074390905434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402759049990151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106814810481506,0,0,0,0,0,0,0,0,0,-0.00267563830596356,0,0,0,0,0,0
Slope,-0.118683913846622,0,0,0,0,0,0,-0.516874944335769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294971385901194,-0.344725666751767,0,0,0,0,0.0978918883165612,0,0,0,0,-0.0620747549998276,0,0,0,0,0,0,0,0.254495410844873,0,0,0,0,0,0,0,0,0,0,0.228138661353478,0,0,0,0,0,-3.28911884023474
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548475507866637,0,0,0,0,-0.155805787494146,0,0
RealEstate_excess,0,0,0,0.0026647103682815,0,0,0.0517534097816285,0,0,0,0,0,0,-0.0355607183539009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516072626570039,-0.0619724001867355,0,-0.0231075940888363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381873104079551,-0.0076419006724909,0.00238707596735977,0,0,0,-0.0281973635057878,0,0
MKreturn,0,0,0,0,0,0,0,0,0.0194407441467937,0,0,-0.102603778972903,0,0,0,-0.00160902221630661,0,0,0,0.0477506295211593,0,0,0,0,0,0,0,0.0736259471956259,0.0130074136307002,0,-0.0485579001976068,0,0,0,-0.134888821928773,1.0842021724855e-19,0.075550015240892,0,0,0,0,0,0.0256908121136536,0,0,0,0,0,0,0,-0.0460831784026326,0,0,0,0,0,2.16840434497101e-19,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00419747756601835,0,0,0,0,0,0,0,0,0.000251401646370209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000155690404388808,-0.00535683001356572,0,0,0,0.00296976452274296,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,-0.114892612991855,0,0.15701118248084,0,0,0,0,0,0,0,0,0,0,-0.0537262839022851,-0.0622786868543389,0,0,0,-6.93889390390723e-18,0,0.236206974940855,-0.206557948910128,0,0,-0.127116682244586,0.129928691026241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21776903271214,-0.182866381128164,-0.437960155959214,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0020344044708341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411039810916415,0,0,0,0,-0.0276928296619955,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022950089796536,0,0,0,0,0.0467465402842016,0,0
