,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600188.SH,X600362.SH,X601992.SH,X002466.SZ,X000898.SZ,X600176.SH,X600111.SH,X600516.SH,X002460.SZ,X000709.SZ,X600299.SH,X600352.SH,X600489.SH,X600808.SH,X601158.SH,X000629.SZ,X600801.SH,X600219.SH,X000786.SZ,X300072.SZ,X000825.SZ,X000883.SZ,X000553.SZ,X600583.SH,X000539.SZ,X000408.SZ,X000792.SZ,X601699.SH,X000301.SZ,X600339.SH,X002271.SZ,X600612.SH,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300072.SZ,0,0,0,0,0,0,0.0614255241429721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280067660832463,0,0,0,0,0,0,0.210809430115456,0.313122943843738,0,0,0,0,0,0.0264187481591595,0,0,0,0,0,0,0,0,0.132302018308775,0,0,-0.0170509024915723,-0.154682841068532,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0.143937892311817,0,0,0,0,0,0,0,0,0,0,0,0,0.154003547748833,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0207417923530778,0,0,0,0.0719016899722536,0,0,0,0,0,0.0833794391934003,0,0.219653679257877,0,0,0,0,0,0,-0.0157272463990917,-0.0240249865350956,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0.0810097957078636,0,0,0,0,0,0,0,0,0,0.0785214391111485,0,0.0412722171099379,1.73472347597681e-18,0,0,0,0.016759003424953,0.0689363064982997,0,0,0,0,0,0,0,0,0,0,0.000274678560193153,0,0,0.0397517076534103,0,0.0696783749303192,0,0.0721283904443786,0,0.0507221968105017,0,0,0,0,0,0,-0.0504040672102114,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131744385592786,0,0,0,0,0,0,0,0,0,0,0.249881276517693,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.182766832617228,0,0,0,0.147257089199824,0,-0.0152269215974714,-0.0463789056305583,0,0,0,0,0,0
X600583.SH,0.530486192978496,0,0,0,0,0.0794468379476882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272572391834112,0,0,0.0349242865743393,0,0,0,0,0,0,0,0.0191059679497168,0,0,0,0,0,0.0445365510141314,0,0,0,0.359263524542435,0,0.0498524296462611,0,0,-0.0109835215992128,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0.00236634059691033,0,0,0,0,0,0,0,0,0,0,0,0,0.160554670623665,0,0,0.049656291643278,0,0.226538875483133,0,0,0,0,0,0,0,0,0,0,0,0.0676005903518301,0,0,0.206354035520317,0,0,0,0,0,0,0,0,0,0,0,0.000566872066858434,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256654779450308,0,0,0,0,0.0378931656397506,0,0,0,0,0,0.0784802822705688,0,0,0.100158502830886,0,0,0,0,0,0,0,0.20288307874052,0,0,0,0,0,0,0.0523296332615883,0,0,0.0464282285170025,0,0,0,0,-0.00432750308971368,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143486898988666,0,0,0,0,0,0,0.259425714941226,0.0354413620840898,0,0,0,0,0,0,0,0,0,0,0.226189929942552,0,0,0.134451764487053,0,0,0,0,0,0.000766304631233186,0,0,0,0,-0.0732382060792376,0.00688730218021429,-0.0854024022667389,0,0,0,0,0,0
X601699.SH,0.0385198428910904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425439638485743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226708014548383,0,0,0,0,0,0,0,0,0,0,0.0215170820502113,0,0,0,0,0,0,0,-0.00797778677105979,-0.0287003476673846,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484569757640927,0.205702137357373,0,0,0.0868607161292646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949400889512498,0,0,0.0797707537162236,0,0,0,0,-0.00794460073161045,-0.0106318581219307,0,0,0,0,0,0
