,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X600688.SH,X600795.SH,X600188.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600660.SH,X600309.SH,X600489.SH,X000723.SZ,X600623.SH,X000792.SZ,X600299.SH,X002466.SZ,X601158.SH,X000898.SZ,X000959.SZ,X002075.SZ,X000983.SZ,X000709.SZ,X000408.SZ,X600583.SH,X000883.SZ,X000937.SZ,X000630.SZ,X601699.SH,X600352.SH,X600549.SH,X000012.SZ,X000539.SZ,X000060.SZ,X000027.SZ,X600176.SH,X002092.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0,0,0,0,0,0.00257811511165691,-0.0267168798313145,0.0874299316214874,0,0,0,0.0276507258655432,0,0,0,0,0,0,0,0.0944140555380777,0,0,0,0,0,0,0,0,0.00746956667305189,0,0,0,0,0.0194252691651337,0,0,0,0.0975545851430068,0.0523740433742037,0,0.130692680370216,0,0,0,0,0.0297601702302096,0,0,0,-0.00967694762670341,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128035562985333,0,0,0,0,0,0,0,0,0,-0.0302774849916446,0,0,0,0,0,0,0,0.0727466722511368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189888696300492,0,0,0,0,-0.00821590835817743,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.320168398871953,0,0,0,0.0870732553547329,0,0,0,0,0,0,0,0,0,0.0271056773929288,0.0466155431812975,0.115794236250118,0,0,0,-0.277311650415456,0.0870621605557848,0,0,0,0,0,0,-0.0419281737294788,0,0,0,0,0,0,0,0,0,0,0,0,0.0277588547864274,0.0765254416094923,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,-0.0325347435192871,0.835201287373976,0,0.0484396930903863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389130671112361,0,-0.0491084544363965,0.178016066960506,0.035052153939372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00548237640044576,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0.0427625381860408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160382943142617,0,0,0,0,0.041921872432461,0.0880558201043736,0,0,0.0958688646684343,-0.100291408905753,0,0,0,0,0,0,0,0,0,0.0552604523090146,0,0,0,-0.299150627088448,0,-0.0228836969025793,0,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213504098443599,0,0,0,0,0,0,0,0,0.100215007534839,0,0.335938769894702,0,0.0997205818028823,0,-0.187971380315499,-0.0669810467813574,0,-0.113393594575109,0,0,0,0,-0.0216539190524099,0,0,0,0,0,0,0,0,0,0.101637858565231,-0.073292601723552,0,0,-0.0152472501288866,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.0237408232964957,0,0,0.133363830591224,0,0.100442276171964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112785050740219,0,0,0,0,0,0,0,0,0,0,0,0.20203835924984,0.0153486898865586,0,0,0,0,0,0,0,0.0112746384487202,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.258630788428331,0,0,0,0,0,0,0,0.00496527551492996,0,0,0,0.0879597843363931,0,0,0,0,0,0,0,0.161275318605971,0,0,0,0,-0.00018791455132943,0,0,0,0,0,0,0,0,0,0,0.11216803085235,0,0,0,0,0,0,0,0,-0.0977808698381872,0.0279400962496537,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,-0.0320903647939822,0,0,0,0.0997548990631153,-0.0324702483025636,0,0,0,0,0,0,0,0,0,0.176269800271467,0.0727268895454643,0,0,0,0,0,0.0606887878676666,0,0.0276739967092162,0,0,0,0,0.0348986452446997,0,0,0,0,0.0570749890649511,0,0.121699681401795,0,0,0,0,0,0,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0.0211159036589906,0,0,0,0,0,0.0881097394405218,0,0,0,0,0,0,0.065898052489072,0.0179418360754559,0.0563993788820547,0.0624026801272326,0,0,0,0,0,0,0.00771158856550152,0,0,0,0,0,0,0,0,0,0,0,0.0405904590748183,0,0,0,0.247332797359385,0.0533397553567603,0,0,0,0,0,0,0,0,0,0
