,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X600688.SH,X601898.SH,X600795.SH,X601991.SH,X601600.SH,X600309.SH,X300072.SZ,X600660.SH,X600547.SH,X600362.SH,X600886.SH,X600188.SH,X600027.SH,X000709.SZ,X600339.SH,X002466.SZ,X600157.SH,X600111.SH,X000898.SZ,X601158.SH,X000959.SZ,X600489.SH,X600008.SH,X600299.SH,X002460.SZ,X000883.SZ,X600352.SH,X600219.SH,X600583.SH,X600176.SH,X002271.SZ,X600578.SH,X000723.SZ,X000630.SZ,X000539.SZ,X000408.SZ,X600021.SH,X000027.SZ,X000792.SZ,X600808.SH,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0.049769870172018,0,0,0,0,0,0.0514954965727339,0,0.103106109115107,0,0,0.118503460025115,0,0,0,0,0,0,0,0,0,0.0665279951999915,0,0,0,0.0210182114764056,0,0,0,0,0,0,0,0,0.0436661461715139,0,0,0,0,-0.0255149260287593,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0.0058410206984152,0,0,0,0.112092929536072,0,0,0,0.0484210271366696,0,0,0,0,0,0.0426998836692196,0,0,0,0,0,0,0,0,0,0,0.114110113382167,0.0329938287169163,0,0,0,0,0,0,0,0,0,0,0,0.133498082653643,0,0,0,0,0,0.0122983348125549,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171489521684337,0,0,0,0.00150365960836529,0,0,0.31879063593791,0,0,0,0,0,0,0,0.111445262131194,0,0,0,0,0,0.0953280842790925,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00305756086416938,0.0865185049883108,0,0,0,0,0,0
X600021.SH,0.111284171449583,0,0,0,0.0692304931097612,0,0,0,0,0,0,0.0167153806224952,0,0,0,0,0,0.0257713975068666,0,0,0.22629466642622,0,0,0.0170185395407985,0,0,0,0,0,0,0.0383043436964184,0,0,0,0,0,0.00788775208375422,0,0,0,0,0,0.0486719430945141,0,0,0,0,0,-0.168945312334751,0,-0.00932519489516661,-0.0177043738135227,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00797893178819787,0.0336757489491031,0,0,0,0,0,0,0.067309320835831,0,0,0,0,0,0,0,0,0,0,0.0143987631775358,0,0,0,0.223505780802605,0,0,-0.112678260777626,0,0,0,0.21273081102954,0,0,0,0,0.0677396908597515,0,0.0127089408486989,0.0168113852358308,0,0,0,0,0,0
X000792.SZ,0,0,0,0.0303589301751939,0,0,0,0,0,0,0,0.00825983816597237,0,0.0228797416300577,-0.0854416496233607,0,0,0,0,0.275623332500289,0,0.0482530578916736,0,-0.0424490962005648,0,0,0.0165211619440054,0,0,0.103449123091013,0,0,0,0,0,0,0,0,0,0.0401793228958301,0,0,0,0,0,0,0,0,0,0,0.00232178255620919,0.0352705002061556,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662974787997525,0,0,0.101665051273227,0.0879299567855415,0,0,0.260349156398031,0,0,0,-0.0333286829334471,0,0,0,0,0,0,0.0323040154509535,0.128475152042372,0.031695217005987,0,0,0,0,0,0,0,0,0,0,-0.0141799836413821,-0.0104083265145039,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0,0,0,0,0,0,0.00146563208371348,0,0,0,0,0.360243500278399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100115799736716,0,0.231109382253155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00893976515244478,0.0151633262157086,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873730619928164,0,0,0,0.00397335017718552,0,0,0,0,0,0,0.0308356529549218,0,-0.0133932234159345,0,0.00196519263235091,0,0,0,-0.0485324510473494,0.00319146554660791,0,0,0,0,0,0,0,0,0,0,0,0,0.00449476187867353,-0.00994745894168297,0,0,0,0,0,0
