,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600660.SH,X600547.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X600010.SH,X601699.SH,X000708.SZ,X600426.SH,X600362.SH,X000301.SZ,X000877.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X002271.SZ,X601991.SH,X600160.SH,X600985.SH,X600176.SH,X000807.SZ,X000408.SZ,X000630.SZ,X000786.SZ,X000932.SZ,X600612.SH,X300037.SZ,X000933.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X600688.SH,X000629.SZ,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000932.SZ,0,0,0,0,0,0.347383854799974,0,0,0,0,0,0,0.0868836233424633,0,0,0,0.11457708080423,0,0,0.03259009003028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160052773397299,0,0,0,0,0,0,0,0,0,0,-0.0740011630856225,0,0.0241587193356,0,0,0,0,0,0
X600612.SH,0,0,0,0,0,-0.172995523535469,0,0,0,0,0,0,0,0,0,0,0.136536465706864,0,0,0,0,0,0,0.203117500097056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130204541457413,0,0,0,0,0,0,0,0,0.12619353294264,0,0,0.182140370642341,0,-0.00562310069700612,0,0,0,0.0879101838075259,0,0
X300037.SZ,-0.0715379456874217,0,-0.0450530115262923,0,-0.178568252625489,0,0,0,0,0,0,0,0,0,0,0.0979295383802821,0,0,0,0,0,0,0,0,0,0,0,0.0462983193298118,0,0,0,0,0,0,0,0,0,-0.0493260960362683,0,0,0,-0.00549939844027458,0,0,0,0,0,0,0,0,0,-0.0226139937622977,0,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0.271252880917419,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381311366522536,0,0,0,0.0935188531426677,0,0,0,0.122214510921368,0,0,0,0,0,0,0,-0.213634186313756,0.526182884917112,0,0,0,0,0,0,0,0,0,0,0,0,-0.00636884125802173,0,0,0,0.0184385623059091,-0.0278086167529812,0,0,0,0,0,0
X600219.SH,0,0,0,0.0279686462849539,0,0,0,0,0,0,0,0,0.105273648902598,0,0.115190770983385,0,0,0,0,0,0,0,0.194751500442192,0,0,0.103456890118155,0,0,0,0,0,0,0,0,0,0.00339466618255691,0,0,0.0133311520225395,0,0,0,0,0,0.122139707911425,-3.46944695195361e-18,0,0,0,0,0,0.00817545796831575,0,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0.0258462342529678,0,0.0856856304521285,0,0,0,0,0,0,0,0,0,0,0,0,0.046160129953404,0,0,0,0,0,0.033725629665857,0,0,0,0,0,0,0.0405353264701977,0,0,0,0,0,0.0652280871188904,0,0,0,0,0,0,0.0147165915356164,0,0,0,0,0,-0.00919063514906437,-0.00405349172903712,0,0,0,0,0,0
X600995.SH,0.076658102898046,0,0,0,0,0,0,0,0,0,0,0,0,0.0478738611893264,0,0,0,0.166828885335528,0.0693202589012007,0,0,0,0,0,0,0,0,0.0680368114848333,0,0,0,0.0215141265084354,0,0,0,0,0,0,0,0.0547736438059574,0,0,0,0,0,0,0,0,0,0.0653713427998536,0,0,0,0,0,0,0.0492589466585308,0,0
X600348.SH,0,0,0,0,0.0994399369179975,0,0,0,0,0,0,0,0,0.0131378530318981,0,0,0,0,0,0,0,0,0,0,0,0.351500773178909,0,0,0,0,0,0.168828582986373,0,0,0.0329237622463361,0,0,0,0,0,0,0,0,0,0,0,0,0.060607658063841,0,0.0384307236897724,0,0.000775360626948123,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0.0825874637530533,0,0,0,0,0,0,0,0.0560521961763303,0,0.0611591263863172,0.0355797706471727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080639322530706,0,0,0,0,0,0,0,0.147431476991926,0.0687394009194165,0,0,0,0,0,0,0,0,0,0.159382146175103,0,-0.00262812108189532,-0.0154000427958771,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.153925662664284,0.157669292234969,0,0,0,0.133436831843169,0,0,0,0,0.187528169377555,0,0,0,0,0,0,0.010593335333595,0,0,0,0.00386931167728716,0,0,0,0,0,0.0999698386727551,0,0,0,0,0,0,0,0,0,0,0.0273273683087628,0.0110405425621764,-0.0169093379463302,0,0,0,0,0,0
