,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X002460.SZ,X600362.SH,X000301.SZ,X002466.SZ,X600489.SH,X600160.SH,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X000807.SZ,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X600176.SH,X000877.SZ,X002128.SZ,X601699.SH,X000630.SZ,X000408.SZ,X601168.SH,X600985.SH,X600096.SH,X000933.SZ,X600157.SH,X002353.SZ,X600352.SH,X600378.SH,X000831.SZ,X600995.SH,X002271.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000831.SZ,0,0,0,0,0,0,0,0,0,0.00638598132288019,0,0,0,0,0,0.703526588550223,0,0.0348806461583395,0,-0.0112013224140204,0.0245411072279143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224927302493656,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0991712095846417,0,0.0248821828299281,0,0,0.0450510071802665,0,0
X600995.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959583819888636,0.0646427517704125,0,0,0.0976002317695792,0,0,0.493915095373157,0,0,0,0,0,0,0.0368805665304847,0,0,0,0,0,0,0,0,0,0,0,0.0337761816875754,0,0,0,0,0,0,0,0,0,0,-0.0151949883747635,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109435518101887,0,0.171434056909403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346401516413175,0,0,0,0,0,0,0,0,0.0986376502546866,0,0,0,0,0,0,0,0,-0.125152781755,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0.00569450429516268,0,0,0,0,0,0,0,0,0.106240197086948,0,0,0,0,0,0,0,0,0.145677367078338,0,0,0,0,0,0,0,0,0.0245514958932847,0.0941581249765915,0,0,0.0960364787287949,0,0,0,0,0.00273815508901433,0.0301260660481266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,-0.0215114985959551,0,0,0,0,0,0,0,0,0,0,-0.0127497479953762,0,0,0,0,-0.0214167158813785,0,0,0,0,0,0,0,0,0,0,0,0,0.0195223770526767,0,0,0,0,0,0,0,0.0627349463556905,0.0188195550318666,9.69287339508541e-06,0,-0.0834734861837937,0,0.0501942688892218,0,0,0,0,0,0,0,0,-0.0278024508620021,0,0
Slope,0,0,0,0,0,0,-0.233660231606766,0,0,0,0,0,0,0,0,0,0,0.132073378204479,0,0,0,-0.0877472112534075,0,0,0,-0.439384732954951,0,0,0,0,0,0,0,0,0,0,-0.00580218375083517,0,0,-0.181039633755263,0,-0.139500948467278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931327598631538,0,0
TED,0,0,0,0,0,0,0,0,0,0.133401378506137,0,0,0,-0.0291508262977749,0,0,0,0,0,0,0,0.188321738112344,0,0,0,0,0,0,0,0,0,0,0,0.0432140300354316,0,0,0,0,0,-0.16227254674555,0,0,0,0,0,0.0744007959582641,0,-0.147152341061774,0,0,0,0.410592799312573,0,-0.139320131057974,0.23228030692242,0,-0.268650895305616,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154828050643751,0,0,0,-0.118032533309758,0,0,0,0,0,0,0,0,0,0,0,0.22282785249804,0,0,0,0,0,0,0,0,-0.0919544020931479,0,0,-0.125842146103224,0.158376391078302,0,0,0,0,0,0,0,0.199335319119223,0,-0.0242909487085135,0,0
MKreturn,0,-0.207407744595766,-0.0494092772865356,0,0,0,0,0,0,-0.0988529716227008,0,0,0,0,0,0,0,0,0,0.0152611092424704,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0901881101250532,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0638906088411622,0,0,0,0,0,0,0,-0.0544064408298823,0.0548378733837518,0.176778160132738,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0531711920343152,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064929676803469,0,0.00324763694115915,0.0053477487952224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120373863329162,2.71050543121376e-20,0,0.0117479383646222,0,0,0,0,0,0,0.060340416172786,0,0,0,-0.046441302414135,0,0
