,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600547.SH,X600011.SH,X600886.SH,X000792.SZ,X600795.SH,X600010.SH,X600111.SH,X600362.SH,X600489.SH,X002460.SZ,X000708.SZ,X600027.SH,X002466.SZ,X600803.SH,X600160.SH,X601991.SH,X000786.SZ,X000301.SZ,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X000408.SZ,X600176.SH,X002128.SZ,X601699.SH,X000877.SZ,X000630.SZ,X600096.SH,X601168.SH,X600985.SH,X000933.SZ,X600378.SH,X002271.SZ,X600995.SH,X002353.SZ,X600352.SH,X000883.SZ,X000932.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000932.SZ,0,0,0,0,0,0,0,0.0639676516096708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.364679019325739,0,0,0,0,0,0,0,0,0.21554678842346,0,0,0,0.062111897178564,0.00182199866106118,0,0,0,0,0,0,0,0.0744641428349547,0,0,0,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0,0,0,0,0.0833745433866681,0,0,0,0,0,0,0.351761429205097,0,0,0.194030446286983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299986748115279,0.0482680333511902,0,0,0,0,0,0.0814175314575735,0,0,0,0,0.103794203369815,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,-0.0606245671882674,0,0.0121277476734584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0882581772602791,-0.0875105326295151,0,0,0,0,0,0,0,0,0,0,0.0370346560746791,0,0,0,0,0,0,0,0.00851557957763569,0,0,0,0,0,0,0.0778472482799978,0,0,-0.0397206706344462,0,0,0,0,-0.0165026049903918,0,0
Slope,0,0,0,0,0,-0.235693064374707,0,0,0,0,0,0,0,0,0,0,0,0,-0.039383800881879,0,0,-0.139338759214866,0,0,0,0,-0.22663010481784,-0.213991022072974,0,0,-0.306828791749806,0,0,0,0,-0.0776115777078031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.273824741757532,0,0.374149292559842,0,0,0,-0.142648143152178,0,0
TED,-0.149624765406664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573692404966007,0,0,0,0.130499754648445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889225713955351,0,0,0,0,0,0,0,-0.461382253556573,0.536992186922211,0,0.343967784579068,0,0,-0.315463195512889,0,0
RealEstate_excess,0,0,0,0.202163081735892,0.158847182658578,0.14726571995492,0,0,0,0,0,0,0,0,0,0,0,0,-0.310941211275545,0,0,0,0,0,0,0,-0.103216397724697,-0.379146239083158,0,0,0,0,0,0,0,0,0.0813899891911869,0,0,0,0,0,-0.179578522527936,0.228807950838418,0.166982914735493,0,0,0.0695246637366096,0,0,0,-0.0182823251901738,0,0,0.416020064556766,0,-0.0348428376965972,0,0
MKreturn,0,0,0,0,0,-0.0714475984989888,0,0,0,-0.0113783493052157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312466213997714,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00432983834584616,-0.169541251055636,0,-0.0125080567874021,0,0.0637219915097815,0,0,0,0,0,-0.03393423575172,0,0.0482386856643997,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000975172339081891,0,0,0,-0.0530704393931367,0,0
CarbonVol_Shenzhen,0,0,0,0,0.29181310844329,0,0.133698848648636,0,0,0.829646816680522,0,0,0,0,0,0,0,0,-0.0360987609177465,0,0,-0.269998885694439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32138255915686,0,0,0,0,-1.91206531930704,0
CarbonVol_Guangdong,0,0,0,0,0,0,0.00910340345458977,0.066573586672338,0,0,0,0.0104387724423505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228889773778479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397443358418976,-0.0337391358346162,0,0,0,-0.146355043668522,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000712136871228819,0,0,0,0.00270737543321519,0,0
