,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600660.SH,X600547.SH,X002466.SZ,X601600.SH,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X000301.SZ,X600010.SH,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X600176.SH,X000933.SZ,X000932.SZ,X600348.SH,X600612.SH,X600219.SH,X601168.SH,X002128.SZ,X300037.SZ,X600157.SH,X000027.SZ,X600688.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600660.SH,0.132685756607208,0,0,0,0,0,0,0,0,0,0,0.0722555912419088,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,-0.0459082565376358,0,-0.106469179383658,0,0,0,0,-0.100038171803633,0.0946673295392202,0,0.0864367972573929,-0.0724582589740943,0,0,0.0194796164017974,0,0,0,0,0,0.010076961114318,0,0,0,0,0,0.00785812653777673,-0.0057057883148419,0.0813096625213834,0,0,0,0,0
X600547.SH,0.0581988745244193,0,0,0,0,0,0,0,0,0,0,0,0,0.0197292397007481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394190802493808,0,0.508625928952087,0.0049150621043222,0,0,0,0,0,0,0,0.123235153035619,0,0,0,0.0307967244411215,0,0,0,0,0,0,-0.0379469664568667,-0.00101584090322569,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612764217584325,0,0,0,0.00323333244763552,0,0,0,0,0,0,0,0,0,0,0.0646217173236938,0.0876508037457781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100440916165983,0,0,0,0,0,0
X601600.SH,0,0,0,0.0890991721240041,0,0,0,0.340674150392005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00856433300293167,0,0,0,0.246003751488178,0.187215150055736,0,0.0736031715322698,0,0,0,0,0.0576433415408849,0,0,0,0,0,0,0,-0.0224259912707469,0.0189431526816989,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0139028413227984,0,0,0,0,0,0,0,0.137501663625236,0,0,0,0,0,0,0,0,0.384334469794238,0,0,0,0,0,0,0,0,0,0.144589722862191,0,0,0,0,0,0,0,0.00754542390702915,0,0,0,0,0,0,0,0,0,0,0,0.018006792336928,-0.0216488657598954,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.596481876685359,0,0,0,0,0,0.0532690236545709,0,0.174308421162734,0,0,0,0,0,0,0.0404231482018335,0,0,0,0.0446089330255061,-0.166356906176497,0.0545541630681012,0.0360677826299773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170770942720353,0.00701315647868669,0,0,0,0,0,0
X600795.SH,0,0.10972391145153,0,0,0.1066154254529,0.0848904338712327,0,0,0,0.212579540961966,0,0,0,0,0,0,0,0.000875658240212823,0,0,0,0,0,0,0.13076791060599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14749508906379,0,0,0,0,0,0,0,0,0,-0.00724979013124317,0,0,0,0,0,0,0
X601699.SH,0,0.156871257515604,0,0,0.341373298447816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598912156513013,0,0,0,0,0,0,0,0,0.301735599180946,0,0,0,0,0,0,0,0,0.0775372873482424,0,0,0,0,0,0,0,-0.154983850156006,0.016429423695478,0,-0.00225304655810962,0,0,0,0.0681132211936461,0,0
X000708.SZ,0.12861979613555,0,0,0,0,0,0.178392817787734,0,0,0,0,0,-0.0321943648292142,3.46944695195361e-18,0,0,0,0,0,0.108610227925638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201879627455175,0,0,0.186001124256109,0,0.0252661024644214,0,0,0,0,0,0.0995356850148611,0,0,0,-0.0361685599449916,0.0454696805118374,0,0,0,0,0,0
X000301.SZ,0,0,0,0.117104210258701,-0.0480445750082369,0,0,0,0,0,0,0,0.121466012001301,0,0,0,0,0,0,0,0.0597655478633424,0,0,0,0,0,0,0,0,0,0.055014736418365,0,0,0,0,0,0.0345407185776589,0,0,0,0,0,0,0,0,0.129092946153975,0,0,0,0,0,0.0335104673262267,-0.0164154533364936,0,0,0,0,0,0
