,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600795.SH,X600688.SH,X600309.SH,X600660.SH,X300072.SZ,X601600.SH,X601991.SH,X600547.SH,X600188.SH,X600886.SH,X600362.SH,X600027.SH,X000709.SZ,X002466.SZ,X600157.SH,X600339.SH,X600111.SH,X000898.SZ,X000959.SZ,X601158.SH,X600489.SH,X600008.SH,X600299.SH,X002271.SZ,X000883.SZ,X600176.SH,X600352.SH,X600219.SH,X600578.SH,X002460.SZ,X000723.SZ,X600583.SH,X000408.SZ,X000630.SZ,X000539.SZ,X600021.SH,X000027.SZ,X000792.SZ,X000786.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0.264846722057072,0,0.000602886864094676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851530246207722,0,0,0.0222961419472567,0,0.110590085814955,0,0,0,0,0,0.122709283417469,0,0,0,0,0,0,0,0,0.11089872304081,0,0,-0.0182668074192357,-0.0211060822056287,0,0,0,0,0,0
X600352.SH,0,0,0,0,-0.0123281394322596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014482256148153,0,0,0,0,0,0,0,0.0792619455960534,0.00900887704898283,0,0,0,0,0,0,-8.67361737988404e-19,0.00107161727738169,0,0,0,0,0,0,0.00655611644653716,0,-0.0310562568663723,0,0,0,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0168992633341583,0,0.207916684431754,0,0,0,0,0.0759410070998729,0,-0.0215540211424181,0,0,0.00765240162202994,0,0,0,0,0.00852347574212362,0.0322988074313704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262237794012731,0.0105837833779399,0.072292934030455,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,-0.0860635237588452,0,0,0,0.146247865524435,0,0,0,0,0,0.0237535915553563,0,0,0,0.193041356680036,0,0,0,0,0,0,0,0.10845352431287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277659188422988,0.0552345310679017,0,0,0.0296718623800996,0.0282733633298117,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,-0.07826965866526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729080093871203,0,0.108867910125302,0,0,-0.0442663921060315,0,0.138359953750108,0.0733406689770657,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.124043274048379,0,0,0,0.0236244756745004,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397230515772247,0,0,0,0,0,0,-0.0538875040535453,0,0,0.218586659336812,0,0,-0.0156943898769078,0,0,0.15798546742911,0,0,0,0,0,0,0.0402930722367397,0,0,0,0.166217089641145,0,0,0,0.0486715027395495,0,0.0712793395562492,0,0,-0.0650225851810492,0.0504599927873823,0,0,0,0,0,0
X000408.SZ,0,0,-0.0520372260700243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345824571234744,0,0.0218886339982932,-0.066425639960666,0,0,0.16714422653742,0,0,0,0,0,0,0,0,0,0.0681595922436959,0,0,0,0,0,0,0,0,0,-0.0201729386452749,0.0746972377600518,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313545361295523,0,0,0,0,0.0436260976662093,0,0.0670557515706324,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.0932157703522276,0,0.0581114819317402,0,0,0,0,0.109116682691371,0,0.0301560613407603,0,0,0,0.00261274275478485,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00533319779327027,0,0.122764204729739,0,0,0,0,0,0.0315780170474655,0.00388781806377073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124708611463234,0,0,0,0,0,0,0.0605015350663761,0,0,0,0,-0.0145510013480694,0.0270168893673244,0,0,0,0,0,0
X600021.SH,0.1585894504433,0,0,0,0.163613419293817,0.161298491923122,0,0,0,0,0,0,0,0,0.164680164615084,0,0,-0.101399824438285,0,0,0.0999105889000881,0,0,0,0,0,0,0,0,0,0.000668225775522065,0,0,0,0,0,0,0,0,0,0,0,0,0.109244664414419,0,0,0,-0.0538214920004023,0,0,-0.00888282413576381,-0.00838746123484342,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0639513099927467,0,0,0,0.0213075577951543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0696197625396451,0,0,0.288300568734896,0.198550473086603,0.0117313264335554,0,0,0,0,4.33680868994202e-19,0,0,0,0.016517723345833,0,0,0,0,0,0
