,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X000539.SZ,X601992.SH,X000027.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X002470.SZ,X000792.SZ,X600489.SH,X600623.SH,X600098.SH,X002353.SZ,X600547.SH,X600022.SH,X000629.SZ,X600307.SH,X600863.SH,X600808.SH,X300072.SZ,X600578.SH,X000060.SZ,X601918.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000539.SZ,0.000620438859152835,0,0,0.172371506151557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109708426722232,0,0,0.151846948270687,0.0310030981643724,0.175278665664766,0,0,0,0,0,-0.0532628113363195,0,0,0,0,0,0,0,0,0,0,0.205084787678747,-0.0503069442274537,0,0,-0.0583450168375108,0.020293443396922,-0.151355841168567,0,0,0,0,0
X601992.SH,0,0,0,0,0.162845559347191,0,0,0,0,0,0,0.118727144915259,0.222992278420908,0,0,0,0,0,0,0,0,0,0,0,0.135544961883892,0,0.125542449304642,0.0842177454288519,0,0,0.143664823145505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0.00111833772087686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00480918782018307,0.519719190108257,0,0,0,0,0,0.20187700328837,0,0,0.0333556448519588,0,0,0,0,0,0.0390129569936507,0,0,0,0,0,0,0.0179593335774062,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.282555455086091,0.129151352921726,0.0839389179569675,0,0,0,0,0,0,0,0,0,0,0,0,0.132901881485279,0,0.213075983685257,0,0,0,0,0,0,0.00712506455296504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0.0863779571645013,0,0.373290970094833,0,0,0,0,0.0360543079769486,0,0,0,0,0,0,0.0653944043698604,0.0879354961462329,0,0,0.0606339953061697,0,0,0,0.040779515037893,0,0,0,0,0,0,0,0,0,0,0,0,0.223775392872598,0,0,0.0522208876784836,0,0,0,0,0,0,-0.0289743374894142,0.0648350019340924,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,-0.0326201621282151,0,-0.0938756756039469,0,0,0,0,0,0,-0.0708017887201595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108347420187677,0.287780409607526,0,-0.0690087567269639,0,0,0.119283986455434,0,0.329810516102858,0.0263796651126075,0,0,-0.0212478235794515,0.0590579305944978,0,0.0364657700222055,0,0,0,0
X000883.SZ,0,0,0,0.0977372162609529,0,0,0,0,0,0,0.0645920022912417,0,0,0,0,0,0,0,0,0,0,0,0.121064447263789,0,0,0,0,0,0,0,0,0,0,0.128083799018861,0,0,0,0,0,0,0.396611870363203,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12559254944626,0,0,0,0,0,0,0,0,0,0,0.281949774078791,0.254882844205468,0,0,0,0.0233033182283754,0,0,0.0185064580804855,0,0,0,0.136896211893294,0,0,-0.0256816201100381,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0.113770693084379,0,0,0,0,0.255133391726501,0.0217336914910023,0,0,0,0.107070585045651,0,0.0394426316816343,0.0662904900396098,0,0,0.0500144048431966,0,0,0,0,0,0,0,0,0,0.055392461997634,0,0,0,0,0,0,0,0.00142007723261604,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0.193273409762091,0,0,0,0,0.00199502498102406,0.0684225854067077,0,0,0,0,0,0,0,0,0,0,0,0,0.000152986885151977,0.065816967943746,0,0,0,0,0,0,0.0531307752558856,0,0,0,0.0605431426705984,0.0669023501877285,0.0401298064779327,0,0,0,-0.0188995913348822,0,0,0,0,0,0,0
X002470.SZ,0.0410293928652411,0,0,0,0.00510483421480328,0,0,0,0,0,0,0.295399954860718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378114908606536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319737540116904,0.0192993704155602,0,0,0,0,0,0
X000792.SZ,0,0,0.0636930352109477,0,0,0,0,0,0,0,0,0.33139984004464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049168060382316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255104320689815,0,0,0,-0.0291776632572088,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0.137982269448515,0,0,0,0,0,0,0,0,0,0.00756098260936566,0,0,0,0.0162365038050099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546046346810556,0.00738886329041885,0,0,0,0.123847346046649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
