,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X601991.SH,X600309.SH,X600157.SH,X600027.SH,X600886.SH,X601992.SH,X600660.SH,X600111.SH,X600489.SH,X000898.SZ,X000959.SZ,X600299.SH,X601158.SH,X000709.SZ,X000792.SZ,X600583.SH,X000723.SZ,X600339.SH,X002466.SZ,X000408.SZ,X600098.SH,X000630.SZ,X000883.SZ,X600352.SH,X600219.SH,X000539.SZ,X600021.SH,X000825.SZ,X000027.SZ,X002092.SZ,X000983.SZ,X600623.SH,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601992.SH,0,0,0.157601485738034,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0204033349911938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00731819252297508,0,0,0,0,0.239963248514989,0,0,0,0,-0.00168484823151314,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.150164805589885,0,0.0999053034751075,0,0.0301101656910959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136964637627885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218689463685321,0.027180602306103,-6.93889390390723e-18,0.0988008458070984,-0.000563615770687008,3.3881317890172e-21,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0.133616299069122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473015378631498,0,0,0,0,0,0,0,0,0,0,0,0.117646887451642,0,0,0,0,0,0.0260803907485947,0,0,0.0895558446957468,0,0,0.00418064849573396,0,-0.00748484552051543,-0.00189679529612729,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0.65367075025152,0,0,0,0.0316426851592304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11918559046673,0,0,0.0143027116935221,-0.0115211979176841,-1.0842021724855e-19,0,0,0,0,0,0
X000898.SZ,0,0,0,0.238889299540447,0,0,0.125968876622233,0.11819792728486,0,0,0,0,0,0,0,0,0,0,0,0,0.0817915020853695,0,0,0,0,0,0,0,0.479962099341602,0,0,-0.0256249650689434,0,0,0,0,0,0,0,0,0,0.0271521583245337,0.0571367738608829,0,0.0759125240115045,0,0,0,0,0,-0.0460523025729128,0.0486731936594507,0,0,0,0,0,0
X000959.SZ,0,0.0256658679148092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910929828186434,0.104643796823913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20641690366462,0,-0.0824454484484807,0,0.0523144400223664,-0.0364830694755863,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.159139956880475,0,0,0,0,0,0.0371054985048323,0,0,0,0,0,0,0,0,0,0,0,0,0.0569372554026283,0,0,0,0.0395314528644049,0,0,0.149512551061128,0.0336896018240461,0,0,0,0,0,0,0,-0.107518782462385,0,0.172627297969486,0,0,0,0,-0.0698329079889044,0,0.00266266444732381,0,0,0,0,0,0,0
X601158.SH,0,0,-0.0889869148847655,0,0,0,0,0,0,0,0,0,0,0.0163827248303131,0,0,0,0,0,0,0,0,0,0.0143124215613966,0.0178936891527396,0,0.0870969367420228,0,0,0,0,0,0.0687872255448903,0.00912060827893179,0,0.0249557565084338,0.124540689724699,0,0,0,0,0,0,0,0.0944513357915636,0,0,0,0,0,-0.010307645223837,-8.67361737988404e-19,0,0,0,0,0,0
X000709.SZ,0,0,0.0426562664470096,0,0,0,0,0,0,0,0.107274036436465,0,0.0190871905728562,0,0,0,0,0,0,0,0,0,0,0,0.327296605290853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393650016845143,0,0.0221733223430501,0,0,0.0599826338903083,0,0,-0.0077387263556493,-0.00540989923830741,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0584402052227824,0,0,0,0,0,0,0,0,0,0,0,0.0409601170910096,0,0,0,0,0,0,0,0,0,0,0,0.120393186025124,0,0,0,0,0,0,0,0.0138706732931614,0,0,0.130233538850468,0.0649860526099315,0.101111444946411,0.00966695026097992,-0.0179648917646727,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0.305604043391218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367172713106815,0.0116216028521909,0,0,0,0,0,-0.137497069252569,0,0,0,0,0.0412426132472183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00860471337173525,-0.00418826759338022,0,0,0,0,0,0
X000723.SZ,0,0,0,0,-0.583855980579971,0.152555736143022,0,0,0,0.034813852100408,0,0,0.0474355547256683,0,0,0,0,0,0,0,0,-0.193310111359013,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.126087403244481,0,0,0,0,0,0,0,0,0,0,0.193697081859753,0.0629506447599226,0.140189303583708,0.0849431491608125,0.0671299141412504,-0.0396426849396633,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11683012127859,0,0,0,0.244058833620593,0,0,0,0,0,0,0,0,0.0421070825263852,0,0,0,0,0,0,0.0447961482901028,0,0,0,0,0,0,0,0,-0.00650589630961529,0,0,0,0.156576464256667,0,0.0749009532488643,0,0.0434321100037351,-0.0335732691183338,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,-0.0031819071890358,0,0,0.129007725169052,0.0633761026105215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136794527585276,0,0,0,0,0,0,0,0,0,0.0868436824438679,0,0,0,0.207689099525522,0,0.0371735641588331,0,0.00454305160318793,0,0,0,0,0,0,0
