,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X600886.SH,X601898.SH,X601991.SH,X600660.SH,X600362.SH,X600795.SH,X600688.SH,X600188.SH,X600111.SH,X600352.SH,X600027.SH,X600801.SH,X000723.SZ,X601992.SH,X600489.SH,X002271.SZ,X000898.SZ,X600176.SH,X000786.SZ,X600516.SH,X000709.SZ,X002460.SZ,X000629.SZ,X600299.SH,X002466.SZ,X000883.SZ,X601158.SH,X600219.SH,X002353.SZ,X600426.SH,X601699.SH,X600612.SH,X000630.SZ,X600583.SH,X000553.SZ,X600021.SH,X000401.SZ,X000027.SZ,X600985.SH,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0.0712325863723807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113754176168054,0,0,0.0703540347754236,0,0,0,0,0,0,0,0,0,0,0,0,0.0391042329821258,0,0,0,0,0,0.0201974543064295,0,0,0,0,0,0,-0.00281927805792539,-0.00841006392341928,0,0,0,0.00270538525510319,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122466570291035,0,0,0.0292312971300617,0,0,0,0,0,0,0.0269740493766731,0,0,0,0,0.0538898370042369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247737356428489,0.0150265806613009,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468815955255038,0,0.0167938194856049,0,0,0.0418215128075039,0.106300534091468,0,0,0,0.022633977805351,0,0.0801861765433533,0,0.0466112238347895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210282890455548,0.00290579131372299,0,0,0,-0.00213518484777306,0,0
X600660.SH,0,0,0,0,0,0.047720911429246,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106433404720805,0.0172609257269034,0,0,0,0,0,0.116482593902666,0,0,0,0,0,0.082600266429969,0,0,0,0,0,0,0.0188492850739019,0,0,0,0,0,0.0833010812870235,0,0,0,0.0299518845388861,0,0,0.0114041246632032,0,0,0,0,0.00321211291073566,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.358729704032636,0.0967675684255175,0,0,0,0,0,0,0,0,0.0259456517271086,0,0,0.115608331784254,0.07938677535221,0,0.0469248372652508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958275215274202,0,0,0,0,0,0,0,0,0,-0.0248960005868646,0.0179585329965685,0,0,0,-0.0153012903125779,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.0359785821775581,0,0,0,0,0,0,0,0,0.033107879850441,0,0.0325955211071045,0,0.0292100635309708,0.00724587925262891,0,0,0,0,0,0,0,0,0.164395219405132,0,0,0,0,0,0,0,0,0,0.0158204263008554,0,0,0,0.00282697061778108,0,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178307774380507,0,0,0,0,0.00359766589402612,0,0,0,0,0.015297275490308,0,-3.46944695195361e-18,0,0.112494610951787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120104302234491,-0.0325252095561782,0,0,0,0,0.0357154294808072,0.0332897365074166,0,0,0,-0.0294589175163107,0,0
X600188.SH,0,0,0,0,0,0.10301696321226,0,0,0,0,0,0,0,0,0.0765293798016775,0,0,0,0,0,0,0,0.0858577652241689,0,0,0,0,0,0,0.0703715633144704,0,0,0,0.173968719178787,0,0,0,0,0,0.103781670201918,0.0214330903377097,0,0,0,0,0,0,0,0,0,0,-0.00433234620018234,0.039018286355063,0,0,0,0.0114756346411137,0,0
X600111.SH,0,0,0,0,0,0,0,0.0778799092289156,1.00763514955664,0,-0.0257315147698374,0,0,0,0,0,0,0,0,-0.00918571133086719,0,0,-0.187691890384147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33020626627195,0,0,0,0,0,0,0.0856081080201423,0,0,-0.0683326022988107,0,0.00832547878726381,-0.0690589602581732,0,0,0,-0.0924686211865902,0,0
X600352.SH,0,0,0,0,0,0.103671734261736,0,-0.164932181785598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321291834145256,0.360685388106239,0,-8.67361737988404e-19,0.132919039595525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00907647404292669,-0.0192601834712604,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0.0387976258390915,0.0745257645799027,0,0,0,0,0,0,0,0,0,0.0148425255150688,0.0710625229047653,0,0,0.0372386072252337,0,0,0,0,0,0,0,0,0,0,0.10733970905852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00707608624582109,-0.0500612845394841,0,0,0,-0.0134099675021494,0,0
X600801.SH,0,0,0,0.561480709369052,0,0,0,0,0,0,0,0,0,0,0.160638100533259,0,0,0,0,0.0818205637397487,0,0,0,0,0,0,0,0,0,0.104379558995998,0,0.138345647699381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226781805894414,0,0,0,0,1.73472347597681e-18,-0.013720143706885,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0.521062276166729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656875115078845,0,-0.0561493334424824,0,0,0.3321811617534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193307838015586,0.181113334032341,0,0,0,0,0,0,0,0,-0.00789422581886395,0,0,0.0923505777135042,-0.119352655453831,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121608337679061,0,0,0,0,0,0,0.213008865283814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029595535534808,0,0,0,0,0,0,0,0.00998111690507403,0,0,0,0.0187004268489508,0,0
X600489.SH,0,0,0,0,0,0,0,0.767352580078554,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00345785812978983,0.0397143108725019,0,0,0,0,0,0,0,0,0,0,0,-0.0570943372659327,0,0,0,0,0,0,0,0.0376142399382794,0.022971511423079,0,0,0,0,-0.0911040961855451,0,0.0142478529323695,0.00554191975190466,0.0323742245348437,0,0,0,0,0,0
X002271.SZ,0,0,0,0.189702520066124,0,0,0,0,0,0,0,0,0,0.152205361889638,0,0,0,0,0,0.047098568172015,0,0,0,0,0.0973187740996558,0,0,0,0,0.00387862875865499,0,0,0,0,0,0,0,0,0.00110724950210814,0.0581393790871987,0,0,0,0,0,0,0,0,0,0,0,-0.0200399680633072,0.0213623434345034,0,0,0,0.0114786277466005,0,0
X000898.SZ,0,0,0,0,0,0.0704699899173729,0,0,0,0,0,0,0,0,0,0,0,0.0144975252200007,0,0.0306482020628588,0,0,0.0239373777893252,0,0,0,0,0,0,0.118971059319926,0,0.0828921981200195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.00285821448960455,0.0736898976717776,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0.0736751380317663,0,0,0,0,0,0,0,0,0,0,0.112552627905321,0,0,0.0837474967735932,0,0,0,0,0,0,0.0380172266350901,0,0,0,0.0203894858492437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108656202559266,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132547340040346,0,0,0.00399099171583934,0.0952767790996046,0,0,0,0,0,0,0.22423157889446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036633609945078,0,0.186600814665071,0,-0.0719847831400553,0,0
