,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X600547.SH,X601898.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600795.SH,X002271.SZ,X600027.SH,X601991.SH,X600362.SH,X600426.SH,X600803.SH,X601699.SH,X600489.SH,X000983.SZ,X600176.SH,X000807.SZ,X000786.SZ,X600995.SH,X000539.SZ,X000408.SZ,X600160.SH,X600219.SH,X000629.SZ,X300037.SZ,X600688.SH,X600378.SH,X002080.SZ,X002409.SZ,X000932.SZ,X600157.SH,X600612.SH,X600985.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600612.SH,0.0698032114322053,0,0,0,0,0,0,0,0,0,0.305231781158619,0,0,0,0,0,0,0,0.175127858444427,0,0,0,0,0,0,0,0,-0.0391280115408272,0,0.0340204036484532,0,0,0,0,0,0,0,0,0,0,0.136900709504255,0,0,0.0196107964904523,0,0,0,0,0,0,0,0.0704975594799761,-0.156448489461674,0,-0.270843953436996,0,0,0,0
X600985.SH,0,0,0,0,0,0.139472453535712,0,0,0,0.0143648662615846,0,0.0847272133957263,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0661429047064146,0,0.259357937740503,0,0.069503932160609,0,0,0,0,0,0,0,0,0,0,0,-0.0257155171760568,0,0,0,0,0,0,-0.0213990008538913,0,0,0,0,0,0,0
X000027.SZ,0,0.0232506406637256,0,0,0.0918530247830192,0,0,0,0,0,0,0,0,0,0.0634532057549467,0,0,0,0,0,0,0,0,0.0221995899948404,0,0,0,0,0,0,0,0.0383838994355046,0,0,0,0.0480970223686725,0,0,0,0,0.0151038781341229,0,0,0.0119571156528872,-0.0352863576869484,0.115320554220164,0,0,0,0,0.0260726000191728,0,0.0182476991474513,0,0,0,0,0,0
Change_TY3M,0,0.144463937889114,0,0,0,0,0,0,0.0896379090729339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466065392569405,0,0,0,0,0.0381219540702863,0.0902361350494465,0,0,0,0,0,0,0,-0.0567601330518229,0,0,-4.33680868994202e-19,0,0,0,-0.137860974801225,0,0,0,0,0,0,-0.0576104257799967,-0.136873569257883,0,0,0,0,0,0
Slope,0,0,-0.257138962420215,0,0,0,0,0,0,0,0,0,0,0,-0.0215382153186987,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0383432520761084,0,0,0,0,0,-0.0482003286934742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970144737828762,0,0,0,0,0,0
TED,0,0,0,-0.063395565740838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050458406468644,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.267509835704663,0,0,0,-0.240307246162415,-0.0106702600103729,0,0,0,0,0,0.73887473153593,0,0,0,0,0,0,0
RealEstate_excess,0.0992343854261112,0,0,0,0,0,0,0,0,0,0,-0.0773872692933684,0,0,0,-0.16201975011534,0,0,0,0,-0.0184404220070694,0,0,0,-0.0639724370325886,0,0,0.0293700795173741,-0.0401970023199669,0,-3.46944695195361e-18,0,0.0929170524756209,0,0,0,0,0,0,0,0,0,0,0.0602058666653417,-0.00538888782597626,0,0,0.0930433758888,0,0,0,0.0201066444861256,0,0,0,0,0,0,0
MKreturn,0,-0.0538617936232043,0,0,0,0,0,0,0,0,0.0333089168704907,0,0,0,0,0,0,0,0.202668459028546,0,0,0,0,0,0,0,0,0,0,0.00107875474560108,0,0,0,0,-0.0656497390291147,-0.00270295058075017,0,0,0,0,-0.036610123391071,0,3.46944695195361e-18,0,0.0266092573813955,0,0,0,0,0,0.0765527537711131,0.000299311986620454,-0.00396995840273153,0,0,0,0,0,0
MKvol,-0.000299832228045389,0,0,0,0,0,0,0,0,0,0,0,0,-0.00109364158229632,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00129293606768803,0,0.00117434531269408,0,0,-0.00214256275439555,0,0,0,0,0,0,0,0.00126098977231511,0,0,0,-0.000264732211792389,0,0,0.000303136563145367,0,0,-0.00110690409082326,-0.00107959613537793,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00337000685082213,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00469898992576025,0,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
