,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X600111.SH,X601992.SH,X600886.SH,X600157.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X601158.SH,X002466.SZ,X600352.SH,X600309.SH,X000792.SZ,X600489.SH,X600583.SH,X000709.SZ,X000539.SZ,X000898.SZ,X000883.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X002075.SZ,X300072.SZ,X000959.SZ,X600021.SH,X002470.SZ,X000060.SZ,X000983.SZ,X600176.SH,X600578.SH,X600612.SH,X600022.SH,X600098.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600022.SH,0,0,0,0,0.107416721923488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174131499893979,0,0,0.0198553836071709,0,0,0,0,0,0,0,0,0.0497172699306854,0,0.250709445766222,0.0498833031154937,0,0.0950059340867994,0,0,0,0,0,0,0.0629044606064504,0,0,0,0,0,0.0794732167710678,0,0,0.0216702896339442,0,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00376907013574476,0.130394226643574,0,0,0,0.00535307043457206,0.0417005428730782,0,0.0985847868993733,0,0.0783349945499667,0,0.108110577853523,0,0,0,0.0534442173949008,0,0,0,0,0.200848471297194,0.115728474341219,0,0,0,0,0,0,0,0,0,0.000824626187408875,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285985024517006,0,0,0,0,0,-0.0392350509115977,0,0,0,0,0,0,0,0,0,0,0.236800113409596,0,0.0335080516675131,0,0,0,0,0,0,0,0,0,0.0270286282020986,0.294800131326851,0,0,0,0,0,0,0,-0.0238535956845274,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0802902968302972,-0.0760102687738084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322868343208535,0,-0.074457137843459,0,0,-0.00181530812381378,-0.0746923129378732,0,0,0,0,0,0,0,-0.0214274894363088,-0.0855433341683159,0,0,0,0,0,0
Slope,0,0,0,0,0,-0.378933054141173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.212441337405192,0,0,0,0,0,0,0,0,0,0,0.416227740897736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066149029594537,0,0,0.668983023927557,0,0,0,0,1.46853292354734,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1069403304048,0,0,0.629740270654,0,0,0,0,0,0,0,0,0,0,-0.182474941080117,0,0.037911641501141,-0.828933232071811,0.000326217731508165,0,0,0,0,0,0,0,0,0,0,-0.537010184582886,0.170222487403019,0,0,-0.354095243592936,0,0,2.34099726172342,0
RealEstate_excess,0,0,0,0,0,-0.0579216425685594,0,0,-0.0111869486358709,0,0,0,0,0,0,0,0,0,0,-0.00393332380545315,-0.0260042757162552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198088970731473,0,-0.0209368557902352,0,0,0.177495316080365,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11763240386737,0,0,0,0,0,0.0354831748891366,0,0,0,0,0.0782935141414395,0,0,0,0.0930376858021872,0,0,0,0,0,0,-0.0850412210407857,0,0,-0.185574974441266,0.0117498215712446,0,0,0,0,0,0,0,0,0,-0.0760012819789184,0,0.0547778535753181,-0.0610066543788939,0.639324314592216,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000740467660530267,0.00482886860657573,0,0,0,0,0.000909434868408684,0,0.00355197103509579,0,0,0.00201108122810377,0,0,0,0,0,0,0,0,0,0,0,0,-0.00374951295224904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222133491797486,0,0,0,0,0,0.0109743602557684,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441288538989357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000993393672443727,0,0,0,0,0,0,0,0,0,0,0,0.0140192770953833,-0.0157929314756896,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101999061350704,0,0,0,0,0,0,0,0.000898227443997968,0,0,0,0.0149937067908201,0,0,0,0,0,0,0,0,0,0,0,-0.0255414848094788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083311666108279,0.063841908951748,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0.00174218151576042,0,0,0,0.000857925092554472,0,0,0,0,0,0,0,0,0,-0.00396651895212806,0,-0.00131204254572478,0,0,0,0,0,0,0,0,0.000661575764018171,0,0,0,0,0,0,0.0124451416523397,0,0.000533259651885329,0,0,-0.00408867168977615,0,0,0,-0.00223368199826021,0,0,0,0,0,0,0,0,0,0,0,0
