,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X600010.SH,X601898.SH,X600547.SH,X600688.SH,X600188.SH,X601600.SH,X600362.SH,X600795.SH,X300072.SZ,X600157.SH,X601991.SH,X601992.SH,X600027.SH,X600489.SH,X600111.SH,X600309.SH,X600660.SH,X600886.SH,X000723.SZ,X600623.SH,X002466.SZ,X600299.SH,X601158.SH,X000959.SZ,X000792.SZ,X002075.SZ,X000898.SZ,X000408.SZ,X000709.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600549.SH,X600352.SH,X000630.SZ,X000935.SZ,X600176.SH,X000539.SZ,X000027.SZ,X601699.SH,X000060.SZ,X000937.SZ,X600021.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000027.SZ,0,0,0.128665252547351,0,0,0,0,0.00303317085243658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102484220012123,0,0,0.0779749881297244,0,0.0642926288002164,0,0,0.0176677678355845,0,0,0.0038634266330506,0,0,0.0305694748265944,0,0,0.01898150009145,0,0,0,0.0785553468248478,0,0,0.0467244434096213,0,0,0.0154407303215602,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0.146517647027942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924614953101182,0,0.0655358030408072,0,0.0306103788240219,0,0,-0.0320991813885957,0,0,0,0,0,0.684323259835113,0,0,0,-0.0368415707977302,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0.0898575123913651,0,0.0779636481645015,0,0.290008216004486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610388782093026,0,0,0.127630702868863,0,0.0138451754931036,0,0,0,0.116686198401492,0,0,0,0,0,0,0,0,0.114945398118985,0,0.250489292901219,0,0,0.0187241802799582,0,0,0,0,0,0
X000937.SZ,0,0,0.298332040947203,0,0,0,0,0,0.0313412721478219,0,0,0,0,0,0.0053538657920663,0,0,0,0,0,0,0,0,0,0,0,0.074330209548306,0,0,0,-0.087887007960209,0,0,0,0,0,0.0970424159885243,0,0,0,0,0,0,0,0,0.595482275667851,0.107522933473953,0,0,0,0,0.0082073821630881,0,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00414442888237448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223947863153179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658317392957085,0.00518651091441791,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0.044619473538439,0,0,0.104165856519992,0,0,0,0,0,0,0,0,-0.0457206245082176,0,0,0,0,0,0,0.164465910217673,0,0.14727973488091,0,0,0,0,0,0,0,0,0,0.320793192795631,0,0,0,0.0861501212125795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.0466648402214657,0,0,-0.0927628408605523,0,0.0119829749971005,0,0,0,0.0850172290890612,0,0,0,0,0,0,0,0,0,-0.0599560132838851,0,-0.0204392797349118,0,-0.00275995434644164,-0.0723115823294675,0,0,0,0,0,0,0,0,0.0584806241256198,0,0,-0.0239675818082037,0,0,0,0,0,0,0,0.0484302425453038,0,0.0221602847882964,0,0,0,0,0,0,0
Slope,0,0,0,0,0,-0.0859678011533667,0,0,0,0,0,0,0,0,-0.286918801527448,0,0,0,0,0,0,0,0,-0.341140210454232,0,0.381455383345124,0,0,0,0,0,-0.479836506713288,0,0,0,-0.132809992862138,-0.118165282623963,0,0,0,0,0.0805526343266663,0,0,0,0,0,0,0,0,0,0,0.447860252042613,0,-0.00458433748414499,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0332796683148724,0,0,0,0,0,0,0,0,0,0.0232360131924451,-0.248802391408098,0,0.228744601349586,0,0.174148881990654,0,0,-0.0393021385120586,0,0,0,0,0,0,0,0,-0.131509399118362,0,0,0,0,0,-0.201296762663406,0,0,0,0.473665823604349,0,0,0,0,2.04041109926508,0,0
RealEstate_excess,0,0,0,-0.352771582701643,0,-0.0709691627184909,0,0,-0.0307690351099923,0,0,0,0.0432096697375199,0,-0.0679653013623628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423605787164528,0.0626118940624215,0,0,0.146908675099608,0,0,0,0,0.0530045622729659,0,0,0,0,-0.276244997329556,0,0.0255900211495913,0,0,0,-0.00225155203819607,0,0.0474377857274573,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0.0447870583436324,0,0,0,0,0,0.0445304000500328,0,0,0,0,0,0,-0.0315623749013717,-0.0619691824633342,0,-0.0200087077656347,-0.0112062808290115,0,0,0,0,0,0,0,0,0,0.0215599808217123,0,0,-0.0260283449901135,0,0,-0.000348063468357047,0,0,-0.169847211116638,0,0,0.0706354106307086,0,0,0,-0.0526219309706488,0.0504608241258608,0.0678734646052116,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,-0.00116725616721047,0,0,0,0,0,0,-0.000454254094992786,0,0,-0.0018417185582851,0,0,0,0,0,0,0,-0.000432404424199393,0,0,0,0,0,0,0,1.31728341607492e-05,0,0,0,0,0,0,0,0.000649152835325017,0,0,0,0,0,-8.85688824179501e-05,0,0,0,-0.0033734901902676,-0.00121585206820533,0,0,0,-0.0159856000711321,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,-0.0210289469578893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119873521165423,-0.0350789545169501,0,0.0475433498188261,0,0,0,0,0,0,0,0,0,-0.0155100307366626,0,0,0,0,0,0,0,0,0.0756062217854711,0.0155603672809955,0.149547944530196,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0.00781459717150593,0,0,0,0.000406367242452891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110311687449534,0,0,-0.00360599626699687,0,0,0,0,0,0,0,0,0,0.00560121924296798,0.0110190537757653,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036167242469608,0,0,0,0,0,0,-0.00512611971613056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143232633098351,0,0,0,0,0,0,0,0,0,0,-0.0526385357100124,0,0,0,0,0,0
