,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X601991.SH,X600362.SH,X600795.SH,X600352.SH,X600688.SH,X600111.SH,X600801.SH,X000723.SZ,X600027.SH,X601992.SH,X600489.SH,X000786.SZ,X002271.SZ,X000898.SZ,X600176.SH,X600516.SH,X600612.SH,X600299.SH,X000709.SZ,X002460.SZ,X600426.SH,X601158.SH,X002466.SZ,X000883.SZ,X000629.SZ,X600219.SH,X002353.SZ,X000630.SZ,X000027.SZ,X600583.SH,X000825.SZ,X600315.SH,X000553.SZ,X601699.SH,X600985.SH,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890961773861035,0,0,0,0,0,0,0,-0.0765075484600073,0.0239238401646663,0,0,0,0.060309310453613,0,0.121952585210902,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0436175518252595,0,-0.00393614352854602,-0.00684101575974859,0,0,0,-0.0142804050869045,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0261496698475139,0,0,0.10047990603931,0,0,0,0.0340761104063783,0,0.0360804326654937,0,0,0,0,0.0762280843987745,0,0,0.0233842040842533,0,0,0,0.107892423962729,0.0754696208029524,0,0,0,0.000785360908324432,0,0,0,0.0618404505790631,0,0,0,0,0,0.118839410646521,0,0,0.00074556077492518,0,0,0,0,0.00726067135562518,0,0
X600660.SH,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.025915816331675,0,0,0,0,0,0,0,0,0.132217080397372,0,0,0,0,0,0,0.0861708956785245,0,0,0,0,0,0,0,0,0,0,0,0.0485286942860754,0,0,0.0979023515509726,0.0572706160893029,0,0.0110954336227911,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,-0.0255663061810531,0,0,0.213303109314862,0,0,0,0,0,0,0,0.0503215216170411,0,0,0,0,0,-3.46944695195361e-18,-0.00467871067946227,0.0272029782593772,0,0.0867159208545568,0,0.0970181957477152,0,0,0,0.0819325371482178,0,0,0,0,0,0,0,0,0.133710216982754,0,0,0,0.0503882817529622,0,0,0,0,-0.021813212093585,0.0301064871770615,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591257863171568,0,0,0,0.0411469895412528,0,0.0893562656547917,0,0,0,0.187910276505474,0.133545101669736,0.012485144549722,0,0.0294995333828698,0,0,0,0,0.0432416194941886,0,0,0,0.0417611111934527,0,0,0,0,0,0,0,0,0,0,0.0184267900035949,-0.0104357474761033,0,0,0,0,0,0
X600362.SH,0,0,0,0,0.0947561476320951,0,0,0,0,0,0,0.0624092646712454,0,0,0,0,0,0.00986728517689115,0,0.174545825013173,0.130144855508913,0.104420059291917,0,0,0.0724409918438032,0,0,0,0,0,0.0564506868986823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133228423384088,0.0214675257599189,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122301106219073,0,0,0,0.0179369895772796,0,0,0,0.00103696966107391,0,0.0734722998673222,0,0,0,0,0,0.0226491616658455,0,0,0,0.10353999453407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270296917760158,0.426817501008819,0,0,-0.097522845899754,0,0,0,0.0861959811819564,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225380669457527,0,0,0,0,0,0.135054894022831,0,0,0.0271917940572811,-0.0442844712330778,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0.00778734444736538,0,0,0,0.130009307115848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127399516021949,0.060530665058176,0,0,0.0362611151230862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250237321336296,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.965454116164812,0,0,0,0,0,0,0,0,0,0,0,0,-0.15999158998634,0.179907030063082,0,0,0.203386124378646,0,0,0,0,-0.0166140544334953,0,0,0,0,0,0.102064449437269,0,1.73472347597681e-18,0,-0.100396996197159,0,0,0,0,-0.138492817868732,0,0,0.0152525980473353,0,0.203553037561557,0,0.00457485705695666,0,0,0,0,0,0
