,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600176.SH,X600111.SH,X600010.SH,X601600.SH,X600426.SH,X000301.SZ,X601898.SH,X600011.SH,X002466.SZ,X600886.SH,X600188.SH,X600352.SH,X600801.SH,X600219.SH,X600489.SH,X601991.SH,X600803.SH,X600795.SH,X600486.SH,X002353.SZ,X002080.SZ,X600688.SH,X600299.SH,X000932.SZ,X601168.SH,X300037.SZ,X600027.SH,X600295.SH,X600516.SH,X600315.SH,X000898.SZ,X000723.SZ,X601992.SH,X000027.SZ,X600157.SH,X600549.SH,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600011.SH,0,0,0,0,0,0,0,0.0158343442959342,0,0,0,0,0,0,0,0,0.0125226875966977,0,0,0,0,0.0514057596157491,0,0.051506980159056,0,0,0,0,0,0,0,0,0,0,0,0,0.14102537534547,0,0,0,0.00324399936197666,0.00242676719978703,0,0,0,0,0.00207553206205874,0,0,0,0,0.011488915879999,0,0,0,0,-0.0125055788287973,0,0
X002466.SZ,0,0,0,0,0,-0.158917742814044,0,0.299078432781728,0,0,0,0,0,0.228802279565214,0.210906043529499,0,0,0,0,0,0,0,0,-0.0947842273551632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565607039189934,0,0,0,0,0,-0.0604889463220215,0,0.0412970277276189,0.0739096269169976,0.00839761754473316,0,0,0,0,8.67361737988404e-19,0,0
X600886.SH,0,0,0,0,0,0,0.00782316039366059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00968805716340246,0,0,0,0,0,0,0,0,0,0,0,0.0139759726111088,0,0,0,0,0.0442868001502773,0,0,0,0,0,0.0836878271312448,0,0.0493018117421524,0,0,0,0,0.0132669190310009,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.397702290455994,0,0,0.00370194616947921,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.118370909447077,0,0,1.73472347597681e-18,0,-0.0227280304362339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00620458236419184,0,0,0,0,0,0,0.178926970068193,0,0,0,0,0.0913077700136189,0,-3.77792691642832e-05,0.0220547888499087,0,0,0,-0.0644426936673733,0,0
X600352.SH,0,0,0,0,0,0,0,0.108306109638806,0,0.151240887303341,0,0.0326231196695542,0,0.0799107248364945,0,0,0,0,0.0364886824963885,0,0,0,0,0,0,0,0,0.0828351690790306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599786654104859,0,-0.0153251778665192,0.00826988260008191,0,0,0,0,0,0
X600801.SH,0,0,0,0,0,0,0,0,-0.00125392675822567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143306897908116,0.0569431171165483,0,0,0,0,-0.00369060682961668,0,0,0.0570307463028584,0,0.0961868488202613,0,0,0.0585788603398231,0,0,0,0,0,0,0.0898782923254742,0,0,0,0,0,0,0,0,-0.0265409932732255,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0.175783842895204,0,0,0,0,0.0539687844634667,0,0.0322054343435672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119483300395749,0,0,0,0,0.204950450018066,0,0,0,-0.0466915315414677,0,0,0.131911400687971,0,0,-0.0884796058259524,0,0,0,0.100808414923681,0,0
X600489.SH,0,0,0,0,0,0,-0.0152155022296109,0,0,0,0.607136337427823,0,0,0,0,0,0.157245144456936,0,0,0,0,0.0176800582549899,0,0,0,0,0,0,0,-0.0626886902684533,0,0,0,0,0,0,0,0.123348319857046,0,0,0,0,0,0,0,0,0,0,0,0,0.0321699116396728,0.00204334896591204,-0.0205192547116149,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,-0.0184064267338951,0,0,0,0,0.123462671356451,-0.0663982045552167,0,0,0,0,0,0,0,0,-0.0332616860770371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740410133456377,0,0,0,0,0,0,0,0,0.0867244084280094,0,0,0,0,0,0.0003428925166801,0,0,0,-0.0250794193029216,0,0
X600803.SH,0,0,0,0,0,0,0.164564680787114,0,0,0,0,0,0.255154754892204,0,0.0890475529306039,0,0,0.0475819890383638,0.0309270607180519,0,0,0.0585626494929821,0,0,0,0,0,0,0,0,0,0,0.157143256889709,0,0,0,0.111798479826404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00188265605355994,-0.0207540666918384,0,0,0,0,0,0
