,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600688.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X600362.SH,X600111.SH,X600157.SH,X601992.SH,X600886.SH,X600188.SH,X002466.SZ,X600299.SH,X600660.SH,X000792.SZ,X600547.SH,X601158.SH,X600489.SH,X600309.SH,X600583.SH,X000709.SZ,X000883.SZ,X000539.SZ,X000898.SZ,X000027.SZ,X000630.SZ,X600352.SH,X002470.SZ,X000060.SZ,X000629.SZ,X300072.SZ,X600612.SH,X600098.SH,X000723.SZ,X600176.SH,X600160.SH,X600021.SH,X000959.SZ,X000983.SZ,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298914375985771,0,0,0,0,0,0,0,0,0,0,0.204078667055051,0,0.234758896096675,0,0,0,0,0,0,0,0,0,0,0.266350903860243,0,0.115794166813763,0,0,0,0,0.136543687228981,0,0,0.165706008392327,0.0217795249897879,0,0,-0.0634230460580525,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705724810398583,0,0,0,0,0,0.103900139987679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984491746344491,0,0.100991875871284,0.0990887998915543,0,0,0,0.115487468877057,0,0.0372648170064245,0,0.0086092705658837,0,0.062745511067337,0,0.0427442594032963,-0.019564036783909,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209022228701432,0.102440372987063,0,0,0,0,0.0465114813106133,0,0,0,0,0,0,0.0784273915590146,0,0,0,0,0,0,0,0,0.254753523437272,0,0,0,0.331116782930602,0,0,0,0,-0.174319223013357,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.144551450066841,0,0,0,0,0,0,0,0,0,0.153394734553448,0,0,0,0.175028999188935,0.0679776630206229,0,0,0.17009534737659,0,0,0.0107660380726441,0,0,0,0.0377114907912817,0,0,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0.887196659319362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967327834414843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874614856894762,0,0,0.0948744554881634,0,0,0.0394837975881413,-0.0349497761625617,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0.120192401220468,0,0.291890746003696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211724805792208,0,0,0.0848144240495051,0,0.044261106973876,0,0,0,0,0.0129149557864445,0,0,0,0,0,0.106027569635531,0,0,-0.031126598280115,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0.169731443245202,0,0,0,0,0,0.0966189695562394,0,0,0,0,0,0,0,0.106923381499048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102619659761887,0.0730906936568885,0,0,0.0645278988425257,0,0,0,0.154694857899585,0,0.0733898456411653,0,0,0,-0.0161410972045701,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100055780975308,0,-0.0840290548105771,0,0.0892324219329194,0,0,-0.0691253817445851,-0.0421654501844706,0,0,8.67361737988404e-19,0,0,0,0,0.110911948075086,0,0.235571269561701,0,0,0,-0.0201014178645109,0,1.73472347597681e-18,0,0,0,0,-0.0419489911615832,-0.0535874033610503,0,0,0,-0.168569198680448,0,0,0,-0.0100385329798365,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184880208400466,0,0,0,0,0,0,0.0935343986629644,-0.153764286403145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274729852033343,0,0,0,0,0,0.208903441416182,0,0,-0.48464350640768,0.0338147674355522,-0.0656921230334592,0,0.0904270428297743,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.452377872394842,0.168392008560155,0,-0.233050419062518,0,0,0,0,-0.25623583524722,0,0,0,0,0,0,0,0,-0.0781684781706806,0,0,0,0,-0.0738202817465104,0,0,0,0,0,-0.476940135827886,0,0,0,0,0,-0.0258226719092219,0,0.076403241644486,0,-0.317729493084788,0,0,0,4.76418122152616,0
RealEstate_excess,0,0,-0.123354281106292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170247357458116,0,0,0,0,0,0,0,0,0,-0.00974272126252867,0,0.0179139026844631,-0.0246046865040586,0,0.173982644695756,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236485184903622,0,0,-0.0281374600428978,0,0,0,0,0.0620629023326338,0,0.107184168766278,0,0,0,0,0,-0.189251464712347,0,0,0,0,0,0,-0.284020115026476,0,0,0,0,0,0,0,-0.0190059391308849,0,0,0.0589050667713732,0,0.587116868153988,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00220430508164624,0,0.00761246546996707,-0.0112477614337049,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802203551488608,-0.0168831795443592,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0.00171997393325609,0,0,0,0,0,0,0,-0.00613822706419123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138590280616223,-0.0113338010114307,-6.8194399017655e-05,0,0,0,0,0
