,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600010.SH,X600176.SH,X601898.SH,X600111.SH,X601600.SH,X600011.SH,X000301.SZ,X600886.SH,X600188.SH,X002466.SZ,X600426.SH,X601991.SH,X600352.SH,X600803.SH,X600801.SH,X000932.SZ,X600219.SH,X600795.SH,X002080.SZ,X600489.SH,X000027.SZ,X600688.SH,X600516.SH,X600486.SH,X000807.SZ,X600299.SH,X000898.SZ,X002353.SZ,X600027.SH,X000723.SZ,X601168.SH,X600315.SH,X600157.SH,X601992.SH,X000630.SZ,X000825.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358274311693054,0,0,0,0,0.0489480496917451,0,0,0,0,0,0.0625094904011082,0,0.0142843688962263,0,0,0,0.181501150465769,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0752019584500074,0,-0.0415948366098576,-0.00252647777538676,0,0,0,0,0,0,0
X600188.SH,0,0,0.239873055135349,0,0,0,0,0,0,0.0411721231672413,0,3.46944695195361e-18,0,0,0,0,0.0919013815196458,0.163157702569958,0,0,0,0,-0.0258274075538353,-0.0327890249290974,0,0,-0.104924776857038,0,0.0730041710606336,0,0,0,0,-0.209646432584289,0,0,-0.179524080284883,0.230801093692425,0,0,0,0,0.159817168215982,0,0,0,0,0,0,0,0,-0.0228725060208501,0.0545360014667232,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.492904770026707,0,0,0,0,0,0,0,0,0.297919323719359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128746414810616,0,0,0,0.120124075038516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145764040753951,0,0.020875901615132,0,0,0,0,-0.148651231732836,0,0
X600426.SH,0,0,0,0,0,0,0.111415238690676,0.0520392753347188,0,0,0,0.0404309485433941,0,0,0.0136000252362939,0,0,0,0,0.307579138003305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209485959195286,0,0,0,0,0,0,0,0.0859610559493564,0,0,0,0,0.203663754552015,-0.0785184970349174,-0.0273401380996521,0,0,0,0,0.0573912825377135,0,0
X601991.SH,0,0,0,0,0,-0.0244601179204411,0,0,0.00940445876935394,-8.67361737988404e-19,0,0.0691088584608288,0,0,0,0.0163068378797593,0,0,0,0,0,0,-0.00597719835436252,0,0,0,0,0,0,0,0,0.00857193417429359,0,0.256954467071681,0,0.115863578064883,0,0,0,0,0,0,-0.138241545751751,0,0,0,0,0,0,0,0,-0.00327204659183777,0,0,0,0,-0.0273445111408574,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0.0542438440507863,0,0.0127154246812162,0,0,0.0193016285015885,0,0,0,0,0,0,0,0,0,0.0344384673432644,0,0,0,0,0,0,0,0.0352036870799612,0,0,0,0,0,0.0878832881815668,0,0,0,0,0,0,0,0.152143177171901,0.228141710618542,0,-0.00746797879007194,0,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0.00114256952532235,0,0.0409776372309118,0,0,0,0,0,0,0,0.231860212736642,0,0,0.00809846101340465,0,-0.160439460920289,0.29438888633089,0,0,0.105750906633735,0,0,0.113580142261904,0,0,0,0,0,0,0,0,0,0,0,0.0125679731576671,0,0,0,0,0,0,0,0,0,0,0,-0.0175506839855839,0,0,0,-0.101206979481603,0,0
X600801.SH,0,0,0,0,0.133744149015684,0,0,-0.0117826560199567,0,0,0,0,0,0.0162007258802963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191610387289899,-0.0914331298954266,0,-0.0524986361451258,0,0.0731093309286256,0,-0.0153581187765105,0,0.0466784823783146,0,0,-0.0668590492151285,0,0,0,0,0,0,0,0,0,0,0.0101412386133771,0.000816830748241225,0,0,0,0.0437090799209228,0,0
X000932.SZ,0,0,0,0,0,0.765232519499757,0,0.0499624355009305,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0100630797819736,0,0,0,-0.00331543725680408,0,0,1.73472347597681e-18,0,0,0,0,0,-6.93889390390723e-18,-0.0337916884080648,0,0,0,0,0,-0.0365786702385019,0,-0.0273590020482956,0,0,0,0,0,0,-0.0279445236017571,0,0,0,0,0.0307298119625676,0,0
X600219.SH,0,0,0,0.0701516924288252,0,0,0,0,0.0199485464643539,0.00460831959287472,0,0.0260989441407765,0,0,0,0,0,0.10965628055927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175242752661129,0.375690698697165,0,0,0,0,-0.0335139580770388,0,0.108150724873908,0,0,0,0,0.20998468948956,0,-0.0298034150174724,-0.0110686370083556,0,0,0,0,0,0
