,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X600011.SH,X002271.SZ,X601600.SH,X600660.SH,X600886.SH,X601898.SH,X600010.SH,X600362.SH,X600801.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X000786.SZ,X600111.SH,X600688.SH,X600795.SH,X002466.SZ,X600027.SH,X601992.SH,X600176.SH,X600299.SH,X600426.SH,X600529.SH,X600315.SH,X002353.SZ,X600126.SH,X002080.SZ,X002409.SZ,X600612.SH,X000723.SZ,X600219.SH,X600516.SH,X002075.SZ,X000898.SZ,X000932.SZ,X000959.SZ,X600486.SH,X601158.SH,X000027.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002353.SZ,0,0,0,0,0.0543909253567334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116161920351767,0.620489856262798,0,0,-0.239567007094995,0,0,0,0,0,-0.205415288473184,0,0,0,0,0,0.399944642534853,0,0.117363807134207,0.130143087088428,0,0,0.10937722890887,0,0,0,0,0,-0.0104725656413738,-0.0311348179907818,0,0,0,0,0,0
X600126.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.327118540066491,0.326626190372676,0,-0.160365255932829,0,-0.0746654461963611,0,0,0,0,-0.723826785473903,0,0.213098086772584,-1.38777878078145e-17,0,0.540956011387755,0,0,0,0,0,0.139951539288547,0,0,0,0,0,0,0,-0.238058588644586,0.0430137188586813,-0.057732363247639,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623215198891905,0,0,0,0,0,0,0,0,0.143328300892744,0,0,0,0.0172462065962426,0.0210130549764778,0.270581963365275,0.000110305161155446,0.313591690178714,0.0202174057629183,0,0,0,0,0,0,0,0,0,0,0.179600942926401,0,0,0.0513414779279291,-0.0447090368347472,0,-0.00680344733011097,0,0,0,0,0,0
X002409.SZ,0,0,0,0,0,0,0,0,0.36961571202803,0,0,0,0,0,0,0,0,0,-0.0225135670194932,0,0,0,0.440728287374046,0,0,0,-0.0275517528565897,0,0,1.38777878078145e-17,0,0,-0.125799004927796,0,0.226051331452668,0,0.446671497540692,0,-0.150920454099837,0,0,0,0.103614506485946,0,0,-0.0817108097685172,0,0,0,0,-0.299370319207299,0.0407174790645436,-0.017005289042305,0,0,0,-0.117994405040608,0,0
X600612.SH,0,0,0,0,0,0.0933561506780816,0,0,0,0,0,0,0,0,0,0,0,0,0.00063808219416045,0,0,-0.0406240692162389,0,0,0,0,0.11593720130759,0,0,0,-0.0445090588147718,-0.0215865444814408,0.0393187111031896,0.0179077236394258,0.010696545449265,0,0,-0.0944910252675931,0,0.158540054377642,0,0,-0.00782325593093051,0,0,0.0512692225150315,0,0,0,0.211221112811342,0.00354622287091921,0.0139425191240414,-0.00199758031459013,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.311521872432665,0,0,0,0,0,0,0,0.142238427019109,0,0,0,0,0,-0.0672595472287081,0,0.333003839843009,-0.0248860036699535,0,0.114542003392458,-0.0681934677226574,0,0,0.21620104708612,-0.0585673723798372,0,0,-0.000631505070102532,0,0,0,0,0,-0.025949591189504,0.0293799135819472,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,-0.0565570129788168,0,0.0251259652960144,0,0,0,0,0,0,0,0,0,0,0,0.111599403058296,0,0,0,-0.0159587299817079,0,0,0.0388346810799443,0,0,0,0,0.0288063593440296,0,0,0.0127855009285589,-0.0765035220638535,0,0,0,0,0,0,0,0,0,0,0,-0.00598029037731025,-0.0054494607938951,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0.0551424209678646,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.0619386440528483,0,0.224616678760599,0,0,0,0,0,0.127249040899769,0,0,0.104152430275046,0,0,0,0,0.113783999653476,0,0,0,-0.0287696013907298,0.00226936624387501,0,0,0,0.0873868537809342,0,0,0,0,0,0,0,-0.0275942753154071,0.0242026166398856,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0.171239054645278,0,0.189465209118269,0,0,0,0,0,0,0,0,0,0,0.355946626454857,0,0,0,0,0.127987228772558,0,0,0,0,0,0,0.206024622882873,0,-0.0269164871459149,0,0.0930059203434935,0,0,0,-0.0344863635002136,0,0,0,0,0,0,0,0,-0.0321237656520642,0.000675242595055648,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0.0761853416476388,0,0,0,0,0,0,0,0,0,0,0.0802142086548,0,0.0369063255693129,0,0,0,0,0,0,0,0,0,0,0,0.0498126569021324,0.12355829069566,0,-0.0559092622083846,0,0.0818447202384989,0.0014793039214955,0,0.0230595011366913,0,0,0,0.0277537878726541,0,0,0,0,0,0,0,0,0,0.0188808455536722,0.000360518898865298,0,0,0,0,0,0
