,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600019.SH,X600111.SH,X002466.SZ,X002271.SZ,X600660.SH,X000301.SZ,X600010.SH,X000708.SZ,X601898.SH,X601600.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600011.SH,X600886.SH,X600176.SH,X600219.SH,X000786.SZ,X000825.SZ,X600803.SH,X000408.SZ,X000932.SZ,X300037.SZ,X601991.SH,X600795.SH,X002080.SZ,X600399.SH,X000898.SZ,X600549.SH,X002409.SZ,X000807.SZ,X000959.SZ,X600352.SH,X000027.SZ,X600489.SH,X002353.SZ,X000630.SZ,X000830.SZ,X600486.SH,X002407.SZ,X601699.SH,X601168.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600486.SH,0,0,0.112681723323238,0,0,0,0,0,0.0209265126971908,0,0,-0.0803577498531428,0.264797600512422,0,0,0,0,-0.244742084880432,0,0,0,0,0.404678394644321,0,-0.147851110256958,-0.0594557325440182,0,0,0,0.153488148044772,0,0,-0.282018224726024,0,-0.0401633744772436,0,0,0,0,0,0,0,0.172644682909826,0,0,0,0,-0.212412363502737,0,0,0,-0.0661006026345816,0,0,0,0,-0.0698487709842684,0,0
X002407.SZ,-0.0895297181535299,0,0,0,0.512543826992607,0,0,0,0.214316712934884,0.152993497294899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094258137846758,0,0,0,0,0,0,0,0,0.252899879090529,-0.15237880806487,0,0,0,0,0.219306320826985,0,0,0.0370293091190717,0,0,0,0,0,0,0.0497435902369192,0,0,0,0.114406409401808,0,0
X601699.SH,0,0,0,0,0.0575562836900984,0,-0.11094175987234,0,0,0.0165757903199443,0.0723798634939106,-0.165355749211361,0,0,0.110525714021215,0,0.669693287229293,0,0,0,0,0,0,0,0,0,0,0.0182106353726733,0,0,0,0,-0.11706063468029,0,0,0,0,0,0.205612287181144,0,0.0756339255278646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171541661659867,0,0
X601168.SH,0,0,0,0,-0.011442851156454,0,0,0,0,0,0,0.068404566031211,0,0,0,0,0.0986832137600245,0.627179856616057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698598539657783,0.0317044347953438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0833399488615258,0,0
X600688.SH,0.322185324684169,0,0,0,-0.0450511985155991,0,0,0,0.0652353956145169,0,0,0,0.0809046946126509,0.0518498179250829,0,0,0,0,0,0.0842664348151076,0,0,0,0,0,0,0,-0.00891072965767558,0,0,0,0,0,-0.0648812637083489,0,0,0,0,0,0,0,0,0.0356281325399799,0,0,0,0,0.03708002820978,0,0,0,0.05348534786653,0,0,0,0,0,0,0
Change_TY3M,0,0,0.1363577574705,0,0,0,0,0,0,0,0,0,-0.139381593486163,0,0.016966268782859,0,0.0927104210196642,-0.0676398166296571,0,0,0,0,0,0,0,0,0,0.0582590675243212,0,0,0,0,0.0449416328468627,0.0694037026490721,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0086894662138233,0,0,0,0,-0.07686135520234,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0.22798015708248,0,-0.117436506961147,0,0,0,-0.199456208286096,0,0,0,0,0,0.23103039088726,-0.188616801543994,0.102906211968429,0,0,0,0,0,0,0,0.0312201681243148,-0.0712552910526799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321728753520244,0,0,0,-1.12515669343516,0,0
TED,-0.100601083606332,0,0,0,0,0,0,0.115241540606676,0,0,-0.0369028923123497,0,0.211114299705236,0,0,0,0,0,0,0,0,0,0.182105719834731,0,0,0,0,0.0785289189812339,0,0,0,0,0,-0.0742932592509646,-0.00928568010379632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157347475141783,0,-0.590766218131942,0.595616675030015,0,0,0,0,-0.387554739561792,0,0
RealEstate_excess,0,0,0,0,0,0,0,0.0375937059149053,0,0,0,0,0.0216504834570123,0,-0.0115044924706672,0,0,0,0,0,0,-0.0295793880059382,0,0,0,0,0,-0.058140205838963,0,0,0,0,0,0,0,0,0.0265274842580557,-0.0119487142187832,0,0,0,-0.0870588151628658,0.0553072381107577,0,-0.00190924780753407,0,0.108545714360659,0,0,0,0,0.015135222190733,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,-0.0153872425964357,0,-0.0950017700611896,0,0.0345195826774634,0,0,0,0,-0.0329758204260755,-0.0449978901846225,0,0.0274456235549946,0,0,-1.0842021724855e-19,0,0.0873983756826813,0,0,0,0,0,0,0,0,-0.0640302371625357,0,0,0,0,0.102388958777459,0,0.044286470158641,0,0,0,0.00849157472571731,0,0.0108745632511223,0,0,0,0,0.00601303177254203,-0.0345059984642609,0,0,0,0,0,0
