,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X600011.SH,X600188.SH,X600547.SH,X601898.SH,X601600.SH,X600660.SH,X002460.SZ,X600886.SH,X002466.SZ,X000792.SZ,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600803.SH,X600027.SH,X600489.SH,X601991.SH,X000807.SZ,X601699.SH,X000786.SZ,X000983.SZ,X600160.SH,X000932.SZ,X000630.SZ,X600219.SH,X002080.SZ,X000408.SZ,X000629.SZ,X300037.SZ,X000933.SZ,X600612.SH,X000539.SZ,X600688.SH,X600157.SH,X600995.SH,X000723.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600096.SH,0,0,0,0,0,-0.0380674260521045,0.0253602954117873,0.0590684065107541,0,0,0,0,0.16344993925713,0,0.213924305599916,0,0,0,0,0,0.00702266499073164,0,0,0,0,0,0,0,0,0,0,0.0385182246130838,0,0,0.181200805393332,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0983256449700741,0,0,-0.0346180720565896,0.0102044260460127,0,0,0,0,0,0
Change_TY3M,0,0,0,0,-0.138306859802283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752578649326539,0,-0.111533347032218,0,0,0,0,0,0.0113076763304025,0,0,0,0,0,0,0,0.0227923764603016,-0.0833887720890475,0,0,-0.11665860208328,0,0,-0.0787500489826437,0,-0.0132376139456733,0,0,0,0,0,0,0,-0.00230400227058364,-0.0339873139749591,0,0,0,0,0,0
Slope,0,-0.0769192981344711,0,0,0,0,0,0,0,0,-0.328200435578519,0,0,0.0474970829434571,0,0,0,0,0,0,0,0,0,0,0,0,0.0293451840879383,0,0,0,0,-0.0770628757245564,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.427014024405482,0,0,0,0,0,0
TED,0,0.284140296629326,0,0,0,0,0,0,0,0,0.122950647560034,0,0,0,0,0,0,0,0,0,0.322800819919769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128875977989453,0,-0.136630144770362,0,-0.212871243618187,0.778459212516676,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0.104038843396173,0,0,0,0,0,0,0,0,0,0.0055917676503283,0,0,0,0.0859508991991239,0.126522802421816,0,0,0,0,8.67361737988404e-19,0,0,-0.125915700873782,-0.0842316000651985,-0.141009340607265,0.270621594048781,-0.103002626106458,0,0,0,0,0,0,0,-0.0121897748915411,0,0.0120754543594248,0,0,0,0,0,0.0956286913180809,0,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,-0.0633430189178705,0,0,0,0.170296506959258,0,0,0,0,0,0,0.00358460954864438,0,0,0,0,0,0,0.0328911675593664,-0.0634593261377464,-0.0245711811070746,0,0,0,-0.0527950254873127,0,0,0,-0.0865535304760238,0,0,0,0,-0.0764867926370828,3.46944695195361e-18,-0.0244674083205953,0,0,0,0,8.67361737988404e-19,0,0.0438026482185017,-0.00579829287644855,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000722037766784216,0,0,0,0,0,0,0,0.00192575238737835,0,0,0,0,0,0.000399276633471767,0,0,0,0,0,0,0,0,0,0,0,-0.00143769318498117,0,0,0,0,-0.000551343078389563,0.00338551735284273,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,-0.0216677397952404,0,0,0,0,0,0,0,0,0,-0.00370439475435071,0,0,0,-6.95013156037376e-05,0,0.00216722409770122,0,0,0,0,0,0,-0.00122666545923235,0,0,0,0.00169828482791622,0,0,0.00397534173433849,0,0,0,0,0,0,0,0,0,0.00222201994344117,0,-0.00845548628147179,0,0,0,0,-0.0216774624096924,0.020599348045736,0.00379179568243743,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0.00386392405364409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000595994685737017,0.00168852080393943,0,0,0,0,0,0,0,0,0,0,0,0.00949041667684086,0,0,0,0,0,0,0.00049073059321974,0,0,0,0.0232304435457759,-0.035367871776269,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0.000244176456888454,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00105274687525121,0,0,0,0,0,-0.000760601150051127,0,0,0.00184256399694031,0,0,0,0,0,0,0,0,0,0,2.71540849515823e-05,0,0,-0.00104141254546583,0,0.00659033248069969,0,0,0,0,0.0106916477257648,-0.00480274294758801,0,0,0,0,0,0
