,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600019.SH,X600111.SH,X600011.SH,X002466.SZ,X601600.SH,X000877.SZ,X600010.SH,X002271.SZ,X000708.SZ,X601898.SH,X600660.SH,X600547.SH,X000301.SZ,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X000807.SZ,X601991.SH,X000786.SZ,X600795.SH,X600803.SH,X000983.SZ,X601699.SH,X002080.SZ,X000630.SZ,X000825.SZ,X600801.SH,X600688.SH,X600096.SH,X002353.SZ,X600141.SH,X000932.SZ,X600489.SH,X000960.SZ,X000959.SZ,X600027.SH,X600295.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000786.SZ,0,0,0,0,0.31771040092692,0,0,-0.120796275813751,0,0.0540793157686305,0,0,0.125994129477785,0,0,0.408335333108941,0,0,0,0,0,0,0,0,0,0.248710874721246,0,0,0.108974032283084,0,0,0,0,0,-0.0227026688848577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000400735331298755,8.67361737988404e-19,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.227067525814714,0,0,0,0,0,0,0.0672659754868663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901123081181236,0.0227805693736985,0,0,0,0,0,0,0,0,0,0,0.0734072264137958,0,0.264579602247996,0,0,0,0.0030321962270856,0,0,0,0,0,0,0
X600803.SH,0,0,0,0,-0.158203670721641,-0.05620127786313,0,0,0,0,-0.0117451950653359,0,0,0,0,0,0,0,0,0,-0.0012444703301487,0,0,0.0213691241230243,0,0.0286521197728071,0,0,0,0,0,0,0,0,0.0572026613980032,0.259152812047157,0.0771051491769635,0,0,0,0,0.0152696728728405,0,0,0,0.0342537580646707,0,0,0,0,0,0.021574954835405,0,0,0,0,0,0,0
X000983.SZ,0,0.359674314867623,0,0,0,0,0,0.150094815623645,0,0,0.041113870265195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0414197205423564,0,0.0708660960586122,0,0,0,0,0,0.378407975880536,0,0,0,0,0,0.0414900240736787,0,0,0,0,0,0,0,0,0,0,0,-0.0188302898542268,0,0,0,0,0,0
X601699.SH,0,0.085367235916448,0,0,0,0,0,0,0,-0.0343956514186392,0,0.0164900654836553,0,0,0,0.0283619015570225,0,0,0,0,0,0,0,0,0,0,-0.0404931881077012,0,0,0,0,0,0,0.572811850982809,0,0,0,0,0,0,0,0,0,0.179337090182579,0,0,0,0,0.0390801543053371,0,0,0.0160258314662415,-0.0563158314652695,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0.375488142523334,-0.0259827468107299,0,0,0,0,0,0,0,0,0,0.0241803626842872,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228946525831367,0,0,0,0,0,0,0,0.0307520623363462,0,0,0,0.181447134888229,0.0413844992729831,0,0,0,-0.016260843864313,0.00747206048753887,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0.0571161843760522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21366568025525,0,0,0,0,0.0828664997352955,0.130455684752486,0,0,0,0.14664733896007,0.0582397009774117,0.064062136654551,0,0,0,0,0.0487138717789085,0,0,0,0,0,0.035898624459736,-0.0128689922007563,0,0,0,0.0781715954738935,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0.261623116558093,0,0,0,0.143672688636536,0,0.0139532336131263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394931291588353,0.0830252321071443,0.0100331490487047,0,0,0,0,0,0,0,0.125107078481129,0,0,0,-0.0180936011576155,0,0,0,0,0,0
X600801.SH,0,0,0,0,0.536624767316707,0,0,0.131276552350379,0,-0.0196106320654387,0,0,-0.0451867690296134,0.442516474837829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000498055193753216,0.0163047890829559,0,0,0,0,0.0835979074825073,0,0.0802332055258926,0,0,0,0,0,-0.0550107171078983,0,0,0,0,0,0,0,0,-0.042597225408219,0,0
X600688.SH,0.168057684281876,0,0,0,0,0,0,0,0,0,0,0,0.0745395379835631,0,0.172594144996772,0,0,0.0253909334416959,0,0,0,0,0,0.0696614438460197,0,0,0,0,0,0,0,0,0,0,0,0,0.0348913356561816,0.0777304994634785,0,0,0,0.114800578926966,0,0,0,0.0772111599876615,0,0,0.0914003007462928,0,0,0.00783939153713719,0.0172599378010385,0,0,0,0,0,0
