,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600623.SH,X600027.SH,X600188.SH,X600157.SH,X600111.SH,X600362.SH,X601992.SH,X600886.SH,X600547.SH,X002466.SZ,X600299.SH,X600660.SH,X600309.SH,X000709.SZ,X600489.SH,X601158.SH,X000792.SZ,X600583.SH,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000883.SZ,X000983.SZ,X000027.SZ,X000630.SZ,X000723.SZ,X000629.SZ,X600549.SH,X002470.SZ,X002460.SZ,X000012.SZ,X600176.SH,X000060.SZ,X600021.SH,X002407.SZ,X000959.SZ,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002407.SZ,0,0,0,0,0,0,0,0.0833701076285506,0,0,0,0,0.0535474054665737,0,0.285236089255053,0,0,0,0,0,0,0.0120483678380941,0.0701483116955914,0,0,0,-0.176790331286895,0.0291041735746937,0,-0.164718889460981,0,0,0,0,0,0,0,0.184771547768465,0,0,-0.151634640221763,0,0.706791498730454,0,0,0,0.170112123550599,0,0,0,0,0.111536148245613,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0.107012955361754,0,0.260035956386989,0,0.0516883036147441,0,0,0,0,0.160188718019001,0,0,0,0,0,0,0,0,0,0,0,-0.0413677888400627,0,0,0,0,0,0,0,0,0.261862078189679,0,-0.0738797302930082,0,0,0,0,0,0.145359852579007,0,0,0,0,0,0.0480910527657024,0,0.0149815825757434,0,0,0,0,0,0,0
X600022.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515500201944156,0,0,0,0,0,0,0,0,0,0.165997891485577,0.0188152775832683,0,0,0.0681241058534879,0,0.0923344677428604,0,0,0.0644912024248353,0,0,0.048747897206397,0.00209257173053263,0.1159880188513,0.100772112483371,0,0.0653150195199995,0,0.0223648206444583,0,0,0,0,0,0,0.0597540888690293,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0.0596458813823862,0,0,0,0,0.145459150562202,0,0,-0.00979025048243392,0,0,0,0,-0.0177744297375599,-0.0388239156640302,0,0,0,-0.000752270231382099,0,0,0,0,0,0,0,0,0,-0.0889645591939245,0,-0.00683321016311268,0,0,0,0,-0.00413081874804862,-0.076801186274862,0,0,-0.025200001676099,-0.12820634081396,0,0,0,0,0,0
Slope,0,0,0,0,0,0,-0.46597335802993,0,0,0,0,0,-0.385811703375378,0,0,0,0,0,0,0,0,-0.129712853485099,0,0,0,0,-1.07872984188985,0,0,0.253249438612006,0,0,0,0,0,0,0,0,0.548152861849517,0,0,0,0.81625317120104,-0.934141518234732,0,0,-0.269315068405676,0,-0.453720247988993,0,0,0,-0.224266240776671,0,-0.865047608656799,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173813520712405,0,0,0,0,0.077483673659973,0.261405483368022,0,0,0,0,0,0,0,-0.0555914675720211,-0.423679667133779,0,0,0,0,0,0,0,0.0383797731022687,0,0,0,-0.29937218630041,0,0,0,0,0,0.819719105386535,0,-1.10595840308851,0.324792111226994,0,0,0,0,-1.58099010802254,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,-0.0983856935084905,0,0,0,-0.0331946981786066,0,0,0,-0.0305590685513851,-2.16840434497101e-19,-0.141270769171436,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646897192017273,-0.00167420509873407,0,0.130846875711567,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0965821953493738,0,0,0.0179989697329372,0,0,0,0,0,0,0,0,0.056811262938388,0,0,0,0,0,0,0,0,-0.232626713715857,0,0,0,0,-0.0383029827351228,0,0.0615662525087096,0,0,0,0,0,0,0,0,0.00730733164369617,-0.0364482610064717,0.519745642821603,0,0,0,0,0
MKvol,0,0,0,0,0,0,0.0297546297627704,0,0,0,0,0,0.000207967073296012,0,0,0,0,0,0,0,0,0,0,0,-0.00867421367273069,0,0,0,0,0,0,0.0091661703879112,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.00741495177505051,0,-0.00268303415870693,0,0,0,0,-0.00074591790022151,0,0,0,0.00212471393300822,0.0299924485669064,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010130479149606,0,0,0,0,0,0,0
